"ACCOUNT:","TAN002 - TANDOOR THE CLAY OVEN"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2052.39"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","2052.39"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","16828.85","16828.85"
"2","01","00036865","Payment","22/02/2025","00039479","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-1028.67","15800.18"
"3","01","00036865","Payment","22/02/2025","00039758","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-1326.79","14473.39"
"4","01","00036865","Payment","22/02/2025","00039765","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-2653.58","11819.81"
"5","01","00036865","Payment","22/02/2025","00039954","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-1326.79","10493.02"
"6","01","00036865","Payment","22/02/2025","00040129","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-1326.79","9166.23"
"7","01","00036865","Payment","22/02/2025","00040325","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-2653.58","6512.65"
"8","01","00036865","Payment","22/02/2025","00040502","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-529.93","5982.72"
"9","01","00036865","Payment","22/02/2025","00040585","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-1338.78","4643.94"
"10","01","00036865","Payment","22/02/2025","00040709","SPEEDP | PC-76-17","","TANDOOR THE CLAY OVEN","-97.65","4546.29"
"11","01","00012022","Crd Note","06/03/2025","00041271","DN#11730-EMPTY","","TANDOOR THE CLAY OVEN","-1207.50","3338.79"
"12","01","00041270","Invoice","06/03/2025","00041270","DN#11730","00010680","TANDOOR THE CLAY OVEN","1338.78","4677.57"
"13","01","00041271","Invoice","06/03/2025","00041271","DN#11730-EMPTY","","TANDOOR THE CLAY OVEN","1207.50","5885.07"
"14","01","00041408","Invoice","12/03/2025","00041408","D/N 12919","00010720","TANDOOR THE CLAY OVEN","3207.50","9092.57"
