"ACCOUNT:","TAN002 - TANDOOR THE CLAY OVEN"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2052.39"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","2641.92"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2024 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","07","00006264","Crd Note","19/09/2023","00024640","D/N 6469 EMPTIES","","TANDOOR THE CLAY OVEN","-1794.00","-1794.00"
"3","07","00024377","Payment","19/09/2023","00024639","TRANSF | STAT 94","","TANDOOR THE CLAY OVEN","-3380.83","-5174.83"
"4","07","00024639","Invoice","19/09/2023","00024639","D/N 6469","00006652","TANDOOR THE CLAY OVEN","3380.83","-1794.00"
"5","07","00024640","Invoice","19/09/2023","00024640","D/N 6469 EMPTIES","","TANDOOR THE CLAY OVEN","1794.00","0.00"
"6","07","00006394","Crd Note","02/10/2023","00025023","D/N 6578 EMPTIES","","TANDOOR THE CLAY OVEN","-1196.00","-1196.00"
"7","08","00024785","Payment","02/10/2023","00025022","TRANSF | STAT 95","","TANDOOR THE CLAY OVEN","-2253.89","-3449.89"
"8","07","00025022","Invoice","02/10/2023","00025022","D/N 6578","00006759","TANDOOR THE CLAY OVEN","2253.89","-1196.00"
"9","07","00025023","Invoice","02/10/2023","00025023","D/N 6578 EMPTIES","","TANDOOR THE CLAY OVEN","1196.00","0.00"
"10","08","00006495","Crd Note","11/10/2023","00025380","D/N 6804 EMPTIES","","TANDOOR THE CLAY OVEN","-1196.00","-1196.00"
"11","08","00025379","Invoice","11/10/2023","00025379","D/N 6804","","TANDOOR THE CLAY OVEN","2462.20","1266.20"
"12","08","00025380","Invoice","11/10/2023","00025380","D/N 6804 EMPTIES","","TANDOOR THE CLAY OVEN","1196.00","2462.20"
"13","08","00025263","Payment","12/10/2023","00025379","TRANSF | STAT 95","","TANDOOR THE CLAY OVEN","-2462.20","0.00"
"14","08","00006538","Crd Note","16/10/2023","00025526","D/N 6715 EMPTIES","","TANDOOR THE CLAY OVEN","-1196.00","-1196.00"
"15","08","00025523","Invoice","16/10/2023","00025523","D/N 6715","00006872","TANDOOR THE CLAY OVEN","2462.20","1266.20"
"16","08","00025526","Invoice","16/10/2023","00025526","D/N 6715 EMPTIES","","TANDOOR THE CLAY OVEN","1196.00","2462.20"
"17","08","00025368","Payment","20/10/2023","00025523","TRANSF | STAT 95","","TANDOOR THE CLAY OVEN","-2462.20","0.00"
"18","08","00006593","Crd Note","21/10/2023","00025735","D/N 6829 EMPTIES","","TANDOOR THE CLAY OVEN","-598.00","-598.00"
"19","08","00025367","Payment","21/10/2023","00025734","TRANSF | STAT 95","","TANDOOR THE CLAY OVEN","-230.83","-828.83"
"20","08","00025734","Invoice","21/10/2023","00025734","D/N 682*9","","TANDOOR THE CLAY OVEN","230.83","-598.00"
"21","08","00025735","Invoice","21/10/2023","00025735","D/N 6829 EMPTIES","","TANDOOR THE CLAY OVEN","598.00","0.00"
