"ACCOUNT:","TAN002 - TANDOOR THE CLAY OVEN"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","2052.39"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","16828.85"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2025 MARCH"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","2641.92","2641.92"
"2","01","00007609","Crd Note","06/03/2024","00030167","SO7819","","TANDOOR THE CLAY OVEN","-690.00","1951.92"
"3","01","00029279","Payment","06/03/2024","00029978","TRANSF | STAT 100","","TANDOOR THE CLAY OVEN","-2641.92","-690.00"
"4","01","00029279","Payment","06/03/2024","00030164","TRANSF | STAT 100","","TANDOOR THE CLAY OVEN","-2638.95","-3328.95"
"5","01","00030164","Invoice","06/03/2024","00030164","DN8008","00007819","TANDOOR THE CLAY OVEN","2638.95","-690.00"
"6","01","00030167","Invoice","06/03/2024","00030167","SO7819","","TANDOOR THE CLAY OVEN","690.00","0.00"
"7","01","00030574","Invoice","20/03/2024","00030574","DN#3795 SO#7975","00007978","TANDOOR THE CLAY OVEN","2924.16","2924.16"
"8","01","00030582","Invoice","20/03/2024","00030582","DN#3795","","TANDOOR THE CLAY OVEN","1794.00","4718.16"
"9","01","00030587","Invoice","20/03/2024","00030587","DN#3798 SO#7984","00007984","TANDOOR THE CLAY OVEN","2673.52","7391.68"
"10","01","00030588","Invoice","20/03/2024","00030588","DN#3798","","TANDOOR THE CLAY OVEN","1196.00","8587.68"
"11","01","00007777","Crd Note","22/03/2024","00030582","DN#3795","","TANDOOR THE CLAY OVEN","-1794.00","6793.68"
"12","01","00007779","Crd Note","22/03/2024","00030588","DN#3798","","TANDOOR THE CLAY OVEN","-1196.00","5597.68"
"13","01","00029562","Payment","22/03/2024","00030574","TRANSF | STAT 100","","TANDOOR THE CLAY OVEN","-2924.16","2673.52"
"14","01","00029562","Payment","22/03/2024","00030587","TRANSF | STAT 100","","TANDOOR THE CLAY OVEN","-2673.52","0.00"
"15","01","00007925","Crd Note","03/04/2024","00030934","DN#8097 SO#8097","","TANDOOR THE CLAY OVEN","-2673.52","-2673.52"
"16","01","00007926","Crd Note","03/04/2024","00030936","DN#8097","","TANDOOR THE CLAY OVEN","-1196.00","-3869.52"
"17","01","00007930","Crd Note","03/04/2024","00030956","30945-EMPTY","","TANDOOR THE CLAY OVEN","-1196.00","-5065.52"
"18","01","00030934","Invoice","03/04/2024","00030934","DN#8097 SO#8097","00008097","TANDOOR THE CLAY OVEN","2673.52","-2392.00"
"19","01","00030936","Invoice","03/04/2024","00030936","DN#8097","","TANDOOR THE CLAY OVEN","1196.00","-1196.00"
"20","01","00030945","Invoice","03/04/2024","00030945","DN#8862 SO#8100","00008100","TANDOOR THE CLAY OVEN","2673.52","1477.52"
"21","01","00030956","Invoice","03/04/2024","00030956","30945-EMPTY","","TANDOOR THE CLAY OVEN","1196.00","2673.52"
"22","01","00007994","Crd Note","08/04/2024","00031123","31109 - EMPTY","","TANDOOR THE CLAY OVEN","-1035.00","1638.52"
"23","01","00031109","Invoice","08/04/2024","00031109","DN#8773 SO#8138","00008138","TANDOOR THE CLAY OVEN","4010.28","5648.80"
"24","01","00031123","Invoice","08/04/2024","00031123","31109 - EMPTY","","TANDOOR THE CLAY OVEN","1035.00","6683.80"
"25","02","00030141","Payment","12/04/2024","00030945","TRANSF | STAT 101","","TANDOOR THE CLAY OVEN","-2673.52","4010.28"
"26","02","00030141","Payment","12/04/2024","00031109","TRANSF | STAT 101","","TANDOOR THE CLAY OVEN","-4010.28","0.00"
"27","01","00008096","Crd Note","16/04/2024","00031359","31345- EMPTY","","TANDOOR THE CLAY OVEN","-1196.00","-1196.00"
"28","01","00031345","Invoice","16/04/2024","00031345","DN#8796 SO#8222","00008222","TANDOOR THE CLAY OVEN","2658.06","1462.06"
"29","01","00031359","Invoice","16/04/2024","00031359","31345- EMPTY","","TANDOOR THE CLAY OVEN","1196.00","2658.06"
"30","01","00008125","Crd Note","18/04/2024","00031436","31432 - EMPTY","","TANDOOR THE CLAY OVEN","-345.00","2313.06"
"31","01","00031432","Invoice","18/04/2024","00031432","DN#8894","","TANDOOR THE CLAY OVEN","526.08","2839.14"
"32","01","00031436","Invoice","18/04/2024","00031436","31432 - EMPTY","","TANDOOR THE CLAY OVEN","345.00","3184.14"
"33","01","00031704","Invoice","29/04/2024","00031704","DN#8833","","TANDOOR THE CLAY OVEN","1329.03","4513.17"
"34","01","00031705","Invoice","29/04/2024","00031705","31704 - EMPTY","","TANDOOR THE CLAY OVEN","598.00","5111.17"
"35","01","00008242","Crd Note","30/04/2024","00031705","31704 - EMPTY","","TANDOOR THE CLAY OVEN","-598.00","4513.17"
"36","02","00031923","Invoice","06/05/2024","00031923","DN#8707 SO#8342","00008342","TANDOOR THE CLAY OVEN","3930.93","8444.10"
"37","02","00031926","Invoice","06/05/2024","00031926","31923- EMPTY PMB","","TANDOOR THE CLAY OVEN","1794.00","10238.10"
"38","02","00008325","Crd Note","07/05/2024","00031926","31923- EMPTY PMB","","TANDOOR THE CLAY OVEN","-1794.00","8444.10"
"39","02","00008400","Crd Note","13/05/2024","00032101","32094-EMPTY","","TANDOOR THE CLAY OVEN","-690.00","7754.10"
"40","02","00032094","Invoice","13/05/2024","00032094","DN#8911","","TANDOOR THE CLAY OVEN","2620.62","10374.72"
"41","02","00032101","Invoice","13/05/2024","00032101","32094-EMPTY","","TANDOOR THE CLAY OVEN","690.00","11064.72"
"42","02","00032413","Invoice","24/05/2024","00032413","DN#8918- BULWER STRE","00008445","TANDOOR THE CLAY OVEN","3139.28","14204.00"
"43","02","00032414","Invoice","24/05/2024","00032414","32413-EMPTY","","TANDOOR THE CLAY OVEN","1794.00","15998.00"
"44","02","00008535","Crd Note","25/05/2024","00032414","32413-EMPTY","","TANDOOR THE CLAY OVEN","-1794.00","14204.00"
"45","03","00031369","Payment","28/05/2024","00031345","TRANSF | STAT 102","","TANDOOR THE CLAY OVEN","-2658.06","11545.94"
"46","03","00031369","Payment","28/05/2024","00031432","TRANSF | STAT 102","","TANDOOR THE CLAY OVEN","-526.08","11019.86"
"47","03","00031369","Payment","28/05/2024","00031704","TRANSF | STAT 102","","TANDOOR THE CLAY OVEN","-1329.03","9690.83"
"48","03","00031369","Payment","28/05/2024","00031923","TRANSF | STAT 102","","TANDOOR THE CLAY OVEN","-3930.93","5759.90"
"49","03","00031369","Payment","28/05/2024","00032094","TRANSF | STAT 102","","TANDOOR THE CLAY OVEN","-2620.62","3139.28"
"50","03","00031369","Payment","28/05/2024","00032413","TRANSF | STAT 102","","TANDOOR THE CLAY OVEN","-3139.28","0.00"
"51","02","00032541","Invoice","28/05/2024","00032541","D/N 8927","","TANDOOR THE CLAY OVEN","2620.62","2620.62"
"52","02","00032542","Invoice","28/05/2024","00032542","D/N 32541 EMPTIES","","TANDOOR THE CLAY OVEN","690.00","3310.62"
"53","02","00008587","Crd Note","29/05/2024","00032542","D/N 32541 EMPTIES","","TANDOOR THE CLAY OVEN","-690.00","2620.62"
"54","02","00008677","Crd Note","05/06/2024","00032765","322764-EMPTY","","TANDOOR THE CLAY OVEN","-598.00","2022.62"
"55","02","00032764","Invoice","05/06/2024","00032764","DN#8943","","TANDOOR THE CLAY OVEN","1310.31","3332.93"
"56","02","00032765","Invoice","05/06/2024","00032765","322764-EMPTY","","TANDOOR THE CLAY OVEN","598.00","3930.93"
"57","02","00008809","Crd Note","13/06/2024","00033048","33047- EMPTY","","TANDOOR THE CLAY OVEN","-1794.00","2136.93"
"58","02","00033047","Invoice","13/06/2024","00033047","DN#9071","","TANDOOR THE CLAY OVEN","3004.72","5141.65"
"59","02","00033048","Invoice","13/06/2024","00033048","33047- EMPTY","","TANDOOR THE CLAY OVEN","1794.00","6935.65"
"60","02","00008843","Crd Note","14/06/2024","00033125","33124- EMPTY","","TANDOOR THE CLAY OVEN","-598.00","6337.65"
"61","02","00033124","Invoice","14/06/2024","00033124","DN#9088","","TANDOOR THE CLAY OVEN","2508.29","8845.94"
