allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,slice_amount,target_doc,target_date,lpg_target_amount,allocated_amount,variance,allocation_type,confidence,review_required,batch_id,erp_stat
AL-0001,AG-BATCH-2023-06-26,22182,2023-07-03,45264.25,9271.37,19704,2023-04-28,9509.1,9271.37,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-06-26,STAT:92
AL-0002,AG-BATCH-2023-06-26,22182,2023-07-03,45264.25,11077.95,19706,2023-04-28,11362,11077.95,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-06-26,STAT:92
AL-0003,AG-BATCH-2023-06-26,22182,2023-07-03,45264.25,10458.65,19768,2023-04-29,10726.82,10458.65,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-06-26,STAT:92
AL-0004,AG-BATCH-2023-06-26,22182,2023-07-03,45264.25,12244.05,19769,2023-04-29,12558,12244.05,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-06-26,STAT:92
AL-0005,AG-BATCH-2023-06-26,22182,2023-07-03,45264.25,2212.23,20606,2023-05-24,2268.95,2212.23,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-06-26,STAT:92
AL-0006,AG-BATCH-2023-07-26,23115,2023-07-26,7942.14,3403.77,21122,2023-06-08,3491.05,3403.77,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-07-26,STAT 92
AL-0007,AG-BATCH-2023-07-26,23115,2023-07-26,7942.14,4538.37,21594,2023-06-23,4654.74,4538.37,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-07-26,STAT 92
AL-0008,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,3450,20607,2023-05-24,3450,3450,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0009,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,5175,21123,2023-06-08,5175,5175,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0010,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,6727.5,21597,2023-06-23,6900,6727.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0011,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,7063.87,22058,2023-07-06,7245,7063.87,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0012,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,6883.4,22060,2023-07-06,7059.9,6883.4,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0013,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,5225.02,22255,2023-07-12,5359,5225.02,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0014,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,6727.5,22268,2023-07-12,6900,6727.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0018,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,8405.48,22626,2023-07-21,8621.01,8405.48,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0019,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,10091.25,22627,2023-07-21,10350,10091.25,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0020,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,2158.16,22702,2023-07-24,2213.5,2158.16,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0021,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,1681.87,22739,2023-07-24,1725,1681.87,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0015,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,3027.37,5038,2023-07-20,3105,3027.37,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0023,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,5045.62,5155,2023-07-31,5175,5045.62,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0016,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,6391.12,5308,2023-07-20,6555,6391.12,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0024,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,6054.75,5443,2023-08-02,6210,6054.75,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0017,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,6727.5,5498,2023-07-20,6900,6727.5,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0022,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,7400.25,5603,2023-07-26,7590,7400.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0025,AG-BATCH-2023-08-28,23836,2023-09-01,26924.19,2018.25,5632,2023-08-04,2070,2018.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-08-28,STAT 93
AL-0026,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,3508.84,23075,2023-08-03,3943.81,3508.84,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0027,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,6727.5,23077,2023-08-03,6900,6727.5,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0029,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,6964.08,23311,2023-08-10,7142.65,6964.08,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0030,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,7400.25,23312,2023-08-10,7590,7400.25,0,REMITTANCE_EXPLICIT,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0028,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,4709.25,5768,2023-08-08,4830,4709.25,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0031,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,5045.62,5845,2023-08-14,5175,5045.62,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-09-26,STAT 94
AL-0032,AG-BATCH-2023-09-26,24560,2023-09-26,14317.17,192.24,5845/5875,2023-08-14,197.17,192.24,0,REMITTANCE_CN_OFFSET,Confirmed,false,BATCH-2023-09-26,STAT 94
