source_txt,docno,entry,doc_date,erp_amount,is_settlement_row,on_remittance,remittance_batches,remittance_original,erp_ref
raw/TWK0022023.TXT,00019704,Invoice,28/04/2023,9509.10,false,true,BATCH-2023-06-26,9509.10,"D/N 4145"
raw/TWK0022023.TXT,00019706,Invoice,28/04/2023,11362.00,false,true,BATCH-2023-06-26,11362.00,"D/N 4145 EMPTIES"
raw/TWK0022023.TXT,00019768,Invoice,29/04/2023,10726.82,false,true,BATCH-2023-06-26,10726.82,"D/N 4147"
raw/TWK0022023.TXT,00019769,Invoice,29/04/2023,12558.00,false,true,BATCH-2023-06-26,12558.00,"D/N 4147 EMPTIES"
raw/TWK0022023.TXT,00019977,Invoice,06/05/2023,12731.05,false,false,,,"D/N 4172"
raw/TWK0022023.TXT,00019985,Invoice,06/05/2023,19734.00,false,false,,,"D/N 4172 EMPTIES"
raw/TWK0022023.TXT,00004917,Crd Note,12/05/2023,-12731.05,false,false,,,"D/N 4172"
raw/TWK0022023.TXT,00004918,Crd Note,12/05/2023,-19734.00,false,false,,,"D/N 4172 EMPTIES"
raw/TWK0022023.TXT,00005038,Crd Note,24/05/2023,-3105.00,false,true,BATCH-2023-08-28,-3105.00,"D/N 4777 EMPTIES"
raw/TWK0022023.TXT,00020606,Invoice,24/05/2023,2268.95,false,true,BATCH-2023-06-26,2268.95,"D/N 4777"
raw/TWK0022023.TXT,00020607,Invoice,24/05/2023,3450.00,false,true,BATCH-2023-08-28,3450.00,"D/N 4777 EMPTIES"
raw/TWK0022023.TXT,00005155,Crd Note,08/06/2023,-5175.00,false,true,BATCH-2023-08-28,-5175.00,"D/N 4675 EMPTIES"
raw/TWK0022023.TXT,00021122,Invoice,08/06/2023,3491.05,false,true,BATCH-2023-07-26,3491.05,"D/N 4799"
raw/TWK0022023.TXT,00021123,Invoice,08/06/2023,5175.00,false,true,BATCH-2023-08-28,5175.00,"D/N 4675 EMPTIES"
raw/TWK0022023.TXT,00005308,Crd Note,23/06/2023,-6555.00,false,true,BATCH-2023-08-28,-6555.00,"D/N 5238 EMPTIES"
raw/TWK0022023.TXT,00021594,Invoice,23/06/2023,4654.74,false,true,BATCH-2023-07-26,4654.74,"D/N 5238"
raw/TWK0022023.TXT,00021597,Invoice,23/06/2023,6900.00,false,true,BATCH-2023-08-28,6900.00,"D/N 5238 EMPTIES"
raw/TWK0022023.TXT,00022182,Payment,03/07/2023,-46424.87,true,false,,,"TRANSF | STAT:92"
raw/TWK0022023.TXT,00005443,Crd Note,06/07/2023,-6210.00,false,true,BATCH-2023-08-28,-6210.00,"D/N 4869 EMPTIES"
raw/TWK0022023.TXT,00022058,Invoice,06/07/2023,7245.00,false,true,BATCH-2023-08-28,7245.00,"D/N 4869 EMPTIES"
raw/TWK0022023.TXT,00022060,Invoice,06/07/2023,7059.90,false,true,BATCH-2023-08-28,7059.90,"D/N 4869"
raw/TWK0022023.TXT,00005498,Crd Note,12/07/2023,-6900.00,false,true,BATCH-2023-08-28,-6900.00,"D/N 4888 EMPTIES"
raw/TWK0022023.TXT,00022255,Invoice,12/07/2023,5359.00,false,true,BATCH-2023-08-28,5359.00,"D/N 4888"
raw/TWK0022023.TXT,00022268,Invoice,12/07/2023,6900.00,false,true,BATCH-2023-08-28,6900.00,"D/N 4888 EMPTIES"
raw/TWK0022023.TXT,00005603,Crd Note,21/07/2023,-7590.00,false,true,BATCH-2023-08-28,-7590.00,"D/N 5518 EMPTIES"
raw/TWK0022023.TXT,00022626,Invoice,21/07/2023,8621.01,false,true,BATCH-2023-08-28,8621.01,"D/N 5518"
raw/TWK0022023.TXT,00022627,Invoice,21/07/2023,10350.00,false,true,BATCH-2023-08-28,10350.00,"D/N 5518 EMPTIES"
raw/TWK0022023.TXT,00005632,Crd Note,24/07/2023,-2070.00,false,true,BATCH-2023-08-28,-2070.00,"D/N 5529 EMPTIES"
raw/TWK0022023.TXT,00022702,Invoice,24/07/2023,2213.50,false,true,BATCH-2023-08-28,2213.50,"D/N 5529"
raw/TWK0022023.TXT,00022739,Invoice,24/07/2023,1725.00,false,true,BATCH-2023-08-28,1725.00,"D/N 5529 EMPTIES"
raw/TWK0022023.TXT,00023115,Payment,26/07/2023,-8145.79,true,false,,,"TRANSF | STAT 92"
raw/TWK0022023.TXT,00005768,Crd Note,03/08/2023,-4830.00,false,true,BATCH-2023-09-26,-4830.00,"D/N 5865 EMPTIES"
raw/TWK0022023.TXT,00023075,Invoice,03/08/2023,3943.81,false,true,BATCH-2023-09-26|BATCH-2024-03-26,7887.62,"D/N 5865"
raw/TWK0022023.TXT,00023077,Invoice,03/08/2023,6900.00,false,true,BATCH-2023-09-26,6900.00,"D/N 5865 EMPTIES"
raw/TWK0022023.TXT,00023311,Invoice,10/08/2023,7142.65,false,true,BATCH-2023-09-26,7142.65,"D/N 5592"
raw/TWK0022023.TXT,00023312,Invoice,10/08/2023,7590.00,false,true,BATCH-2023-09-26,7590.00,"D/N 5592 EMPTIES"
raw/TWK0022023.TXT,00005845,Crd Note,11/08/2023,-5520.00,false,true,BATCH-2023-09-26,-5175.00,"D/N 5592 EMPTIES"
raw/TWK0022023.TXT,00005875,Crd Note,14/08/2023,-197.19,false,true,BATCH-2023-09-26,-345.00,"D/N 5592"
raw/TWK0022023.TXT,00006078,Crd Note,01/09/2023,-10350.00,false,true,BATCH-2023-10-26,-10350.00,"D/N 6423 EMPTIES"
raw/TWK0022023.TXT,00023836,Payment,01/09/2023,-27738.41,true,false,,,"TRANSF | STAT 93"
raw/TWK0022023.TXT,00024011,Invoice,01/09/2023,8532.19,false,true,BATCH-2023-10-26|BATCH-2023-11-27,17064.38,"D/N 6423"
raw/TWK0022023.TXT,00024012,Invoice,01/09/2023,10350.00,false,true,BATCH-2023-10-26,10350.00,"D/N 6423 EMPTIES"
raw/TWK0022023.TXT,00006134,Crd Note,06/09/2023,-6900.00,false,true,BATCH-2023-10-26,-6900.00,"D/N 6392 EMPTIES"
raw/TWK0022023.TXT,00024201,Invoice,06/09/2023,8532.19,false,true,BATCH-2023-10-26,8532.19,"D/N 6392"
raw/TWK0022023.TXT,00024202,Invoice,06/09/2023,10350.00,false,true,BATCH-2023-10-26,10350.00,"D/N 6392 EMPTIES"
raw/TWK0022023.TXT,00024560,Payment,26/09/2023,-14684.27,true,false,,,"TRANSF | STAT 94"
raw/TWK0022023.TXT,00006387,Crd Note,02/10/2023,-11040.00,false,true,BATCH-2023-10-26,-11040.00,"D/N 6492 EMPTIES"
raw/TWK0022023.TXT,00025042,Invoice,02/10/2023,8330.42,false,true,BATCH-2023-11-27,8330.42,"D/N 6492"
raw/TWK0022023.TXT,00025043,Invoice,02/10/2023,11040.00,false,true,BATCH-2023-10-26,11040.00,"D/N 6492 EMPTIES"
raw/TWK0022023.TXT,00006461,Crd Note,09/10/2023,-3450.00,false,true,BATCH-2023-11-27,-3450.00,"D/N 6266 EMPTIES"
raw/TWK0022023.TXT,00006462,Crd Note,09/10/2023,-4485.00,false,true,BATCH-2023-11-27,-4485.00,"D/N 6266 EMPTIES"
raw/TWK0022023.TXT,00025293,Invoice,09/10/2023,7466.86,false,true,BATCH-2023-11-27,7466.86,"D/N 6266"
raw/TWK0022023.TXT,00025294,Invoice,09/10/2023,4140.00,false,true,BATCH-2023-11-27,4140.00,"D/N 6266 EMPTIES"
raw/TWK0022023.TXT,00006667,Crd Note,31/10/2023,-11040.00,false,true,BATCH-2023-11-27,-11040.00,"D/N 6758 EMPTIES"
raw/TWK0022023.TXT,00026027,Invoice,31/10/2023,13315.01,false,true,BATCH-2023-11-27,13315.01,"D/N 6758"
raw/TWK0022023.TXT,00026033,Invoice,31/10/2023,13800.00,false,true,BATCH-2023-11-27,13800.00,"D/N 6758 EMPTIES"
raw/TWK0022023.TXT,00025906,Payment,08/11/2023,-17064.38,true,false,,,"TRANSF | STAT 95"
raw/TWK0022023.TXT,00006810,Crd Note,14/11/2023,-10005.00,false,true,BATCH-2024-03-26,-10005.00,"D/N 6859 EMPTIES"
raw/TWK0022023.TXT,00006816,Crd Note,14/11/2023,-7532.33,false,false,,,"QTY"
raw/TWK0022023.TXT,00026553,Invoice,14/11/2023,7532.25,false,false,,,"D/N 6859"
raw/TWK0022023.TXT,00026554,Invoice,14/11/2023,10350.00,false,true,BATCH-2024-03-26,10350.00,"D/N 6859 EMPTIES"
raw/TWK0022023.TXT,00026577,Invoice,14/11/2023,8764.79,false,true,BATCH-2024-03-26,8764.79,"D/N 6859"
raw/TWK0022023.TXT,00026681,Payment,29/11/2023,-31872.29,true,false,,,"TRANSF | STAT 96"
raw/TWK0022023.TXT,00006990,Crd Note,06/12/2023,-16215.00,false,true,BATCH-2024-03-26,-16215.00,"D/N 7111 EMPTIES"
raw/TWK0022023.TXT,00027340,Invoice,06/12/2023,23007.60,false,true,BATCH-2024-03-26,23007.60,"D/N 7111"
raw/TWK0022023.TXT,00027341,Invoice,06/12/2023,19320.00,false,true,BATCH-2024-03-26,19320.00,"D/N 7111 EMPTIES"
raw/TWK0022023.TXT,00007127,Crd Note,19/12/2023,-8625.00,false,true,BATCH-2024-03-26,-8625.00,"D/N 7529 EMPTIES"
raw/TWK0022023.TXT,00027764,Invoice,19/12/2023,13119.20,false,true,BATCH-2024-03-26,13119.20,"D/N 7529"
raw/TWK0022023.TXT,00027765,Invoice,19/12/2023,13800.00,false,true,BATCH-2024-03-26,13800.00,"D/N 7529 EMPTIES"
raw/TWK0022023.TXT,00007332,Crd Note,18/01/2024,-8625.00,false,true,BATCH-2024-03-26,-8625.00,"D/N 7733 EMPTIES"
raw/TWK0022023.TXT,00028765,Invoice,18/01/2024,10732.43,false,true,BATCH-2024-03-26,10732.43,"D/N 7733"
raw/TWK0022023.TXT,00028766,Invoice,18/01/2024,8625.00,false,true,BATCH-2024-03-26,8625.00,"D/N 7733 EMPTIES"
raw/TWK0022023.TXT,00007410,Crd Note,31/01/2024,-18285.00,false,true,BATCH-2024-03-26,-18285.00,"D/N 7370 EMPTIES"
raw/TWK0022023.TXT,00029140,Invoice,31/01/2024,14650.14,false,true,BATCH-2024-03-26,14650.14,"D/N 7370"
raw/TWK0022023.TXT,00029141,Invoice,31/01/2024,13800.00,false,true,BATCH-2024-04-26,13800.00,"D/N 7370 EMPTIES"
raw/TWK0022023.TXT,00007547,Crd Note,26/02/2024,-16146.00,false,true,BATCH-2024-03-26,-16146.00,"D/N 7391 EMPTIES"
raw/TWK0022023.TXT,00029889,Invoice,26/02/2024,11363.38,false,true,BATCH-2024-03-26,11363.38,"D/N 7391"
raw/TWK0022023.TXT,00029890,Invoice,26/02/2024,17940.00,false,true,BATCH-2024-03-26,17940.00,"D/N 7391 EMPTIES"
raw/TWK0022024.TXT,00037732,Bank UD,23/07/2024,10430.79,true,false,,,"TRANSF | STAT:105"
raw/TWK0022024.TXT,00007848,Crd Note,27/03/2024,-23920.00,false,true,BATCH-2024-04-26,-23920.00,"30762- EMPTY"
raw/TWK0022024.TXT,00008120,Crd Note,18/04/2024,-16744.00,false,true,BATCH-2024-05-27,-16744.00,"31404- EMPTY"
raw/TWK0022024.TXT,00008324,Crd Note,06/05/2024,-16744.00,false,true,BATCH-2024-06-26,-16744.00,"31907 - EMPTY"
raw/TWK0022024.TXT,00008530,Crd Note,24/05/2024,-19136.00,false,true,BATCH-2024-06-26,-19136.00,"32419-EMPTY"
raw/TWK0022024.TXT,00008700,Crd Note,07/06/2024,-548.49,false,true,BATCH-2024-06-26,-548.30,"DN#8920"
raw/TWK0022024.TXT,00008913,Crd Note,20/06/2024,-25116.00,false,true,BATCH-2024-07-26,-25116.00,"33277-EMPTY"
raw/TWK0022024.TXT,00009158,Crd Note,04/07/2024,-12075.00,false,false,,,"EMPTIES"
raw/TWK0022024.TXT,00009393,Crd Note,04/07/2024,-20930.00,false,true,BATCH-2024-09-26,-20930.00,"D/N 9760"
raw/TWK0022024.TXT,00009426,Crd Note,18/07/2024,-19734.00,false,true,BATCH-2024-08-26,-19734.00,"34337-EMPTY"
raw/TWK0022024.TXT,00009769,Crd Note,08/08/2024,-22724.00,false,true,BATCH-2024-09-26,-22724.00,"35091-EMPTY"
raw/TWK0022024.TXT,00010189,Crd Note,07/09/2024,-25611.05,false,true,BATCH-2024-11-26,-25611.05,"36005-EMPTY"
raw/TWK0022024.TXT,00010617,Crd Note,03/10/2024,-17100.00,false,true,BATCH-2024-11-26,-17100.02,"EMPTY 10168"
raw/TWK0022024.TXT,00010723,Crd Note,10/10/2024,-19320.00,false,false,,,"EMPTY 10168"
raw/TWK0022024.TXT,00011003,Crd Note,31/10/2024,-18285.00,false,true,BATCH-2024-11-26,-18285.00,"EMPTY 11171"
raw/TWK0022024.TXT,00011320,Crd Note,26/11/2024,-22425.00,false,true,BATCH-2024-12-27,-22425.00,"DN#10764"
raw/TWK0022024.TXT,00011475,Crd Note,13/12/2024,-15870.00,false,true,BATCH-2025-01-31,-15870.00,"DN#10831"
raw/TWK0022024.TXT,00011648,Crd Note,08/01/2025,-15870.00,false,true,BATCH-2025-03-31,-15870.00,"DN#11910"
raw/TWK0022024.TXT,00011743,Crd Note,22/01/2025,-10350.00,false,true,BATCH-2025-03-31,-10350.00,"DN#11939"
raw/TWK0022024.TXT,00011821,Crd Note,05/02/2025,-13282.50,false,true,BATCH-2025-03-31,-13282.50,"DN#12753"
raw/TWK0022024.TXT,00011953,Crd Note,24/02/2025,-15352.50,false,true,BATCH-2025-03-31,-15352.50,"DN#12795"
raw/TWK0022024.TXT,00030762,Invoice,27/03/2024,15003.94,false,true,BATCH-2024-04-26,15003.94,"DN#8075 SO#8034"
raw/TWK0022024.TXT,00030763,Invoice,27/03/2024,23920.00,false,true,BATCH-2024-04-26,23920.00,"30762- EMPTY"
raw/TWK0022024.TXT,00031404,Invoice,18/04/2024,10825.64,false,true,BATCH-2024-05-27,10825.64,"DN#8675 SO#8229"
raw/TWK0022024.TXT,00031405,Invoice,18/04/2024,17940.00,false,true,BATCH-2024-05-27,17940.00,"31404- EMPTY"
raw/TWK0022024.TXT,00031907,Invoice,06/05/2024,10677.41,false,true,BATCH-2024-06-26,10677.41,"DN#8907 SO#8339"
raw/TWK0022024.TXT,00031908,Invoice,06/05/2024,17940.00,false,true,BATCH-2024-06-26,17940.00,"31907 - EMPTY"
raw/TWK0022024.TXT,00032419,Invoice,24/05/2024,17956.15,false,true,BATCH-2024-06-26,17956.15,"DN#8920"
raw/TWK0022024.TXT,00032425,Invoice,24/05/2024,28106.00,false,true,BATCH-2024-06-26,28106.00,"32419-EMPTY"
raw/TWK0022024.TXT,00033277,Invoice,20/06/2024,15372.51,false,true,BATCH-2024-07-26,15372.51,"DN39971"
raw/TWK0022024.TXT,00033278,Invoice,20/06/2024,26910.00,false,true,BATCH-2024-07-26,26910.00,"33277-EMPTY"
raw/TWK0022024.TXT,00033800,Invoice,04/07/2024,8724.99,false,true,BATCH-2024-08-26,8724.99,"D/N 9760"
raw/TWK0022024.TXT,00033801,Invoice,04/07/2024,12075.00,false,true,BATCH-2024-09-26,12075.00,"EMPTIES"
raw/TWK0022024.TXT,00034285,Invoice,04/07/2024,20930.00,false,false,,,"D/N 9760"
raw/TWK0022024.TXT,00034342,Invoice,18/07/2024,13613.85,false,true,BATCH-2024-08-26,13613.85,"DN#9592"
raw/TWK0022024.TXT,00034343,Invoice,18/07/2024,19136.00,false,true,BATCH-2024-08-26,19136.00,"34337-EMPTY"
raw/TWK0022024.TXT,00035091,Invoice,08/08/2024,11606.17,false,true,BATCH-2024-09-26,11606.17,"D/N 11370"
raw/TWK0022024.TXT,00035092,Invoice,08/08/2024,22724.00,false,true,BATCH-2024-09-26,22724.00,"35091-EMPTY"
raw/TWK0022024.TXT,00036005,Invoice,06/09/2024,15401.49,false,true,BATCH-2024-10-26,15401.49,"DN#10943"
raw/TWK0022024.TXT,00036006,Invoice,06/09/2024,23920.00,false,true,BATCH-2024-10-26,23920.00,"36005-EMPTY"
raw/TWK0022024.TXT,00036926,Invoice,03/10/2024,21036.66,false,true,BATCH-2024-11-26,21036.66,"D/N 1068"
raw/TWK0022024.TXT,00036927,Invoice,03/10/2024,19320.00,false,false,,,"EMPTY 10168"
raw/TWK0022024.TXT,00037189,Invoice,03/10/2024,21045.00,false,true,BATCH-2024-11-26,21045.00,"36927 EMPTY"
raw/TWK0022024.TXT,00037817,Invoice,31/10/2024,20296.12,false,true,BATCH-2024-11-26,20296.12,"D/N 11171"
raw/TWK0022024.TXT,00037818,Invoice,31/10/2024,20700.00,false,true,BATCH-2024-11-26,20700.00,"EMPTY 11171"
raw/TWK0022024.TXT,00038582,Invoice,26/11/2024,34840.07,false,true,BATCH-2024-12-27,34840.07,"DN#10764"
raw/TWK0022024.TXT,00039022,Invoice,13/12/2024,20381.05,false,true,BATCH-2025-01-31,20381.05,"DN#10831"
raw/TWK0022024.TXT,00039683,Invoice,08/01/2025,26765.92,false,true,BATCH-2025-03-31,26765.92,"DN#11910"
raw/TWK0022024.TXT,00040081,Invoice,22/01/2025,15608.03,false,true,BATCH-2025-03-31,15608.03,"DN#11939"
raw/TWK0022024.TXT,00040459,Invoice,05/02/2025,22945.95,false,true,BATCH-2025-03-31,22945.95,"DN#12753"
raw/TWK0022024.TXT,00040950,Invoice,24/02/2025,25457.87,false,true,BATCH-2025-03-31,25457.87,"DN#12795"
raw/TWK0022024.TXT,00000334,Journal,26/10/2024,-385.04,true,false,,,"DISCOUNT ALLOWED"
raw/TWK0022024.TXT,00029684,Payment,27/03/2024,-77692.03,true,false,,,"TRANSF | STAT 100"
raw/TWK0022024.TXT,00030419,Payment,25/04/2024,-28428.84,true,false,,,"TRANSF | STAT 101"
raw/TWK0022024.TXT,00031365,Payment,27/05/2024,-11721.10,true,false,,,"TRANSF | STAT 102"
raw/TWK0022024.TXT,00031558,Payment,26/06/2024,-39057.53,true,false,,,"TRANSF | STAT 103"
raw/TWK0022024.TXT,00032332,Payment,30/07/2024,-18061.64,true,false,,,"TRANSF | STAT 104"
raw/TWK0022024.TXT,00033224,Payment,26/08/2024,-22338.84,true,false,,,"TRANSF | STAT 105"
raw/TWK0022024.TXT,00033921,Payment,26/09/2024,-2984.27,true,false,,,"TRANSF | STAT 106"
raw/TWK0022024.TXT,00034518,Payment,26/10/2024,-385.04,true,false,,,"TRANSF | STAT 107"
raw/TWK0022024.TXT,00034518,Payment,26/10/2024,-38338.45,true,false,,,"TRANSF | STAT 107"
raw/TWK0022024.TXT,00035263,Payment,10/12/2024,-22581.72,true,false,,,"TRANSF | STAT 108"
raw/TWK0022024.TXT,00036195,Payment,27/12/2024,-12104.70,true,false,,,"TRANSF | STAT 109"
raw/TWK0022024.TXT,00036467,Payment,31/01/2025,-4398.27,true,false,,,"TRANSF | STAT 110"
raw/TWK0022024.TXT,00037732,Payment,23/07/2024,-10430.79,true,false,,,"TRANSF | STAT:105"
