batch_id,erp_payment_doc,erp_payment_date,erp_stat,erp_payment_gross,remittance_cash,remittance_gross,remittance_discount,erp_gross_variance,erp_cash_variance,cash_exact_match,model_b_check
BATCH-2024-03-26,00029684,2024-03-27,STAT 100,-77692.03,-73610.18,74116.54,506.36,3575.49,4081.85,False,True
BATCH-2024-04-26,00030419,2024-04-25,STAT 101,-28428.84,-28428.84,28803.94,375.1,-375.1,0.0,True,True
BATCH-2024-05-27,00031365,2024-05-27,STAT 102,-11721.1,-11721.1,12021.64,300.54,-300.54,0.0,True,True
BATCH-2024-06-26,00031558,2024-06-26,STAT 103,-39057.53,-37294.98,38251.26,956.28,806.27,1762.55,False,True
BATCH-2024-07-26,00032332,2024-07-30,STAT 104,-18061.64,-16737.35,17166.51,429.16,895.13,1324.29,False,True
BATCH-2024-08-26,00033224,2024-08-26,STAT 105,-22338.84,-21197.32,21740.84,543.52,598.0,1141.52,False,True
BATCH-2024-09-26,00033921,2024-09-26,STAT 106,-2984.27,-2984.27,2751.17,-233.1,233.1,0.0,True,True
BATCH-2024-10-26,00034518,2024-10-26,STAT 107,-38338.45,-38338.45,39321.49,983.04,-983.04,0.0,True,True
BATCH-2024-11-26,00035263,2024-12-10,STAT 108,-22581.72,-21529.67,22081.71,552.04,500.01,1052.05,False,True
BATCH-2024-12-27,00036195,2024-12-27,STAT 109,-12104.7,-12104.7,12415.07,310.37,-310.37,0.0,True,True
