stat_label,erp_doc,erp_date,erp_amount,remittance_paid_date,source_pdf,phase2_batch_id,link_status,journal_status,discount_posted,notes
STAT 110,00036467,2025-01-31,-4398.27,2025-01-31,31.01.2025.pdf,BATCH-2025-01-31,LINKED,DONE,-112.78,Posted 2026-08-09
STAT 111,,,,,,,NO_ERP_PAYMENT,,,No TRANSF|STAT 111 in TWK002 TXT exports
STAT 112,00037770,2025-03-28,-35693.84,2025-03-31,31.03.2025(1).pdf,BATCH-2025-03-31,LINKED,DONE,-228.93,Posted 2026-08-09
STAT 113,,,,,,,NO_ERP_PAYMENT,,,
STAT 114,00039080,2025-05-30,-15365.65,2025-05-31,31.05.2025.pdf,BATCH-2025-05-31,LINKED,DONE,-393.99,Posted 2026-08-09
STAT 115,,,,,,,NO_ERP_PAYMENT,,,
STAT 116,,,,,,,NO_ERP_PAYMENT,,,
STAT 117,,,,,,,NO_ERP_PAYMENT,,,
STAT 118,,,,,,,NO_ERP_PAYMENT,,,
STAT 119,,,,,,,NO_ERP_PAYMENT,,,
STAT 120,,,,,,,NO_ERP_PAYMENT,,,
STAT 121,,,,,,,NO_ERP_PAYMENT,,,
STAT 122,,,,,,,NO_ERP_PAYMENT,,,
STAT 123,00043500,2026-02-25,-176824.24,2026-02-28,18.02.2026.pdf,BATCH-2026-STAT-123,LINKED_MISMATCH,REVIEW,0.00,See TWK002_STAT123_Remittance_2026-02-18.md
