debtor_code,doc_no,entry_type,tx_date,month_year,stock_code,description,debt_group,lane,qty,amount_excl,tax_amount,amount_incl,is_cyl,is_lpg,paired_cyl_doc,notes
TWK002,00019704,Invoice,2023-04-27,2023-04,9.4,D/N 4145,LPG,LPG,15,3413.7,512.05,3925.75,False,True,,Pulled from vw_clean_transactions
TWK002,00019704,Invoice,2023-04-27,2023-04,S.3,D/N 4145,LPG,LPG,4,4855.09,728.26,5583.35,False,True,,Pulled from vw_clean_transactions
TWK002,00019706,Invoice,2023-04-27,2023-04,9.1,D/N 4145 EMPTIES,CYL,CYL,15,7800,1170,8970,True,False,,Pulled from vw_clean_transactions
TWK002,00019706,Invoice,2023-04-27,2023-04,S.1,D/N 4145 EMPTIES,CYL,CYL,4,2080,312,2392,True,False,,Pulled from vw_clean_transactions
TWK002,00019768,Invoice,2023-04-28,2023-04,1401,D/N 4147,LPG,LPG,6,2123.37,318.51,2441.88,False,True,,Pulled from vw_clean_transactions
TWK002,00019768,Invoice,2023-04-28,2023-04,1901,D/N 4147,LPG,LPG,15,7204.3,1080.64,8284.94,False,True,,Pulled from vw_clean_transactions
TWK002,00019769,Invoice,2023-04-28,2023-04,14.1,D/N 4147 EMPTIES,CYL,CYL,6,3120,468,3588,True,False,,Pulled from vw_clean_transactions
TWK002,00019769,Invoice,2023-04-28,2023-04,19.1,D/N 4147 EMPTIES,CYL,CYL,15,7800,1170,8970,True,False,,Pulled from vw_clean_transactions
TWK002,00019977,Invoice,2023-05-05,2023-05,14.4,D/N 4172,LPG,LPG,6,1841.43,276.21,2117.64,False,True,,Pulled from vw_clean_transactions
TWK002,00019977,Invoice,2023-05-05,2023-05,19.3,D/N 4172,LPG,LPG,10,4165.13,624.77,4789.9,False,True,,Pulled from vw_clean_transactions
TWK002,00019977,Invoice,2023-05-05,2023-05,9.3,D/N 4172,LPG,LPG,15,2959.43,443.92,3403.35,False,True,,Pulled from vw_clean_transactions
TWK002,00019977,Invoice,2023-05-05,2023-05,S.3,D/N 4172,LPG,LPG,2,2104.49,315.67,2420.16,False,True,,Pulled from vw_clean_transactions
TWK002,00019985,Invoice,2023-05-05,2023-05,14.1,D/N 4172 EMPTIES,CYL,CYL,6,3120,468,3588,True,False,,Pulled from vw_clean_transactions
TWK002,00019985,Invoice,2023-05-05,2023-05,19.1,D/N 4172 EMPTIES,CYL,CYL,10,5200,780,5980,True,False,,Pulled from vw_clean_transactions
TWK002,00019985,Invoice,2023-05-05,2023-05,9.1,D/N 4172 EMPTIES,CYL,CYL,15,7800,1170,8970,True,False,,Pulled from vw_clean_transactions
TWK002,00019985,Invoice,2023-05-05,2023-05,S.1,D/N 4172 EMPTIES,CYL,CYL,2,1040,156,1196,True,False,,Pulled from vw_clean_transactions
TWK002,00004917,Crd Note,2023-05-11,2023-05,14.4,D/N 4172,LPG,LPG,-6,-1841.43,-276.21,-2117.64,False,True,19977,Pulled from vw_clean_transactions
TWK002,00004917,Crd Note,2023-05-11,2023-05,19.3,D/N 4172,LPG,LPG,-10,-4165.13,-624.77,-4789.9,False,True,19977,Pulled from vw_clean_transactions
TWK002,00004917,Crd Note,2023-05-11,2023-05,9.3,D/N 4172,LPG,LPG,-15,-2959.43,-443.92,-3403.35,False,True,19977,Pulled from vw_clean_transactions
TWK002,00004917,Crd Note,2023-05-11,2023-05,S.3,D/N 4172,LPG,LPG,-2,-2104.49,-315.67,-2420.16,False,True,19977,Pulled from vw_clean_transactions
TWK002,00004918,Crd Note,2023-05-11,2023-05,14.1,D/N 4172 EMPTIES,CYL,CYL,-6,-3120,-468,-3588,True,False,19985,Pulled from vw_clean_transactions
TWK002,00004918,Crd Note,2023-05-11,2023-05,19.1,D/N 4172 EMPTIES,CYL,CYL,-10,-5200,-780,-5980,True,False,19985,Pulled from vw_clean_transactions
TWK002,00004918,Crd Note,2023-05-11,2023-05,9.1,D/N 4172 EMPTIES,CYL,CYL,-15,-7800,-1170,-8970,True,False,19985,Pulled from vw_clean_transactions
TWK002,00004918,Crd Note,2023-05-11,2023-05,S.1,D/N 4172 EMPTIES,CYL,CYL,-2,-1040,-156,-1196,True,False,19985,Pulled from vw_clean_transactions
TWK002,00005038,Crd Note,2023-05-23,2023-05,19.1,D/N 4777 EMPTIES,CYL,CYL,-1,-300,-45,-345,True,False,20607,Pulled from vw_clean_transactions
