batch_id,remittance_paid_date,erp_payment_doc,erp_payment_date,erp_stat,erp_link_status,remittance_gross,remittance_cash,remittance_discount,cash_plus_discount,erp_payment_gross,erp_variance,line_count,line_net_sum,line_discount_sum,model_b_match,match_status,notes
BATCH-2024-03-26,2024-03-26,00029684,2024-03-27,STAT 100,LINKED,74116.54,73610.18,506.36,74116.54,-77692.03,3575.49,18,73610.18,506.36,True,ERP_GROSS_VARIANCE,"ERP over-posted R3,575.49 vs remittance gross"
BATCH-2024-04-26,2024-04-26,00030419,2024-04-25,STAT 101,LINKED,28803.94,28428.84,375.10,28803.94,-28428.84,-375.1,4,28428.84,375.10,True,CASH_ONLY_ERP,ERP posts remittance cash; discount journal R375.10 missing in payment
BATCH-2024-05-27,2024-05-27,00031365,2024-05-27,STAT 102,LINKED,12021.64,11721.10,300.54,12021.64,-11721.1,-300.54,3,11721.10,300.54,True,CASH_ONLY_ERP,ERP posts remittance cash; discount journal R300.54 missing in payment
BATCH-2024-06-26,2024-06-26,00031558,2024-06-26,STAT 103,LINKED,38251.26,37294.98,956.28,38251.26,-39057.53,806.27,7,37294.98,956.28,True,ERP_GROSS_VARIANCE,ERP over-posted R806.27 vs remittance gross
BATCH-2024-07-26,2024-07-26,00032332,2024-07-30,STAT 104,LINKED,17166.51,16737.35,429.16,17166.51,-18061.64,895.13,3,16737.35,429.16,True,ERP_GROSS_VARIANCE,ERP over-posted R895.13 vs remittance gross
BATCH-2024-08-26,2024-08-26,00033224,2024-08-26,STAT 105,LINKED,21740.84,21197.32,543.52,21740.84,-22338.84,598,4,21197.32,543.52,True,ERP_GROSS_VARIANCE,ERP over-posted R598.00 vs remittance gross
BATCH-2024-09-26,2024-09-26,00033921,2024-09-26,STAT 106,LINKED,2751.17,2984.27,-233.10,2751.17,-2984.27,233.1,5,2984.27,-233.10,True,CASH_ONLY_ERP,ERP posts remittance cash; discount journal R-233.10 missing in payment
BATCH-2024-10-26,2024-10-26,00034518,2024-10-26,STAT 107,LINKED,39321.49,38338.45,983.04,39321.49,-38338.45,-983.04,2,38338.45,983.04,True,CASH_ONLY_ERP,ERP posts remittance cash; discount journal R983.04 missing in payment
BATCH-2024-11-26,2024-11-26,00035263,2024-12-10,STAT 108,LINKED,22081.71,21529.67,552.04,22081.71,-22581.72,500.01,7,21529.67,552.04,True,ERP_GROSS_VARIANCE,ERP over-posted R500.01 vs remittance gross
BATCH-2024-12-27,2024-12-27,00036195,2024-12-27,STAT 109,LINKED,12415.07,12104.70,310.37,12415.07,-12104.7,-310.37,2,12104.70,310.37,True,CASH_ONLY_ERP,ERP posts remittance cash; discount journal R310.37 missing in payment
