debtor_code,payment_doc,payment_date,batch_ref,stat_no,amount,source_file,split_count,is_split_payment,notes
TWK002,00022182,2023-06-27,TRANSF,4,-46424.87,DRTX2024.TXT,10,True,Consolidated from 10 ERP segments
TWK002,00022182,2023-07-02,TRANSF,4,0,DRTX2024.TXT,13,True,Consolidated from 13 ERP segments
TWK002,00023115,2023-07-25,TRANSF,5,-8145.79,DRTX2024.TXT,7,True,Consolidated from 7 ERP segments
TWK002,00023836,2023-08-27,TRANSF,6,-27048.41,DRTX2024.TXT,13,True,Consolidated from 13 ERP segments
TWK002,00023836,2023-08-31,TRANSF,6,-690,DRTX2024.TXT,14,True,Consolidated from 14 ERP segments
TWK002,00024560,2023-09-25,TRANSF,7,-14684.27,DRTX2024.TXT,13,True,Consolidated from 13 ERP segments
TWK002,00025906,2023-10-25,TRANSF,8,-8532.19,DRTX2024.TXT,2,True,Consolidated from 2 ERP segments
TWK002,00025906,2023-11-07,TRANSF,8,-8532.19,DRTX2024.TXT,3,True,Consolidated from 3 ERP segments
TWK002,00026681,2023-11-27,TRANSF,9,-31872.29,DRTX2024.TXT,7,True,Consolidated from 7 ERP segments
TWK002,00026681,2023-11-28,TRANSF,9,0,DRTX2024.TXT,8,True,Consolidated from 8 ERP segments
TWK002,00029684,2024-03-25,TRANSF,1,-77692.03,DRTX2025.TXT,12,True,Consolidated from 12 ERP segments
TWK002,00029684,2024-03-26,TRANSF,1,0,DRTX2025.TXT,21,True,Consolidated from 21 ERP segments
TWK002,00030419,2024-04-24,TRANSF,2,0,DRTX2025.TXT,6,True,Consolidated from 6 ERP segments
TWK002,00030419,2024-04-25,TRANSF,2,-28428.84,DRTX2025.TXT,5,True,Consolidated from 5 ERP segments
TWK002,00031365,2024-05-26,TRANSF,3,-11721.1,DRTX2025.TXT,5,True,Consolidated from 5 ERP segments
TWK002,00031558,2024-06-25,TRANSF,4,-39057.53,DRTX2025.TXT,19,True,Consolidated from 19 ERP segments
TWK002,00037732,2024-07-22,TRANSF,0,10430.79,DTRX2603.TXT,2,True,Consolidated from 2 ERP segments
TWK002,00037732,2024-07-22,TRANSF,0,-10430.79,DTRX2603.TXT,2,True,Consolidated from 2 ERP segments
TWK002,00032332,2024-07-25,TRANSF,5,-18061.64,DRTX2025.TXT,5,True,Consolidated from 5 ERP segments
TWK002,00032332,2024-07-29,TRANSF,5,0,DRTX2025.TXT,6,True,Consolidated from 6 ERP segments
TWK002,00033224,2024-08-25,TRANSF,0,-22338.84,DTRX2603.TXT,7,True,Consolidated from 7 ERP segments
TWK002,00033921,2024-09-25,TRANSF,7,-2984.27,DRTX2025.TXT,3,True,Consolidated from 3 ERP segments
TWK002,00034518,2024-10-25,TRANSF,0,-38723.49,DTRX2603.TXT,3,True,Consolidated from 3 ERP segments
TWK002,00035263,2024-11-25,TRANSF,9,-22581.72,DRTX2025.TXT,4,True,Consolidated from 4 ERP segments
TWK002,00035263,2024-12-09,TRANSF,9,0,DRTX2025.TXT,5,True,Consolidated from 5 ERP segments
TWK002,00036195,2024-12-26,TRANSF,10,-12104.7,DRTX2025.TXT,3,True,Consolidated from 3 ERP segments
TWK002,00036467,2025-01-30,TRANSF,11,-4398.27,DRTX2025.TXT,3,True,Consolidated from 3 ERP segments
TWK002,00037770,2025-03-27,TRANSF,1,-71387.68,DETRANS2307.TXT,22,True,Consolidated from 22 ERP segments
TWK002,00039080,2025-05-29,TRANSF,3,-30731.3,DETRANS2307.TXT,8,True,Consolidated from 8 ERP segments
TWK002,00043500,2026-02-24,TRANSF,12,-353648.48,DTRX2603.TXT,40,True,Consolidated from 40 ERP segments
