line,period,docno,entry,date,invno,cust_ref,order,reference,amount,balance,source_type,batch_id,proforma_doc,notes
1,,,,,,BALANCE B/F:,,,0.0,0.00,erp_actual,,,
2,02,00019704,Invoice,28/04/2023,00019704,D/N 4145,00004946,TWK AGRI,9509.1,9509.10,erp_actual,,,
3,02,00019706,Invoice,28/04/2023,00019706,D/N 4145 EMPTIES,00004947,TWK AGRI,11362.0,20871.10,erp_actual,,,
4,02,00019768,Invoice,29/04/2023,00019768,D/N 4147,00004977,TWK AGRI,10726.82,31597.92,erp_actual,,,
5,02,00019769,Invoice,29/04/2023,00019769,D/N 4147 EMPTIES,00004978,TWK AGRI,12558.0,44155.92,erp_actual,,,
6,02,00019977,Invoice,06/05/2023,00019977,D/N 4172,00005120,TWK AGRI,12731.05,56886.97,erp_actual,,,
7,02,00019985,Invoice,06/05/2023,00019985,D/N 4172 EMPTIES,00005135,TWK AGRI,19734.0,76620.97,erp_actual,,,
8,03,00004917,Crd Note,12/05/2023,00019977,D/N 4172,00005120,TWK AGRI,-12731.05,63889.92,erp_actual,,,
9,03,00004918,Crd Note,12/05/2023,00019985,D/N 4172 EMPTIES,00005135,TWK AGRI,-19734.0,44155.92,erp_actual,,,
10,03,00005038,Crd Note,24/05/2023,00020607,D/N 4777 EMPTIES,,TWK AGRI,-3105.0,41050.92,erp_actual,,,
11,03,00020606,Invoice,24/05/2023,00020606,D/N 4777,00005325,TWK AGRI,2268.95,43319.87,erp_actual,,,
12,03,00020607,Invoice,24/05/2023,00020607,D/N 4777 EMPTIES,,TWK AGRI,3450.0,46769.87,erp_actual,,,
13,04,00005155,Crd Note,08/06/2023,00021123,D/N 4675 EMPTIES,,TWK AGRI,-5175.0,41594.87,erp_actual,,,
14,04,00021122,Invoice,08/06/2023,00021122,D/N 4799,00005544,TWK AGRI,3491.05,45085.92,erp_actual,,,
15,04,00021123,Invoice,08/06/2023,00021123,D/N 4675 EMPTIES,,TWK AGRI,5175.0,50260.92,erp_actual,,,
16,04,00005308,Crd Note,23/06/2023,00021597,D/N 5238 EMPTIES,,TWK AGRI,-6555.0,43705.92,erp_actual,,,
17,04,00021594,Invoice,23/06/2023,00021594,D/N 5238,00005709,TWK AGRI,4654.74,48360.66,erp_actual,,,
18,04,00021597,Invoice,23/06/2023,00021597,D/N 5238 EMPTIES,,TWK AGRI,6900.0,55260.66,erp_actual,,,
19,,PROFORMA-DJ-01,Journal,26/06/2023,,,,DISCOUNT ALLOWED,-1160.62,54100.04,proforma_journal,BATCH-2023-06-26,PROFORMA-DJ-01,Consolidated settlement discount BATCH-2023-06-26; post date per remittance; link 00022182
20,04,00022182,Payment,03/07/2023,,TRANSF | STAT:92,,TWK AGRI,-45264.25,8835.79,erp_adjusted_payment,BATCH-2023-06-26,,"Adjusted gross -46,424.87 -> cash -45,264.25 per remittance 2023-06-26"
21,05,00005443,Crd Note,06/07/2023,00022058,D/N 4869 EMPTIES,,TWK AGRI,-6210.0,2625.79,erp_actual,,,
22,05,00022058,Invoice,06/07/2023,00022058,D/N 4869 EMPTIES,,TWK AGRI,7245.0,9870.79,erp_actual,,,
23,05,00022060,Invoice,06/07/2023,00022060,D/N 4869,00005848,TWK AGRI,7059.9,16930.69,erp_actual,,,
24,05,00005498,Crd Note,12/07/2023,00022268,D/N 4888 EMPTIES,,TWK AGRI,-6900.0,10030.69,erp_actual,,,
25,05,00022255,Invoice,12/07/2023,00022255,D/N 4888,00005906,TWK AGRI,5359.0,15389.69,erp_actual,,,
26,05,00022268,Invoice,12/07/2023,00022268,D/N 4888 EMPTIES,,TWK AGRI,6900.0,22289.69,erp_actual,,,
27,05,00005603,Crd Note,21/07/2023,00022627,D/N 5518 EMPTIES,,TWK AGRI,-7590.0,14699.69,erp_actual,,,
28,05,00022626,Invoice,21/07/2023,00022626,D/N 5518,00006016,TWK AGRI,8621.01,23320.70,erp_actual,,,
29,05,00022627,Invoice,21/07/2023,00022627,D/N 5518 EMPTIES,,TWK AGRI,10350.0,33670.70,erp_actual,,,
30,05,00005632,Crd Note,24/07/2023,00022739,D/N 5529 EMPTIES,,TWK AGRI,-2070.0,31600.70,erp_actual,,,
31,05,00022702,Invoice,24/07/2023,00022702,D/N 5529,00006040,TWK AGRI,2213.5,33814.20,erp_actual,,,
32,05,00022739,Invoice,24/07/2023,00022739,D/N 5529 EMPTIES,,TWK AGRI,1725.0,35539.20,erp_actual,,,
33,,PROFORMA-DJ-02,Journal,26/07/2023,,,,DISCOUNT ALLOWED,-203.65,35335.55,proforma_journal,BATCH-2023-07-26,PROFORMA-DJ-02,Consolidated settlement discount BATCH-2023-07-26; post date per remittance; link 00023115
34,05,00023115,Payment,26/07/2023,,TRANSF | STAT 92,,TWK AGRI,-7942.14,27393.41,erp_adjusted_payment,BATCH-2023-07-26,,"Adjusted gross -8,145.79 -> cash -7,942.14 per remittance 2023-07-26"
35,05,00005768,Crd Note,03/08/2023,00023077,D/N 5865 EMPTIES,,TWK AGRI,-4830.0,22563.41,erp_actual,,,
36,05,00023075,Invoice,03/08/2023,00023075,D/N 5865,00006158,TWK AGRI,3943.81,26507.22,erp_actual,,,
37,05,00023077,Invoice,03/08/2023,00023077,D/N 5865 EMPTIES,00006160,TWK AGRI,6900.0,33407.22,erp_actual,,,
38,06,00023311,Invoice,10/08/2023,00023311,D/N 5592,00006260,TWK AGRI,7142.65,40549.87,erp_actual,,,
39,06,00023312,Invoice,10/08/2023,00023312,D/N 5592 EMPTIES,00006261,TWK AGRI,7590.0,48139.87,erp_actual,,,
40,06,00005845,Crd Note,11/08/2023,00023312,D/N 5592 EMPTIES,,TWK AGRI,-5520.0,42619.87,erp_actual,,,
41,06,00005875,Crd Note,14/08/2023,00023311,D/N 5592,,TWK AGRI,-197.19,42422.68,erp_actual,,,
42,,PROFORMA-DJ-03,Journal,28/08/2023,,,,DISCOUNT ALLOWED,-469.22,41953.46,proforma_journal,BATCH-2023-08-28,PROFORMA-DJ-03,Consolidated settlement discount BATCH-2023-08-28; post date per remittance; link 00023836
43,06,00006078,Crd Note,01/09/2023,00024012,D/N 6423 EMPTIES,,TWK AGRI,-10350.0,31603.46,erp_actual,,,
44,06,00024011,Invoice,01/09/2023,00024011,D/N 6423,00006481,TWK AGRI,8532.19,40135.65,erp_actual,,,
45,06,00024012,Invoice,01/09/2023,00024012,D/N 6423 EMPTIES,,TWK AGRI,10350.0,50485.65,erp_actual,,,
46,06,00023836,Payment,01/09/2023,,TRANSF | STAT 93,,TWK AGRI,-26924.19,23561.46,erp_adjusted_payment,BATCH-2023-08-28,,"Adjusted gross -27,738.41 -> cash -26,924.19 per remittance 2023-08-28; ERP variance R345.00"
47,06,00006134,Crd Note,06/09/2023,00024202,D/N 6392 EMPTIES,,TWK AGRI,-6900.0,16661.46,erp_actual,,,
48,06,00024201,Invoice,06/09/2023,00024201,D/N 6392,00006532,TWK AGRI,8532.19,25193.65,erp_actual,,,
49,06,00024202,Invoice,06/09/2023,00024202,D/N 6392 EMPTIES,,TWK AGRI,10350.0,35543.65,erp_actual,,,
50,,PROFORMA-DJ-04,Journal,26/09/2023,,,,DISCOUNT ALLOWED,-367.1,35176.55,proforma_journal,BATCH-2023-09-26,PROFORMA-DJ-04,Consolidated settlement discount BATCH-2023-09-26; post date per remittance; link 00024560
51,07,00024560,Payment,26/09/2023,,TRANSF | STAT 94,,TWK AGRI,-14317.17,20859.38,erp_adjusted_payment,BATCH-2023-09-26,,"Adjusted gross -14,684.27 -> cash -14,317.17 per remittance 2023-09-26"
52,07,00006387,Crd Note,02/10/2023,00025043,D/N 6492 EMPTIES,,TWK AGRI,-11040.0,9819.38,erp_actual,,,
53,07,00025042,Invoice,02/10/2023,00025042,D/N 6492,00006763,TWK AGRI,8330.42,18149.80,erp_actual,,,
54,07,00025043,Invoice,02/10/2023,00025043,D/N 6492 EMPTIES,,TWK AGRI,11040.0,29189.80,erp_actual,,,
55,08,00006461,Crd Note,09/10/2023,00024202,D/N 6266 EMPTIES,,TWK AGRI,-3450.0,25739.80,erp_actual,,,
56,08,00006462,Crd Note,09/10/2023,00025294,D/N 6266 EMPTIES,,TWK AGRI,-4485.0,21254.80,erp_actual,,,
57,08,00025293,Invoice,09/10/2023,00025293,D/N 6266,00006826,TWK AGRI,7466.86,28721.66,erp_actual,,,
58,08,00025294,Invoice,09/10/2023,00025294,D/N 6266 EMPTIES,,TWK AGRI,4140.0,32861.66,erp_actual,,,
