batch_id,remittance_paid_date,erp_payment_doc,erp_payment_date,erp_payment_gross,remittance_cash,proforma_journal,remittance_gross,erp_variance,proforma_doc,payment_adjusted
BATCH-2024-03-26,2024-03-26,00029684,2024-03-27,-77692.03,-73610.18,-506.36,-74116.54,3575.49,PROFORMA-DJ-07,True
BATCH-2024-04-26,2024-04-26,00030419,2024-04-25,-28428.84,-28428.84,-375.1,-28803.94,-375.1,PROFORMA-DJ-08,False
BATCH-2024-05-27,2024-05-27,00031365,2024-05-27,-11721.1,-11721.1,-300.54,-12021.64,-300.54,PROFORMA-DJ-09,False
BATCH-2024-06-26,2024-06-26,00031558,2024-06-26,-39057.53,-37294.98,-956.28,-38251.26,806.27,PROFORMA-DJ-10,True
BATCH-2024-07-26,2024-07-26,00032332,2024-07-30,-18061.64,-16737.35,-429.16,-17166.51,895.13,PROFORMA-DJ-11,True
BATCH-2024-08-26,2024-08-26,00033224,2024-08-26,-22338.84,-21197.32,-543.52,-21740.84,598.0,PROFORMA-DJ-12,True
BATCH-2024-09-26,2024-09-26,00033921,2024-09-26,-2984.27,-2984.27,233.1,-2751.17,233.1,PROFORMA-DJ-13,False
BATCH-2024-10-26,2024-10-26,00034518,2024-10-26,-38338.45,-38338.45,-983.04,-39321.49,-983.04,PROFORMA-DJ-14,False
BATCH-2024-11-26,2024-11-26,00035263,2024-12-10,-22581.72,-21529.67,-552.04,-22081.71,500.01,PROFORMA-DJ-15,True
BATCH-2024-12-27,2024-12-27,00036195,2024-12-27,-12104.7,-12104.7,-310.37,-12415.07,-310.37,PROFORMA-DJ-16,False
