batch_id,remittance_ref,advice_date,electronic_paid_date,gross_payable,cash_amount,discount_amount,already_paid,footer_col1,erp_payment_doc,erp_payment_date,erp_payment_gross,erp_gross_variance,erp_stat,source_file,erp_link_status,notes
BATCH-2024-03-26,B226/KRDF001810,2024-03-18,2024-03-26,74116.54,73610.18,506.36,3598.81,77715.35,00029684,2024-03-27,-77692.03,3575.49,STAT 100,raw/Remittances/26.03.2024.pdf,LINKED,"Catch-up batch: many late-2023 docs at 100% (no discount). ALREADY PAID R3,598.81 on doc 23075 residual.; ERP gross +R3,575.49 vs remittance"
BATCH-2024-04-26,B226/KRDF002430,2024-04-16,2024-04-26,28803.94,28428.84,375.1,0,,00030419,2024-04-25,-28428.84,-375.1,STAT 101,raw/Remittances/26.04.2024.pdf,LINKED,
BATCH-2024-05-27,B226/KRD4030447,2024-05-16,2024-05-27,12021.64,11721.1,300.54,0,,00031365,2024-05-27,-11721.1,-300.54,STAT 102,raw/Remittances/27.05.2024.pdf,LINKED,
BATCH-2024-06-26,B226/KRD4030976,2024-06-20,2024-06-26,38251.26,37294.98,956.28,0,,00031558,2024-06-26,-39057.53,806.27,STAT 103,raw/Remittances/26.06.2024.pdf,LINKED,ERP gross +R806.27 vs remittance
BATCH-2024-07-26,B226/KRD4031508,2024-07-16,2024-07-26,17166.51,16737.35,429.16,0,,00032332,2024-07-30,-18061.64,895.13,STAT 104,raw/Remittances/26.07.2024.pdf,LINKED,ERP gross +R895.13 vs remittance
BATCH-2024-08-26,B226/KRD4032031,2024-08-16,2024-08-26,21740.84,21197.32,543.52,0,,00033224,2024-08-26,-22338.84,598,STAT 105,raw/Remittances/26.08.2024.pdf,LINKED,ERP gross +R598.00 vs remittance
BATCH-2024-09-26,B226/KRD4032593,2024-09-17,2024-09-26,2751.17,2984.27,-233.1,0,,00033921,2024-09-26,-2984.27,233.1,STAT 106,raw/Remittances/26.09.2024.pdf,LINKED,Net negative discount — CN reversals exceed invoice discounts; cash exceeds gross payable.; ERP gross +R233.10 vs remittance
BATCH-2024-10-26,B226/KRD4033163,2024-10-16,2024-10-26,39321.49,38338.45,983.04,0,,00034518,2024-10-26,-38338.45,-983.04,STAT 107,raw/Remittances/26.10.2024.pdf,LINKED,
BATCH-2024-11-26,B226/KRD4033731,2024-11-15,2024-11-26,22081.71,21529.67,552.04,0,,00035263,2024-12-10,-22581.72,500.01,STAT 108,raw/Remittances/26.11.2024.pdf,LINKED,ERP gross +R500.01 vs remittance
BATCH-2024-12-27,B226/KRD4034322,2024-12-17,2024-12-27,12415.07,12104.7,310.37,0,,00036195,2024-12-27,-12104.7,-310.37,STAT 109,raw/Remittances/27.12.2024.pdf,LINKED,
