doc_no,line_type,rem_gross,rem_discount,rem_net,dep_cash,dep_discount,dep_gross,discount_variance,cash_vs_rem_net_variance,match_flag,notes
00020607,Invoice,3450.00,0.00,3450.00,345.00,0.00,345.00,0.00,-3105.00,PARTIAL,Deposit partial slice — no discount on either source
00021597,Invoice,6900.00,172.50,6727.50,345.00,0.00,345.00,-172.50,-6382.50,DISC_MISMATCH,Remittance discount not applied on deposit partial
00022058,Invoice,7245.00,181.13,7063.87,1035.00,0.00,1035.00,-181.13,-6028.87,DISC_MISMATCH,Remittance discount not applied on deposit partial
00022060,Invoice,7059.90,176.50,6883.40,6883.40,176.50,7059.90,0.00,0.00,MATCH,2.5% discount correct
00022255,Invoice,5359.00,133.98,5225.02,5225.02,133.98,5359.00,0.00,0.00,MATCH,2.5% discount correct
00022626,Invoice,8621.01,215.53,8405.48,8405.48,215.53,8621.01,0.00,0.00,MATCH,2.5% discount correct
00022627,Invoice,10350.00,258.75,10091.25,2527.13,232.87,2760.00,-25.88,-7564.12,DISC_MISMATCH,Deposit discount not 2.5% of deposit gross (expected R69.00)
00022702,Invoice,2213.50,55.34,2158.16,2158.16,55.34,2213.50,0.00,0.00,MATCH,2.5% discount correct
00022739,Invoice,1725.00,43.13,1681.87,-345.00,0.00,-345.00,-43.13,-2026.87,DISC_MISMATCH,Partial CN slice; remittance discount not on deposit
00023077,Invoice,,,,345.00,0.00,345.00,,,DEP_ONLY,On deposit only — not on remittance advice
00005038,Crd Note,-3105.00,-77.63,-3027.37,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00005155,Crd Note,-5175.00,-129.38,-5045.62,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00005308,Crd Note,-6555.00,-163.88,-6391.12,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00005443,Crd Note,-6210.00,-155.25,-6054.75,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00005498,Crd Note,-6900.00,-172.50,-6727.50,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00005603,Crd Note,-7590.00,-189.75,-7400.25,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00005632,Crd Note,-2070.00,-51.75,-2018.25,,,,,,REM_ONLY,CN reversal on remittance — absent from deposit
00021123,Invoice,5175.00,0.00,5175.00,,,,,,REM_ONLY,Full invoice on remittance — not on deposit
00022268,Invoice,6900.00,172.50,6727.50,,,,,,REM_ONLY,Full invoice on remittance — not on deposit
TOTAL,,27393.41,469.22,26924.19,26924.19,814.22,27738.41,345.00,814.22,BATCH,Deposit gross exceeds remittance gross by R345.00
