batch_id,erp_payment_doc,doc_no,line_type,rem_gross,rem_discount,rem_net,dep_amount,dep_discount,dep_total,discount_variance,cash_vs_rem_net_variance,match_flag,notes
BATCH-2024-03-26,00029684,00026577,Invoice,8764.79,0.00,8764.79,8326.56,438.23,8764.79,438.23,0.00,DISC_MISMATCH,Late catch-up R0 on remittance; deposit invents R438.23 discount
BATCH-2024-03-26,00029684,00027340,Invoice,23007.60,0.00,23007.60,21857.22,1150.38,23007.60,1150.38,0.00,DISC_MISMATCH,Late catch-up R0 on remittance; deposit invents R1,150.38 discount
BATCH-2024-03-26,00029684,00027764,Invoice,13119.20,0.00,13119.20,12463.24,655.96,13119.20,655.96,0.00,DISC_MISMATCH,Late catch-up R0 on remittance; deposit invents R655.96 discount
BATCH-2024-03-26,00029684,00028765,Invoice,10732.43,268.31,10464.12,10195.80,536.62,10732.42,268.31,0.00,DISC_MISMATCH,Deposit doubles remittance discount (R268.31 → R536.62)
BATCH-2024-03-26,00029684,00029140,Invoice,14650.14,366.25,14283.89,13917.63,732.50,14650.13,366.25,-0.01,DISC_MISMATCH,Deposit doubles remittance discount (R366.25 → R732.50)
BATCH-2024-03-26,00029684,00029889,Invoice,11363.38,284.08,11079.30,6849.73,568.16,7417.89,284.08,-3659.57,PARTIAL,Deposit allocates R7,417.89 of R11,363.38 gross; discount doubled
BATCH-2024-03-26,00029684,BATCH_TOTAL,,74116.54,506.36,73610.18,73610.18,4081.85,77692.03,3575.49,0.00,BATCH,Cash matches; deposit discount R4,081.85 vs remittance R506.36 → orphan R3,575.49
BATCH-2024-06-26,00031558,00031907,Invoice,10677.41,266.94,10410.47,10143.54,533.87,10677.41,266.93,0.00,DISC_MISMATCH,Deposit doubles discount (R266.94 → R533.87)
BATCH-2024-06-26,00031558,00031908,Invoice,17940.00,448.50,17491.50,1136.20,59.80,1196.00,59.80,-17295.50,PARTIAL,Deposit R1,196 vs remittance gross R17,940
BATCH-2024-06-26,00031558,00032419,Invoice,17956.15,448.90,17507.25,16687.28,720.38,17407.66,271.48,-819.97,PARTIAL,Deposit partial; excess discount R271.48 vs remittance
BATCH-2024-06-26,00031558,00032425,Invoice,28106.00,702.65,27403.35,8521.50,448.50,8970.00,-254.15,-18433.35,PARTIAL,Deposit R8,970 vs remittance gross R28,106
BATCH-2024-06-26,00031558,,,0.00,0.00,0.00,806.46,0.00,806.46,0.00,806.46,DEP_ONLY,Orphan slice — blank INV/GRV unattributed R806.46
BATCH-2024-06-26,00031558,00008324,Crd Note,-16744.00,-418.60,-16325.40,,,,,,REM_ONLY,CN on remittance — absent from deposit
BATCH-2024-06-26,00031558,00008530,Crd Note,-19136.00,-478.40,-18657.60,,,,,,REM_ONLY,CN on remittance — absent from deposit
BATCH-2024-06-26,00031558,00008700,Crd Note,-548.30,-13.71,-534.59,,,,,,REM_ONLY,CN on remittance — absent from deposit
BATCH-2024-06-26,00031558,BATCH_TOTAL,,38251.26,956.28,37294.98,37294.98,1762.55,39057.53,806.27,0.00,BATCH,Cash matches; orphan R806.46 as blank deposit line + excess discount
BATCH-2024-07-26,00032332,00029890,Invoice,17940.00,448.50,17491.50,0.00,594.59,594.59,594.59,-17491.50,DEP_ONLY,Prior Mar doc — discount-only row; not on Jul remittance
BATCH-2024-07-26,00032332,00031405,Invoice,17940.00,448.50,17491.50,0.00,300.54,300.54,300.54,-17491.50,DEP_ONLY,Prior May doc — discount-only row; not on Jul remittance
BATCH-2024-07-26,00032332,00033277,Invoice,15372.51,384.31,14988.20,14943.35,429.16,15372.51,44.85,0.00,MATCH,Gross matches; deposit disc R429.16 vs remit R384.31 (ΔR44.85)
BATCH-2024-07-26,00032332,00033278,Invoice,26910.00,672.75,26237.25,1794.00,0.00,1794.00,-672.75,-24443.25,PARTIAL,Deposit R1,794 vs remittance gross R26,910
BATCH-2024-07-26,00032332,00008913,Crd Note,-25116.00,-627.90,-24488.10,,,,,,REM_ONLY,CN on remittance — absent from deposit
BATCH-2024-07-26,00032332,BATCH_TOTAL,,17166.51,429.16,16737.35,16737.35,1324.29,18061.64,895.13,0.00,BATCH,Orphan = prior-batch discount-only rows R594.59+R300.54=R895.13
BATCH-2024-08-26,00033224,00033800,Invoice,8724.99,218.12,8506.87,8154.23,570.76,8724.99,352.64,0.00,DISC_MISMATCH,Equal split R570.76 vs remittance R218.12; stale disc embedded
BATCH-2024-08-26,00033224,00034342,Invoice,13613.85,340.35,13273.50,13043.09,570.76,13613.85,230.41,0.00,DISC_MISMATCH,Equal split R570.76 vs remittance R340.35
BATCH-2024-08-26,00033224,00034343,Invoice,19136.00,478.40,18657.60,,,,,,REM_ONLY,On remittance — absent from deposit
BATCH-2024-08-26,00033224,00009426,Crd Note,-19734.00,-493.35,-19240.65,,,,,,REM_ONLY,CN on remittance — absent from deposit
BATCH-2024-08-26,00033224,BATCH_TOTAL,,21740.84,543.52,21197.32,21197.32,1141.52,22338.84,598.00,0.00,BATCH,Orphan R598 in inflated equal discount split (R570.76×2 vs remit R543.52)
