"ACCOUNT:","TWK003 - TWK AGRI"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","-300.00"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","08","00046857","Invoice","03/10/2025","","DN#20290- 391175708","","TWK AGRI","11000.44","11000.44"
"3","08","00047076","Invoice","10/10/2025","","DN #20297","","TWK AGRI","11000.44","22000.88"
"4","09","00047523","Invoice","04/11/2025","","DN #20774","","TWK AGRI","11000.44","33001.32"
"5","09","00047866","Invoice","21/11/2025","","DN # 21166","","TWK AGRI","2000.00","35001.32"
"6","09","00047880","Invoice","22/11/2025","","DN#21166","00012665","TWK AGRI","5499.99","40501.31"
"7","09","00013933","Crd Note","24/11/2025","","DN # 21166","","TWK AGRI","-2300.00","38201.31"
"8","09","00013966","Crd Note","28/11/2025","","DN#21166","","TWK AGRI","-5499.99","32701.32"
"9","09","00047991","Invoice","28/11/2025","","391176350-001 /21166","","TWK AGRI","5499.99","38201.31"
"10","12","00043500","Payment","25/02/2026","","TRANSF | STAT 123","","TWK AGRI PTY LTD","-38501.31","-300.00"
"TOTAL TRANSACTIONS: -300.00","","","","","","","","","",""
