"ACCOUNT:","TWK002 - TWK AGRI PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","89543.71"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","87226.46"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2024 FEBRUARY"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","02","00019704","Invoice","28/04/2023","00019704","D/N 4145","00004946","TWK AGRI","9509.10","9509.10"
"3","02","00019706","Invoice","28/04/2023","00019706","D/N 4145 EMPTIES","00004947","TWK AGRI","11362.00","20871.10"
"4","02","00019768","Invoice","29/04/2023","00019768","D/N 4147","00004977","TWK AGRI","10726.82","31597.92"
"5","02","00019769","Invoice","29/04/2023","00019769","D/N 4147 EMPTIES","00004978","TWK AGRI","12558.00","44155.92"
"6","02","00019977","Invoice","06/05/2023","00019977","D/N 4172","00005120","TWK AGRI","12731.05","56886.97"
"7","02","00019985","Invoice","06/05/2023","00019985","D/N 4172 EMPTIES","00005135","TWK AGRI","19734.00","76620.97"
"8","03","00004917","Crd Note","12/05/2023","00019977","D/N 4172","00005120","TWK AGRI","-12731.05","63889.92"
"9","03","00004918","Crd Note","12/05/2023","00019985","D/N 4172 EMPTIES","00005135","TWK AGRI","-19734.00","44155.92"
"10","03","00005038","Crd Note","24/05/2023","00020607","D/N 4777 EMPTIES","","TWK AGRI","-3105.00","41050.92"
"11","03","00020606","Invoice","24/05/2023","00020606","D/N 4777","00005325","TWK AGRI","2268.95","43319.87"
"12","03","00020607","Invoice","24/05/2023","00020607","D/N 4777 EMPTIES","","TWK AGRI","3450.00","46769.87"
"13","04","00005155","Crd Note","08/06/2023","00021123","D/N 4675 EMPTIES","","TWK AGRI","-5175.00","41594.87"
"14","04","00021122","Invoice","08/06/2023","00021122","D/N 4799","00005544","TWK AGRI","3491.05","45085.92"
"15","04","00021123","Invoice","08/06/2023","00021123","D/N 4675 EMPTIES","","TWK AGRI","5175.00","50260.92"
"16","04","00005308","Crd Note","23/06/2023","00021597","D/N 5238 EMPTIES","","TWK AGRI","-6555.00","43705.92"
"17","04","00021594","Invoice","23/06/2023","00021594","D/N 5238","00005709","TWK AGRI","4654.74","48360.66"
"18","04","00021597","Invoice","23/06/2023","00021597","D/N 5238 EMPTIES","","TWK AGRI","6900.00","55260.66"
"19","04","00022182","Payment","03/07/2023","","TRANSF | STAT:92","","TWK AGRI","-46424.87","8835.79"
"20","05","00005443","Crd Note","06/07/2023","00022058","D/N 4869 EMPTIES","","TWK AGRI","-6210.00","2625.79"
"21","05","00022058","Invoice","06/07/2023","00022058","D/N 4869 EMPTIES","","TWK AGRI","7245.00","9870.79"
"22","05","00022060","Invoice","06/07/2023","00022060","D/N 4869","00005848","TWK AGRI","7059.90","16930.69"
"23","05","00005498","Crd Note","12/07/2023","00022268","D/N 4888 EMPTIES","","TWK AGRI","-6900.00","10030.69"
"24","05","00022255","Invoice","12/07/2023","00022255","D/N 4888","00005906","TWK AGRI","5359.00","15389.69"
"25","05","00022268","Invoice","12/07/2023","00022268","D/N 4888 EMPTIES","","TWK AGRI","6900.00","22289.69"
"26","05","00005603","Crd Note","21/07/2023","00022627","D/N 5518 EMPTIES","","TWK AGRI","-7590.00","14699.69"
"27","05","00022626","Invoice","21/07/2023","00022626","D/N 5518","00006016","TWK AGRI","8621.01","23320.70"
"28","05","00022627","Invoice","21/07/2023","00022627","D/N 5518 EMPTIES","","TWK AGRI","10350.00","33670.70"
"29","05","00005632","Crd Note","24/07/2023","00022739","D/N 5529 EMPTIES","","TWK AGRI","-2070.00","31600.70"
"30","05","00022702","Invoice","24/07/2023","00022702","D/N 5529","00006040","TWK AGRI","2213.50","33814.20"
"31","05","00022739","Invoice","24/07/2023","00022739","D/N 5529 EMPTIES","","TWK AGRI","1725.00","35539.20"
"32","05","00023115","Payment","26/07/2023","","TRANSF | STAT 92","","TWK AGRI","-8145.79","27393.41"
"33","05","00005768","Crd Note","03/08/2023","00023077","D/N 5865 EMPTIES","","TWK AGRI","-4830.00","22563.41"
"34","05","00023075","Invoice","03/08/2023","00023075","D/N 5865","00006158","TWK AGRI","3943.81","26507.22"
