"ACCOUNT:","TWK002 - TWK AGRI PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","89543.71"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","ENTRY TYPE"
"YEAR:","2025 MARCH"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","87226.46","87226.46"
"2","07","00037732","Bank UD","23/07/2024","","TRANSF | STAT:105","","REV FNB APP PAYMENT FROM 00033","10430.79","97657.25"
"3","01","00007848","Crd Note","27/03/2024","","30762- EMPTY","","TWK AGRI","-23920.00","73737.25"
"4","01","00008120","Crd Note","18/04/2024","","31404- EMPTY","","TWK AGRI","-16744.00","56993.25"
"5","02","00008324","Crd Note","06/05/2024","","31907 - EMPTY","","TWK AGRI","-16744.00","40249.25"
"6","02","00008530","Crd Note","24/05/2024","","32419-EMPTY","","TWK AGRI","-19136.00","21113.25"
"7","02","00008700","Crd Note","07/06/2024","","DN#8920","","TWK AGRI","-548.49","20564.76"
"8","02","00008913","Crd Note","20/06/2024","","33277-EMPTY","","TWK AGRI","-25116.00","-4551.24"
"9","04","00009158","Crd Note","04/07/2024","","EMPTIES","","TWK AGRI","-12075.00","-16626.24"
"10","04","00009393","Crd Note","04/07/2024","","D/N 9760","","TWK AGRI","-20930.00","-37556.24"
"11","04","00009426","Crd Note","18/07/2024","","34337-EMPTY","","TWK AGRI","-19734.00","-57290.24"
"12","06","00009769","Crd Note","08/08/2024","","35091-EMPTY","","TWK AGRI","-22724.00","-80014.24"
"13","06","00010189","Crd Note","07/09/2024","","36005-EMPTY","","TWK AGRI","-25611.05","-105625.29"
"14","08","00010617","Crd Note","03/10/2024","","EMPTY 10168","","TWK AGRI","-17100.00","-122725.29"
