"ACCOUNT:","TWK002 - TWK AGRI PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","118867.24"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT NUMBER"
"YEAR:","CURRENT"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","83636.62","83636.62"
"2","17","00000499","Journal","23/07/2026","","","","DISCOUNT ALLOWED","124.91","83761.53"
"3","17","00000500","Journal","23/07/2026","","","","DISCOUNT ALLOWED","-300.54","83460.99"
"4","17","00000501","Journal","23/07/2026","","","","DISCOUNT ALLOWED","-749.94","82711.05"
"5","17","00000502","Journal","23/07/2026","","","","DISCOUNT ALLOWED","-310.37","82400.68"
"6","17","00000503","Journal","09/08/2026","","","","DISCOUNT ALLOWED","500.01","82900.69"
"7","17","00000504","Journal","09/08/2026","","","","DISCOUNT ALLOWED","-375.10","82525.59"
"8","17","00000505","Journal","09/08/2026","","","","TWK AGRI PTY LTD","108.19","82633.78"
"9","17","00000506","Journal","09/08/2026","","","","DISCOUNT ALLOWED TOP-UP","-233.10","82400.68"
"10","17","00015155","Crd Note","01/07/2026","","DN#22534","","TWK AGRI PTY LTD","-17250.00","65150.68"
"11","17","00015262","Crd Note","15/07/2026","","DN#22576","","TWK AGRI PTY LTD","-14835.00","50315.68"
"12","17","00015370","Crd Note","01/08/2026","","DN#24229","","TWK AGRI PTY LTD","-19665.00","30650.68"
"13","17","00051496","Invoice","01/07/2026","","DN#22534","","TWK AGRI PTY LTD","29721.98","60372.66"
"14","17","00051841","Invoice","15/07/2026","","DN#22576","","TWK AGRI PTY LTD","24442.49","84815.15"
"15","17","00052241","Invoice","31/07/2026","","DN#24229","","TWK AGRI PTY LTD","34052.09","118867.24"
"TOTAL TRANSACTIONS: 118867.24","","","","","","","","","",""
