erp_doc,erp_date,erp_date_display,amount,erp_gross,stat,ref,invno_erp,allocation,batch_id,remittance_gross,remittance_cash,erp_overpost
22182,2023-07-03,03/07/2023,-46424.87,46424.87,STAT 92,TRANSF | STAT:92 · TWK AGRI,,,BATCH-2023-06-26,46424.87,45264.25,0
23115,2023-07-26,26/07/2023,-8145.79,8145.79,STAT 92,TRANSF | STAT 92 · TWK AGRI,,,BATCH-2023-07-26,8145.79,7942.14,0
23836,2023-09-01,01/09/2023,-27738.41,27738.41,STAT 93,TRANSF | STAT 93 · TWK AGRI,,,BATCH-2023-08-28,27393.41,26924.19,345
24560,2023-09-26,26/09/2023,-14684.27,14684.27,STAT 94,TRANSF | STAT 94 · TWK AGRI,,,BATCH-2023-09-26,14684.27,14317.17,0
25906,2023-11-08,08/11/2023,-17064.38,17064.38,STAT 95,TRANSF | STAT 95 · TWK AGRI,,,BATCH-2023-10-26,17064.38,16637.78,0
26681,2023-11-29,29/11/2023,-31872.29,31872.29,STAT 96,TRANSF | STAT 96 · TWK AGRI,,,BATCH-2023-11-27,31527.29,30825.36,345
29684,2024-03-27,27/03/2024,-77692.03,77692.03,STAT 100,TRANSF | STAT 100 · TWK AGRI,,,BATCH-2024-03-26,74116.54,73610.18,3575.49
30419,2024-04-25,25/04/2024,-28428.84,28428.84,STAT 101,TRANSF | STAT 101 · TWK AGRI,,,BATCH-2024-04-26,28803.94,28428.84,0
31365,2024-05-27,27/05/2024,-11721.1,11721.1,STAT 102,TRANSF | STAT 102 · TWK AGRI,,,BATCH-2024-05-27,12021.64,11721.1,0
31558,2024-06-26,26/06/2024,-39057.53,39057.53,STAT 103,TRANSF | STAT 103 · TWK AGRI,,,BATCH-2024-06-26,38251.26,37294.98,806.27
37732,2024-07-23,23/07/2024,10430.79,10430.79,STAT 105,TRANSF | STAT:105 · REV FNB APP PAYMENT FROM 00033,,,,,,0
37732,2024-07-23,23/07/2024,-10430.79,10430.79,STAT 105,TRANSF | STAT:105 · TWK AGRI PTY LTD,,,,,,0
32332,2024-07-30,30/07/2024,-18061.64,18061.64,STAT 104,TRANSF | STAT 104 · TWK AGRI,,,BATCH-2024-07-26,17166.51,16737.35,895.13
33224,2024-08-26,26/08/2024,-22338.84,22338.84,STAT 105,TRANSF | STAT 105 · TWK AGRI,,,BATCH-2024-08-26,21740.84,21197.32,598
33921,2024-09-26,26/09/2024,-2984.27,2984.27,STAT 106,TRANSF | STAT 106 · TWK AGRI,,,BATCH-2024-09-26,2751.17,2984.27,233.1
34518,2024-10-26,26/10/2024,-385.04,385.04,STAT 107,TRANSF | STAT 107 · DISCOUNT ALLOWED,,,BATCH-2024-10-26,39321.49,38338.45,0
34518,2024-10-26,26/10/2024,-38338.45,38338.45,STAT 107,TRANSF | STAT 107 · TWK AGRI PTY LTD,,,BATCH-2024-10-26,39321.49,38338.45,0
35263,2024-12-10,10/12/2024,-22581.72,22581.72,STAT 108,TRANSF | STAT 108 · TWK AGRI PTY LTD,,,BATCH-2024-11-26,22081.71,21529.67,500.01
36195,2024-12-27,27/12/2024,-12104.7,12104.7,STAT 109,TRANSF | STAT 109 · TWK AGRI PTY LTD,,,BATCH-2024-12-27,12415.07,12104.7,0
36467,2025-01-31,31/01/2025,-4398.27,4398.27,STAT 110,TRANSF | STAT 110 · TWK AGRI PTY LTD,,,BATCH-2025-01-31,4511.05,4398.27,0
37770,2025-03-28,28/03/2025,-35693.84,35693.84,STAT 112,TRANSF | STAT 112 · TWK AGRI PTY LTD,,,BATCH-2025-03-31,35922.77,35693.84,0
39080,2025-05-30,30/05/2025,-7306.68,7306.68,STAT 114,TRANSF | STAT 114 · TWK AGRI PTY LTD,,,BATCH-2025-05-31,15759.64,15365.65,0
