iso,layer,entry,docno,target_doc,amount,balance,batch_id,ref
2023-04-28,A,Opening,BF,BF,0,0,,BALANCE B/F
2023-04-28,A,Invoice,19704,19704,9509.1,9509.1,,D/N 4145 · TWK AGRI
2023-04-28,A,Invoice,19706,19706,11362,20871.1,,D/N 4145 EMPTIES · TWK AGRI
2023-04-29,A,Invoice,19768,19768,10726.82,31597.92,,D/N 4147 · TWK AGRI
2023-04-29,A,Invoice,19769,19769,12558,44155.92,,D/N 4147 EMPTIES · TWK AGRI
2023-05-06,A,Invoice,19977,19977,12731.05,56886.97,,D/N 4172 · TWK AGRI
2023-05-06,A,Invoice,19985,19985,19734,76620.97,,D/N 4172 EMPTIES · TWK AGRI
2023-05-12,A,Crd Note,4917,4917,-12731.05,63889.92,,D/N 4172 · TWK AGRI
2023-05-12,A,Crd Note,4918,4918,-19734,44155.92,,D/N 4172 EMPTIES · TWK AGRI
2023-05-24,A,Crd Note,5038,5038,-3105,41050.92,,D/N 4777 EMPTIES · TWK AGRI
2023-05-24,A,Invoice,20606,20606,2268.95,43319.87,,D/N 4777 · TWK AGRI
2023-05-24,A,Invoice,20607,20607,3450,46769.87,,D/N 4777 EMPTIES · TWK AGRI
2023-06-08,A,Crd Note,5155,5155,-5175,41594.87,,D/N 4675 EMPTIES · TWK AGRI
2023-06-08,A,Invoice,21122,21122,3491.05,45085.92,,D/N 4799 · TWK AGRI
2023-06-08,A,Invoice,21123,21123,5175,50260.92,,D/N 4675 EMPTIES · TWK AGRI
2023-06-23,A,Crd Note,5308,5308,-6555,43705.92,,D/N 5238 EMPTIES · TWK AGRI
2023-06-23,A,Invoice,21594,21594,4654.74,48360.66,,D/N 5238 · TWK AGRI
2023-06-23,A,Invoice,21597,21597,6900,55260.66,,D/N 5238 EMPTIES · TWK AGRI
2023-06-26,B,Remit Cash,22182,19704,-9271.37,45989.29,BATCH-2023-06-26,Invoice · STAT:92
2023-06-26,B,Remit Cash,22182,19706,-11077.95,34911.34,BATCH-2023-06-26,Invoice · STAT:92
2023-06-26,B,Remit Cash,22182,19768,-10458.65,24452.69,BATCH-2023-06-26,Invoice · STAT:92
2023-06-26,B,Remit Cash,22182,19769,-12244.05,12208.64,BATCH-2023-06-26,Invoice · STAT:92
2023-06-26,B,Remit Cash,22182,20606,-2212.23,9996.41,BATCH-2023-06-26,Invoice · STAT:92
2023-06-26,C,Discount Journal,DJ-BATCH-2023-06-26,DJ-BATCH-2023-06-26,-1160.62,8835.79,BATCH-2023-06-26,Model B pro forma — Dr 240000 / Cr TWK002
2023-07-06,A,Crd Note,5443,5443,-6210,2625.79,,D/N 4869 EMPTIES · TWK AGRI
2023-07-06,A,Invoice,22058,22058,7245,9870.79,,D/N 4869 EMPTIES · TWK AGRI
2023-07-06,A,Invoice,22060,22060,7059.9,16930.69,,D/N 4869 · TWK AGRI
2023-07-12,A,Crd Note,5498,5498,-6900,10030.69,,D/N 4888 EMPTIES · TWK AGRI
2023-07-12,A,Invoice,22255,22255,5359,15389.69,,D/N 4888 · TWK AGRI
2023-07-12,A,Invoice,22268,22268,6900,22289.69,,D/N 4888 EMPTIES · TWK AGRI
2023-07-21,A,Crd Note,5603,5603,-7590,14699.69,,D/N 5518 EMPTIES · TWK AGRI
2023-07-21,A,Invoice,22626,22626,8621.01,23320.7,,D/N 5518 · TWK AGRI
2023-07-21,A,Invoice,22627,22627,10350,33670.7,,D/N 5518 EMPTIES · TWK AGRI
2023-07-24,A,Crd Note,5632,5632,-2070,31600.7,,D/N 5529 EMPTIES · TWK AGRI
2023-07-24,A,Invoice,22702,22702,2213.5,33814.2,,D/N 5529 · TWK AGRI
2023-07-24,A,Invoice,22739,22739,1725,35539.2,,D/N 5529 EMPTIES · TWK AGRI
2023-07-26,B,Remit Cash,23115,21122,-3403.77,32135.43,BATCH-2023-07-26,Invoice · STAT 92
2023-07-26,B,Remit Cash,23115,21594,-4538.37,27597.06,BATCH-2023-07-26,Invoice · STAT 92
2023-07-26,C,Discount Journal,DJ-BATCH-2023-07-26,DJ-BATCH-2023-07-26,-203.65,27393.41,BATCH-2023-07-26,Model B pro forma — Dr 240000 / Cr TWK002
2023-08-03,A,Crd Note,5768,5768,-4830,22563.41,,D/N 5865 EMPTIES · TWK AGRI
2023-08-03,A,Invoice,23075,23075,3943.81,26507.22,,D/N 5865 · TWK AGRI
2023-08-03,A,Invoice,23077,23077,6900,33407.22,,D/N 5865 EMPTIES · TWK AGRI
2023-08-10,A,Invoice,23311,23311,7142.65,40549.87,,D/N 5592 · TWK AGRI
2023-08-10,A,Invoice,23312,23312,7590,48139.87,,D/N 5592 EMPTIES · TWK AGRI
2023-08-11,A,Crd Note,5845,5845,-5520,42619.87,,D/N 5592 EMPTIES · TWK AGRI
2023-08-14,A,Crd Note,5875,5875,-197.19,42422.68,,D/N 5592 · TWK AGRI
2023-08-28,B,Remit Cash,23836,20607,-3450,38972.68,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,21123,-5175,33797.68,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,21597,-6727.5,27070.18,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22058,-7063.87,20006.31,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22060,-6883.4,13122.91,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22255,-5225.02,7897.89,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22268,-6727.5,1170.39,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,5038,3027.37,4197.76,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B,Remit Cash,23836,5308,6391.12,10588.88,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B,Remit Cash,23836,5498,6727.5,17316.38,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B,Remit Cash,23836,22626,-8405.48,8910.9,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22627,-10091.25,-1180.35,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22702,-2158.16,-3338.51,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,22739,-1681.87,-5020.38,BATCH-2023-08-28,Invoice · STAT 93
2023-08-28,B,Remit Cash,23836,5603,7400.25,2379.87,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B,Remit Cash,23836,5155,5045.62,7425.49,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B,Remit Cash,23836,5443,6054.75,13480.24,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B,Remit Cash,23836,5632,2018.25,15498.49,BATCH-2023-08-28,Crd Note · STAT 93
2023-08-28,B*,ERP_OVERPOST,23836,ERP_OVERPOST,-345,15153.49,BATCH-2023-08-28,ERP gross R27 738.41 > remittance gross R27 393.41 — not allocated to invoices
2023-08-28,C,Discount Journal,DJ-BATCH-2023-08-28,DJ-BATCH-2023-08-28,-469.22,14684.27,BATCH-2023-08-28,Model B pro forma — Dr 240000 / Cr TWK002
2023-09-01,A,Crd Note,6078,6078,-10350,4334.27,,D/N 6423 EMPTIES · TWK AGRI
2023-09-01,A,Invoice,24011,24011,8532.19,12866.46,,D/N 6423 · TWK AGRI
2023-09-01,A,Invoice,24012,24012,10350,23216.46,,D/N 6423 EMPTIES · TWK AGRI
2023-09-06,A,Crd Note,6134,6134,-6900,16316.46,,D/N 6392 EMPTIES · TWK AGRI
2023-09-06,A,Invoice,24201,24201,8532.19,24848.65,,D/N 6392 · TWK AGRI
2023-09-06,A,Invoice,24202,24202,10350,35198.65,,D/N 6392 EMPTIES · TWK AGRI
2023-09-26,B,Remit Cash,24560,23075,-3508.84,31689.81,BATCH-2023-09-26,Invoice · STAT 94
2023-09-26,B,Remit Cash,24560,23077,-6727.5,24962.31,BATCH-2023-09-26,Invoice · STAT 94
2023-09-26,B,Remit Cash,24560,5768,4709.25,29671.56,BATCH-2023-09-26,Crd Note · STAT 94
2023-09-26,B,Remit Cash,24560,23311,-6964.08,22707.48,BATCH-2023-09-26,Invoice · STAT 94
2023-09-26,B,Remit Cash,24560,23312,-7400.25,15307.23,BATCH-2023-09-26,Invoice · STAT 94
2023-09-26,B,Remit Cash,24560,5845,5045.62,20352.85,BATCH-2023-09-26,Crd Note · STAT 94
2023-09-26,B,Remit Cash,24560,5845/5875,192.24,20545.09,BATCH-2023-09-26,Crd Note · STAT 94
2023-09-26,B,Remit Cash,24560,5875,336.37,20881.46,BATCH-2023-09-26,Crd Note · STAT 94
2023-09-26,B,Remit Cash,24560,STMT-DIFF-AUG23,0.02,20881.48,BATCH-2023-09-26,Invoice · STAT 94
2023-09-26,C,Discount Journal,DJ-BATCH-2023-09-26,DJ-BATCH-2023-09-26,-367.1,20514.38,BATCH-2023-09-26,Model B pro forma — Dr 240000 / Cr TWK002
2023-10-02,A,Crd Note,6387,6387,-11040,9474.38,,D/N 6492 EMPTIES · TWK AGRI
2023-10-02,A,Invoice,25042,25042,8330.42,17804.8,,D/N 6492 · TWK AGRI
2023-10-02,A,Invoice,25043,25043,11040,28844.8,,D/N 6492 EMPTIES · TWK AGRI
2023-10-09,A,Crd Note,6461,6461,-3450,25394.8,,D/N 6266 EMPTIES · TWK AGRI
2023-10-09,A,Crd Note,6462,6462,-4485,20909.8,,D/N 6266 EMPTIES · TWK AGRI
2023-10-09,A,Invoice,25293,25293,7466.86,28376.66,,D/N 6266 · TWK AGRI
2023-10-09,A,Invoice,25294,25294,4140,32516.66,,D/N 6266 EMPTIES · TWK AGRI
2023-10-26,B,Remit Cash,25906,24011,-4955.14,27561.52,BATCH-2023-10-26,Invoice · STAT 95
2023-10-26,B,Remit Cash,25906,24012,-10091.25,17470.27,BATCH-2023-10-26,Invoice · STAT 95
2023-10-26,B,Remit Cash,25906,24201,-8318.89,9151.38,BATCH-2023-10-26,Invoice · STAT 95
2023-10-26,B,Remit Cash,25906,24202,-10091.25,-939.87,BATCH-2023-10-26,Invoice · STAT 95
2023-10-26,B,Remit Cash,25906,25043,-10764,-11703.87,BATCH-2023-10-26,Invoice · STAT 95
2023-10-26,B,Remit Cash,25906,6078,10091.25,-1612.62,BATCH-2023-10-26,Crd Note · STAT 95
2023-10-26,B,Remit Cash,25906,6134,6727.5,5114.88,BATCH-2023-10-26,Crd Note · STAT 95
2023-10-26,B,Remit Cash,25906,6387,10764,15878.88,BATCH-2023-10-26,Crd Note · STAT 95
2023-10-26,C,Discount Journal,DJ-BATCH-2023-10-26,DJ-BATCH-2023-10-26,-426.6,15452.28,BATCH-2023-10-26,Model B pro forma — Dr 240000 / Cr TWK002
2023-10-31,A,Crd Note,6667,6667,-11040,4412.28,,D/N 6758 EMPTIES · TWK AGRI
2023-10-31,A,Invoice,26027,26027,13315.01,17727.29,,D/N 6758 · TWK AGRI
2023-10-31,A,Invoice,26033,26033,13800,31527.29,,D/N 6758 EMPTIES · TWK AGRI
2023-11-14,A,Crd Note,6810,6810,-10005,21522.29,,D/N 6859 EMPTIES · TWK AGRI
2023-11-14,A,Crd Note,6816,6816,-7532.33,13989.96,,QTY · TWK AGRI
2023-11-14,A,Invoice,26553,26553,7532.25,21522.21,,D/N 6859 · TWK AGRI
2023-11-14,A,Invoice,26554,26554,10350,31872.21,,D/N 6859 EMPTIES · TWK AGRI
2023-11-14,A,Invoice,26577,26577,8764.79,40637,,D/N 6859 · TWK AGRI
2023-11-27,B,Remit Cash,26681,24011,-3450,37187,BATCH-2023-11-27,Invoice · STAT 96
2023-11-27,B,Remit Cash,26681,25042,-8122.16,29064.84,BATCH-2023-11-27,Invoice · STAT 96
2023-11-27,B,Remit Cash,26681,25293,-7280.19,21784.65,BATCH-2023-11-27,Invoice · STAT 96
2023-11-27,B,Remit Cash,26681,25294,-4036.5,17748.15,BATCH-2023-11-27,Invoice · STAT 96
2023-11-27,B,Remit Cash,26681,6461,3363.75,21111.9,BATCH-2023-11-27,Crd Note · STAT 96
2023-11-27,B,Remit Cash,26681,6462,4372.87,25484.77,BATCH-2023-11-27,Crd Note · STAT 96
2023-11-27,B,Remit Cash,26681,26027,-12982.13,12502.64,BATCH-2023-11-27,Invoice · STAT 96
2023-11-27,B,Remit Cash,26681,26033,-13455,-952.36,BATCH-2023-11-27,Invoice · STAT 96
2023-11-27,B,Remit Cash,26681,6667,10764,9811.64,BATCH-2023-11-27,Crd Note · STAT 96
2023-11-27,B*,ERP_OVERPOST,26681,ERP_OVERPOST,-345,9466.64,BATCH-2023-11-27,ERP gross R31 872.29 > remittance gross R31 527.29 — not allocated to invoices
2023-11-27,C,Discount Journal,DJ-BATCH-2023-11-27,DJ-BATCH-2023-11-27,-701.93,8764.71,BATCH-2023-11-27,Model B pro forma — Dr 240000 / Cr TWK002
2023-12-06,A,Crd Note,6990,6990,-16215,-7450.29,,D/N 7111 EMPTIES · TWK AGRI
2023-12-06,A,Invoice,27340,27340,23007.6,15557.31,,D/N 7111 · TWK AGRI
2023-12-06,A,Invoice,27341,27341,19320,34877.31,,D/N 7111 EMPTIES · TWK AGRI
2023-12-19,A,Crd Note,7127,7127,-8625,26252.31,,D/N 7529 EMPTIES · TWK AGRI
2023-12-19,A,Invoice,27764,27764,13119.2,39371.51,,D/N 7529 · TWK AGRI
2023-12-19,A,Invoice,27765,27765,13800,53171.51,,D/N 7529 EMPTIES · TWK AGRI
2024-01-18,A,Crd Note,7332,7332,-8625,44546.51,,D/N 7733 EMPTIES · TWK AGRI
2024-01-18,A,Invoice,28765,28765,10732.43,55278.94,,D/N 7733 · TWK AGRI
