docno,entry,iso,date,amount,dn,ref,invno_erp,in_spine
BF,Opening,2023-04-28,28/04/2023,0,,BALANCE B/F,,true
19704,Invoice,2023-04-28,28/04/2023,9509.1,D/N 4145,D/N 4145 · TWK AGRI,19704,true
19706,Invoice,2023-04-28,28/04/2023,11362,D/N 4145 EMPTIES,D/N 4145 EMPTIES · TWK AGRI,19706,true
19768,Invoice,2023-04-29,29/04/2023,10726.82,D/N 4147,D/N 4147 · TWK AGRI,19768,true
19769,Invoice,2023-04-29,29/04/2023,12558,D/N 4147 EMPTIES,D/N 4147 EMPTIES · TWK AGRI,19769,true
19977,Invoice,2023-05-06,06/05/2023,12731.05,D/N 4172,D/N 4172 · TWK AGRI,19977,true
19985,Invoice,2023-05-06,06/05/2023,19734,D/N 4172 EMPTIES,D/N 4172 EMPTIES · TWK AGRI,19985,true
4917,Crd Note,2023-05-12,12/05/2023,-12731.05,D/N 4172,D/N 4172 · TWK AGRI,19977,true
4918,Crd Note,2023-05-12,12/05/2023,-19734,D/N 4172 EMPTIES,D/N 4172 EMPTIES · TWK AGRI,19985,true
5038,Crd Note,2023-05-24,24/05/2023,-3105,D/N 4777 EMPTIES,D/N 4777 EMPTIES · TWK AGRI,20607,true
20606,Invoice,2023-05-24,24/05/2023,2268.95,D/N 4777,D/N 4777 · TWK AGRI,20606,true
20607,Invoice,2023-05-24,24/05/2023,3450,D/N 4777 EMPTIES,D/N 4777 EMPTIES · TWK AGRI,20607,true
5155,Crd Note,2023-06-08,08/06/2023,-5175,D/N 4675 EMPTIES,D/N 4675 EMPTIES · TWK AGRI,21123,true
21122,Invoice,2023-06-08,08/06/2023,3491.05,D/N 4799,D/N 4799 · TWK AGRI,21122,true
21123,Invoice,2023-06-08,08/06/2023,5175,D/N 4675 EMPTIES,D/N 4675 EMPTIES · TWK AGRI,21123,true
5308,Crd Note,2023-06-23,23/06/2023,-6555,D/N 5238 EMPTIES,D/N 5238 EMPTIES · TWK AGRI,21597,true
21594,Invoice,2023-06-23,23/06/2023,4654.74,D/N 5238,D/N 5238 · TWK AGRI,21594,true
21597,Invoice,2023-06-23,23/06/2023,6900,D/N 5238 EMPTIES,D/N 5238 EMPTIES · TWK AGRI,21597,true
5443,Crd Note,2023-07-06,06/07/2023,-6210,D/N 4869 EMPTIES,D/N 4869 EMPTIES · TWK AGRI,22058,true
22058,Invoice,2023-07-06,06/07/2023,7245,D/N 4869 EMPTIES,D/N 4869 EMPTIES · TWK AGRI,22058,true
22060,Invoice,2023-07-06,06/07/2023,7059.9,D/N 4869,D/N 4869 · TWK AGRI,22060,true
5498,Crd Note,2023-07-12,12/07/2023,-6900,D/N 4888 EMPTIES,D/N 4888 EMPTIES · TWK AGRI,22268,true
22255,Invoice,2023-07-12,12/07/2023,5359,D/N 4888,D/N 4888 · TWK AGRI,22255,true
22268,Invoice,2023-07-12,12/07/2023,6900,D/N 4888 EMPTIES,D/N 4888 EMPTIES · TWK AGRI,22268,true
5603,Crd Note,2023-07-21,21/07/2023,-7590,D/N 5518 EMPTIES,D/N 5518 EMPTIES · TWK AGRI,22627,true
22626,Invoice,2023-07-21,21/07/2023,8621.01,D/N 5518,D/N 5518 · TWK AGRI,22626,true
22627,Invoice,2023-07-21,21/07/2023,10350,D/N 5518 EMPTIES,D/N 5518 EMPTIES · TWK AGRI,22627,true
5632,Crd Note,2023-07-24,24/07/2023,-2070,D/N 5529 EMPTIES,D/N 5529 EMPTIES · TWK AGRI,22739,true
22702,Invoice,2023-07-24,24/07/2023,2213.5,D/N 5529,D/N 5529 · TWK AGRI,22702,true
22739,Invoice,2023-07-24,24/07/2023,1725,D/N 5529 EMPTIES,D/N 5529 EMPTIES · TWK AGRI,22739,true
5768,Crd Note,2023-08-03,03/08/2023,-4830,D/N 5865 EMPTIES,D/N 5865 EMPTIES · TWK AGRI,23077,true
23075,Invoice,2023-08-03,03/08/2023,3943.81,D/N 5865,D/N 5865 · TWK AGRI,23075,true
23077,Invoice,2023-08-03,03/08/2023,6900,D/N 5865 EMPTIES,D/N 5865 EMPTIES · TWK AGRI,23077,true
23311,Invoice,2023-08-10,10/08/2023,7142.65,D/N 5592,D/N 5592 · TWK AGRI,23311,true
23312,Invoice,2023-08-10,10/08/2023,7590,D/N 5592 EMPTIES,D/N 5592 EMPTIES · TWK AGRI,23312,true
5845,Crd Note,2023-08-11,11/08/2023,-5520,D/N 5592 EMPTIES,D/N 5592 EMPTIES · TWK AGRI,23312,true
5875,Crd Note,2023-08-14,14/08/2023,-197.19,D/N 5592,D/N 5592 · TWK AGRI,23311,true
6078,Crd Note,2023-09-01,01/09/2023,-10350,D/N 6423 EMPTIES,D/N 6423 EMPTIES · TWK AGRI,24012,true
24011,Invoice,2023-09-01,01/09/2023,8532.19,D/N 6423,D/N 6423 · TWK AGRI,24011,true
24012,Invoice,2023-09-01,01/09/2023,10350,D/N 6423 EMPTIES,D/N 6423 EMPTIES · TWK AGRI,24012,true
6134,Crd Note,2023-09-06,06/09/2023,-6900,D/N 6392 EMPTIES,D/N 6392 EMPTIES · TWK AGRI,24202,true
24201,Invoice,2023-09-06,06/09/2023,8532.19,D/N 6392,D/N 6392 · TWK AGRI,24201,true
24202,Invoice,2023-09-06,06/09/2023,10350,D/N 6392 EMPTIES,D/N 6392 EMPTIES · TWK AGRI,24202,true
6387,Crd Note,2023-10-02,02/10/2023,-11040,D/N 6492 EMPTIES,D/N 6492 EMPTIES · TWK AGRI,25043,true
25042,Invoice,2023-10-02,02/10/2023,8330.42,D/N 6492,D/N 6492 · TWK AGRI,25042,true
25043,Invoice,2023-10-02,02/10/2023,11040,D/N 6492 EMPTIES,D/N 6492 EMPTIES · TWK AGRI,25043,true
6461,Crd Note,2023-10-09,09/10/2023,-3450,D/N 6266 EMPTIES,D/N 6266 EMPTIES · TWK AGRI,24202,true
