batch_id,post_date,erp_receipt_doc,erp_stat,line_type,target_doc,doc_date,original_amount,net_amount,discount_amount,settle_amount,ledger_cash,notes
BATCH-2023-06-26,2023-06-26,22182,STAT:92,Invoice,19704,2023-04-28,9509.1,9271.37,237.73,9509.1,-9271.37,
BATCH-2023-06-26,2023-06-26,22182,STAT:92,Invoice,19706,2023-04-28,11362,11077.95,284.05,11362,-11077.95,
BATCH-2023-06-26,2023-06-26,22182,STAT:92,Invoice,19768,2023-04-29,10726.82,10458.65,268.17,10726.82,-10458.65,
BATCH-2023-06-26,2023-06-26,22182,STAT:92,Invoice,19769,2023-04-29,12558,12244.05,313.95,12558,-12244.05,
BATCH-2023-06-26,2023-06-26,22182,STAT:92,Invoice,20606,2023-05-24,2268.95,2212.23,56.72,2268.95,-2212.23,
BATCH-2023-06-26,2023-06-26,22182,STAT:92,Discount Journal,DJ-BATCH-2023-06-26,2023-06-26,0,0,-1160.62,-1160.62,0,Model B pro forma — Dr 240000 / Cr TWK002
BATCH-2023-07-26,2023-07-26,23115,STAT 92,Invoice,21122,2023-06-08,3491.05,3403.77,87.28,3491.05,-3403.77,
BATCH-2023-07-26,2023-07-26,23115,STAT 92,Invoice,21594,2023-06-23,4654.74,4538.37,116.37,4654.74,-4538.37,
BATCH-2023-07-26,2023-07-26,23115,STAT 92,Discount Journal,DJ-BATCH-2023-07-26,2023-07-26,0,0,-203.65,-203.65,0,Model B pro forma — Dr 240000 / Cr TWK002
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,20607,2023-05-24,3450,3450,0,3450,-3450,No discount per remittance — late/exception invoice
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,21123,2023-06-08,5175,5175,0,5175,-5175,No discount per remittance — late/exception invoice
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,21597,2023-06-23,6900,6727.5,172.5,6900,-6727.5,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22058,2023-07-06,7245,7063.87,181.13,7245,-7063.87,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22060,2023-07-06,7059.9,6883.4,176.5,7059.9,-6883.4,Gas invoice — not in operator analysis screenshot
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22255,2023-07-12,5359,5225.02,133.98,5359,-5225.02,Gas invoice — not in operator analysis screenshot
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22268,2023-07-12,6900,6727.5,172.5,6900,-6727.5,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5038,2023-07-20,-3105,-3027.37,-77.63,-3105,3027.37,SC/IN on remittance; CN discount reversal
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5308,2023-07-20,-6555,-6391.12,-163.88,-6555,6391.12,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5498,2023-07-20,-6900,-6727.5,-172.5,-6900,6727.5,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22626,2023-07-21,8621.01,8405.48,215.53,8621.01,-8405.48,Gas invoice — not in operator analysis screenshot
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22627,2023-07-21,10350,10091.25,258.75,10350,-10091.25,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22702,2023-07-24,2213.5,2158.16,55.34,2213.5,-2158.16,Gas invoice — not in operator analysis screenshot
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Invoice,22739,2023-07-24,1725,1681.87,43.13,1725,-1681.87,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5603,2023-07-26,-7590,-7400.25,-189.75,-7590,7400.25,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5155,2023-07-31,-5175,-5045.62,-129.38,-5175,5045.62,Remittance shows doc 5155
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5443,2023-08-02,-6210,-6054.75,-155.25,-6210,6054.75,
BATCH-2023-08-28,2023-08-28,23836,STAT 93,Crd Note,5632,2023-08-04,-2070,-2018.25,-51.75,-2070,2018.25,
