"ACCOUNT:","WES002 - WEST COAST FISH & CHIPS"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","7443.73"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","04","00044407","Invoice","01/07/2025","","DN#12350","","WEST COAST FISH & CHIPS","2275.00","2275.00"
"3","05","00040113","Payment","07/07/2025","","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-2275.00","0.00"
"4","05","00044576","Invoice","07/07/2025","","DN#12170","","WEST COAST FISH & CHIPS","2275.00","2275.00"
"5","05","00044760","Invoice","11/07/2025","","","","WEST COAST FISH & CHIPS","1300.00","3575.00"
"6","05","00044839","Invoice","15/07/2025","","D/N 12639","00011780","WEST COAST FISH & CHIPS","2600.00","6175.00"
"7","05","00012997","Crd Note","16/07/2025","","","","WEST COAST FISH & CHIPS","-1170.00","5005.00"
"8","05","00040174","Payment","19/07/2025","","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-2275.00","2730.00"
"9","05","00013029","Crd Note","21/07/2025","","D/N 12226","","WEST COAST FISH & CHIPS","-1440.00","1290.00"
"10","05","00044999","Invoice","21/07/2025","","D/N 12226","00011844","WEST COAST FISH & CHIPS","1440.00","2730.00"
"11","05","00045000","Invoice","21/07/2025","","D/N 12227","00011849","WEST COAST FISH & CHIPS","2275.00","5005.00"
"12","05","00045004","Invoice","21/07/2025","","","00011845","WEST COAST FISH & CHIPS","1207.50","6212.50"
"13","05","00045271","Invoice","21/07/2025","","DN#12226","","WEST COAST FISH & CHIPS","1440.00","7652.50"
"14","05","00000399","Journal","30/07/2025","","","","DISCOUNT ALLOWED","-99.00","7553.50"
"15","05","00040400","Payment","30/07/2025","","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-1341.00","6212.50"
"16","05","00013087","Crd Note","31/07/2025","","DN#12227","","WEST COAST FISH & CHIPS","-1207.50","5005.00"
"17","05","00013098","Crd Note","01/08/2025","","DN #20044","","WEST COAST FISH & CHIPS","-195.00","4810.00"
"18","06","00040407","Payment","01/08/2025","","TRANSF | STAT 117","","WEST COAST FISH & CHIPS","-2405.00","2405.00"
"19","05","00045298","Invoice","01/08/2025","","DN #20044","","WEST COAST FISH & CHIPS","1625.00","4030.00"
"20","06","00040519","Payment","08/08/2025","","TRANSF | STAT 117","","WEST COAST FISH & CHIPS","-1300.00","2730.00"
"21","06","00045538","Invoice","09/08/2025","","DN#20156","","WEST COAST FISH & CHIPS","3715.00","6445.00"
"22","06","00045539","Invoice","09/08/2025","","DN#20156-EMPTY","","WEST COAST FISH & CHIPS","1207.50","7652.50"
"23","06","00013186","Crd Note","11/08/2025","","DN#20156-EMPTY","","WEST COAST FISH & CHIPS","-1207.50","6445.00"
"24","06","00045724","Invoice","18/08/2025","","DN#20517","00012154","WEST COAST FISH & CHIPS","2275.00","8720.00"
"25","06","00040747","Payment","22/08/2025","","TRANSF | STAT 117","","WEST COAST FISH & CHIPS","-2275.00","6445.00"
"26","06","00013316","Crd Note","26/08/2025","","D/N20552","","WEST COAST FISH & CHIPS","-1207.50","5237.50"
"27","06","00045911","Invoice","26/08/2025","","D/N20551","00012274","WEST COAST FISH & CHIPS","2600.00","7837.50"
"28","06","00045912","Invoice","26/08/2025","","D/N20552","00012272","WEST COAST FISH & CHIPS","1440.00","9277.50"
"29","06","00045913","Invoice","26/08/2025","","D/N20552","00012273","WEST COAST FISH & CHIPS","1207.50","10485.00"
"30","07","00046043","Invoice","01/09/2025","","DN#20564","","WEST COAST FISH & CHIPS","2600.00","13085.00"
"31","07","00041015","Payment","02/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-2600.00","10485.00"
"32","07","00041016","Payment","02/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-1440.00","9045.00"
"33","07","00013421","Crd Note","09/09/2025","","DN#20475-EMPTY","","WEST COAST FISH & CHIPS","-1207.50","7837.50"
"34","07","00046244","Invoice","09/09/2025","","DN#20475","","WEST COAST FISH & CHIPS","3619.00","11456.50"
"35","07","00046245","Invoice","09/09/2025","","DN#20475-EMPTY","","WEST COAST FISH & CHIPS","1207.50","12664.00"
"36","07","00000400","Journal","10/09/2025","","","","DISCOUNT ALLOWED","-200.00","12464.00"
"37","07","00041132","Payment","10/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-2400.00","10064.00"
"38","07","00041237","Payment","15/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-3619.00","6445.00"
"39","07","00046406","Invoice","16/09/2025","","DN#21030","","WEST COAST FISH & CHIPS","2729.92","9174.92"
"40","07","00041248","Payment","18/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-2600.00","6574.92"
"41","07","00041249","Payment","18/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-130.00","6444.92"
"42","07","00046520","Invoice","19/09/2025","","DN#20259","","WEST COAST FISH & CHIPS","1950.00","8394.92"
"43","07","00000401","Journal","23/09/2025","","","","DISCOUNT ALLOWED","-47.92","8347.00"
"44","07","00041310","Payment","23/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-2682.00","5665.00"
"45","07","00046617","Invoice","23/09/2025","","DN#21061","","WEST COAST FISH & CHIPS","1344.00","7009.00"
"46","07","00046618","Invoice","23/09/2025","","DN#21061-EMPTY","","WEST COAST FISH & CHIPS","1207.50","8216.50"
"47","07","00013539","Crd Note","25/09/2025","","DN#21061-EMPTY","","WEST COAST FISH & CHIPS","-1207.50","7009.00"
"48","07","00041446","Payment","26/09/2025","","TRANSF | STAT 118","","WEST COAST FISH & CHIPS","-1344.00","5665.00"
"49","07","00046736","Invoice","29/09/2025","","D/N 21076","","WEST COAST FISH & CHIPS","2599.92","8264.92"
"50","08","00041561","Payment","02/10/2025","","TRANSF | STAT 119","","WEST COAST FISH & CHIPS","-2600.00","5664.92"
"51","08","00046913","Invoice","06/10/2025","","","","WEST COAST FISH & CHIPS","2534.92","8199.84"
"52","08","00041661","Payment","13/10/2025","","TRANSF | STAT 119","","WEST COAST FISH & CHIPS","-2600.00","5599.84"
"53","08","00047059","Invoice","13/10/2025","","DN#20717","","WEST COAST FISH & CHIPS","6244.00","11843.84"
"54","08","00047060","Invoice","13/10/2025","","DN#2017-EMPTY","","WEST COAST FISH & CHIPS","1207.50","13051.34"
"55","08","00013674","Crd Note","14/10/2025","","DN#2017-EMPTY","","WEST COAST FISH & CHIPS","-1207.50","11843.84"
