"ACCOUNT:","WES004 - WEST COAST FISH & CHIPS"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","22254.14"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","22254.14"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","10","00048117","Invoice","05/12/2025","00048117","DN-21189","00012689","WEST COAST FISH & CHIPS","2800.00","2800.00"
"3","10","00042602","Payment","11/12/2025","00048117","TRANSF | STAT 121","","WEST COAST FISH & CHIPS","-2800.00","0.00"
"4","10","00048260","Invoice","13/12/2025","00048260","DN#20927","","WEST COAST FISH & CHIPS","2520.00","2520.00"
"5","10","00048361","Invoice","18/12/2025","00048361","DN#21429","","WEST COAST FISH & CHIPS","2640.01","5160.01"
"6","10","00048364","Invoice","18/12/2025","00048364","DN#21429 EMPTIES","","WEST COAST FISH & CHIPS","2415.00","7575.01"
"7","10","00014118","Crd Note","19/12/2025","00048364","DN#21429 EMPTIES","","WEST COAST FISH & CHIPS","-2415.00","5160.01"
"8","10","00014122","Crd Note","19/12/2025","00048380","DN#21720-EMPTY","","WEST COAST FISH & CHIPS","-1207.50","3952.51"
"9","10","00048377","Invoice","19/12/2025","00048377","DN#21720","","WEST COAST FISH & CHIPS","3320.00","7272.51"
"10","10","00048380","Invoice","19/12/2025","00048380","DN#21720-EMPTY","","WEST COAST FISH & CHIPS","1207.50","8480.01"
"11","10","00042761","Payment","20/12/2025","00048260","TRANSF | STAT 121","","WEST COAST FISH & CHIPS","-2519.99","5960.02"
"12","10","00042761","Payment","20/12/2025","00048361","TRANSF | STAT 121","","WEST COAST FISH & CHIPS","-2640.01","3320.01"
"13","10","00042761","Payment","20/12/2025","00048377","TRANSF | STAT 121","","WEST COAST FISH & CHIPS","-3320.00","0.01"
"14","10","00042825","Payment","30/12/2025","00048546","TRANSF | STAT 121","","WEST COAST FISH & CHIPS","-1600.11","-1600.10"
"15","10","00048546","Invoice","30/12/2025","00048546","DN#20964","","WEST COAST FISH & CHIPS","1600.11","0.01"
"16","10","00042848","Payment","31/12/2025","00048580","TRANSF | STAT 121","","WEST COAST FISH & CHIPS","-1600.01","-1600.00"
"17","10","00048580","Invoice","31/12/2025","00048580","DN#21444","","WEST COAST FISH & CHIPS","1699.93","99.93"
"18","11","00014268","Crd Note","02/01/2026","00048594","DN-20968","","WEST COAST FISH & CHIPS","-2879.99","-2780.06"
"19","11","00048594","Invoice","02/01/2026","00048594","DN-20968","","WEST COAST FISH & CHIPS","2879.99","99.93"
"20","11","00048595","Invoice","02/01/2026","00048595","DN-20968-EMPTY","","WEST COAST FISH & CHIPS","2415.00","2514.93"
"21","11","00048782","Invoice","02/01/2026","00048782","DN-20968","","WEST COAST FISH & CHIPS","1440.00","3954.93"
"22","11","00048628","Invoice","06/01/2026","00048628","21451","00012767","WEST COAST FISH & CHIPS","1875.00","5829.93"
