"ACCOUNT:","WES004+WES002 - WEST COAST FISH & CHIPS (COMBINED)"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","29697.87"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","29697.87"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","0.00","0.00"
"2","04","00044407","Invoice","01/07/2025","00044407","DN#12350","","WEST COAST FISH & CHIPS","2275.00","2275.00"
"3","05","00040113","Payment","07/07/2025","00044407","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-2275.00","0.00"
"4","05","00044576","Invoice","07/07/2025","00044576","DN#12170","","WEST COAST FISH & CHIPS","2275.00","2275.00"
"5","05","00044760","Invoice","11/07/2025","00044760","","","WEST COAST FISH & CHIPS","1300.00","3575.00"
"6","05","00044839","Invoice","15/07/2025","00044839","D/N 12639","00011780","WEST COAST FISH & CHIPS","2600.00","6175.00"
"7","05","00012997","Crd Note","16/07/2025","00044760","","","WEST COAST FISH & CHIPS","-1170.00","5005.00"
"8","05","00040174","Payment","19/07/2025","00044576","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-2275.00","2730.00"
"9","05","00044999","Invoice","21/07/2025","00044999","D/N 12226","00011844","WEST COAST FISH & CHIPS","1440.00","4170.00"
"10","05","00045000","Invoice","21/07/2025","00045000","D/N 12227","00011849","WEST COAST FISH & CHIPS","2275.00","6445.00"
"11","05","00045004","Invoice","21/07/2025","00045004","","00011845","WEST COAST FISH & CHIPS","1207.50","7652.50"
"12","05","00045271","Invoice","21/07/2025","00045271","DN#12226","","WEST COAST FISH & CHIPS","1440.00","9092.50"
"13","05","00013029","Crd Note","21/07/2025","00044999","D/N 12226","","WEST COAST FISH & CHIPS","-1440.00","7652.50"
"14","05","00000399","Journal","30/07/2025","00044760","","","DISCOUNT ALLOWED","-99.00","7553.50"
"15","05","00040400","Payment","30/07/2025","00044760","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-31.00","7522.50"
"16","05","00040400","Payment","30/07/2025","00045000","TRANSF | STAT 116","","WEST COAST FISH & CHIPS","-1310.00","6212.50"
