allocation_id,payment_doc,payment_date,payment_amount,target_doc,target_date,allocated_amount,allocation_type,confidence,review_required
AL-0001,27963,2024-01-15,10010,28212,2023-12-29,10010,CONFIRMED_EXPANDED_PROXIMITY,Confirmed,false
AL-0002,28311,2024-01-29,17128,28540 & 28869,2024-01-10 / 2024-01-21,17128,CONFIRMED_EXPANDED_SPLIT_BATCH,Confirmed,false
AL-0003,28807,2024-02-14,11783.18,29220,2024-02-02,11783.18,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0004,29077,2024-02-27,11749.09,29740,2024-02-20,11749.09,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0005,29674,2024-03-25,11662,30255,2024-03-08,11662,CONFIRMED_EXPANDED_PROXIMITY,Confirmed,false
AL-0006,29995,2024-04-07,10292,30841,2024-03-27,10292,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0007,30139,2024-04-16,13520,31051,2024-04-05,13520,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0008,30504,2024-05-05,23230,31468,2024-04-18,12206.18,CONFIRMED_OVERRIDE,Confirmed,false
AL-0009,30504,2024-05-05,23230,31751,2024-04-29,11023.82,CONFIRMED_OVERRIDE,Confirmed,false
AL-0010,31485,2024-06-04,15337.62,31981 & 32288,2024-05-07 / 2024-05-19,15337.62,CONFIRMED_EXPANDED_SPLIT_BATCH,Confirmed,false
AL-0011,31484,2024-06-23,11835.96,32960,2024-06-10,11835.96,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0012,31795,2024-07-08,13473.43,33559,2024-06-26,13473.43,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0013,32302,2024-07-24,12868.1,34007,2024-07-08,12868.1,CONFIRMED_EXPANDED_PROXIMITY,Confirmed,false
AL-0014,32873,2024-08-21,15122.3,34668 & 35101,2024-07-28 / 2024-08-07,15122.3,CONFIRMED_EXPANDED_SPLIT_BATCH,Confirmed,false
AL-0015,33317,2024-09-10,11983.58,35498,2024-08-22,11983.58,CONFIRMED_EXPANDED_PROXIMITY,Confirmed,false
AL-0016,33572,2024-09-22,11022.18,36163,2024-09-10,11022.18,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0017,33801,2024-09-29,12576.6,36587,2024-09-22,12576.6,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0018,33800,2024-10-01,12152.63,36752,2024-09-27,12152.63,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0019,33925,2024-10-06,14978.9,36911,2024-10-01,14978.9,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0020,34146,2024-10-13,14000.5,37072,2024-10-06,14000.5,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0021,34220,2024-10-21,10301.17,37288,2024-10-14,10301.17,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0022,34327,2024-10-27,13801.32,37511,2024-10-21,13801.32,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0023,34630,2024-11-07,25639.2,37710 & 37863,2024-10-27 / 2024-10-31,25639.2,CONFIRMED_LAG_SPLIT_BATCH,Confirmed,false
AL-0024,34860,2024-11-20,10413.57,38139,2024-11-08,10413.57,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0025,35114,2024-11-28,12858.77,38392,2024-11-18,12858.77,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0026,35345,2024-12-10,12513.55,38727,2024-11-29,12513.55,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0027,36042,2024-12-17,27684.18,,,0,UNALLOCATED,Exception,true
AL-0028,35691,2024-12-26,13089.82,,,0,UNALLOCATED,Exception,true
