allocation_id,allocation_group_id,payment_doc,payment_date,payment_amount,target_doc,target_date,allocated_amount,allocation_type,confidence,review_required
AL-0001,AG-000001,36043,2025-01-14,26126,39701,2025-01-07,11673.11,CONFIRMED_OVERRIDE,Confirmed,false
AL-0002,AG-000001,36043,2025-01-14,26126,39491,2024-12-30,14452.89,CONFIRMED_OVERRIDE,Confirmed,false
AL-0003,AG-000001,36494,2025-01-26,8014,39895,2025-01-14,8014,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0004,AG-000125,36462,2025-02-03,14244,40271,2025-01-28,14244,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0005,AG-000126,36787,2025-02-13,13155,40478,2025-02-05,13155,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0006,AG-000127,36969,2025-02-21,15002,40734,2025-02-14,15002,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0007,AG-000128,37248,2025-03-03,15306,41067,2025-02-27,15306,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0008,AG-000129,37558,2025-03-13,12349,41211,2025-03-04,12349,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0009,AG-000130,37585,2025-03-18,11252,41472,2025-03-12,11252,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0010,AG-000131,37776,2025-03-27,11403,41592,2025-03-18,11403,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0011,AG-000132,38056,2025-04-02,12044.12,41830,2025-03-28,12044.12,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0012,AG-000133,38077,2025-04-08,12928.42,41982,2025-04-03,12928.42,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0013,AG-000134,38238,2025-04-25,14309.62,42254,2025-04-13,14309.62,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0014,AG-000135,38533,2025-05-07,16545.45,42619,2025-04-28,16545.45,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0015,,38817,2025-05-16,10926.82,,,0,UNALLOCATED,Exception,true
AL-0016,AG-000136,38835,2025-05-19,17886.99,42968,2025-05-09,17886.99,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0017,AG-000137,38930,2025-05-27,14290.13,43279,2025-05-21,14290.13,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0018,AG-000138,39141,2025-06-04,15105.82,43437,2025-05-28,15105.82,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0019,AG-000139,39720,2025-06-08,12084.68,43683,2025-06-05,12084.68,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0020,AG-000140,40559,2025-06-12,11994.04,43728,2025-06-08,11994.04,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0021,AG-000141,39738,2025-06-19,19725.83,43972,2025-06-16,19725.83,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0022,,39582,2025-06-24,15921.26,,,0,UNALLOCATED,Exception,true
AL-0023,AG-000142,39621,2025-06-26,6771.54,44210,2025-06-23,6771.54,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0024,,39761,2025-07-01,14377.39,,,0,UNALLOCATED,Exception,true
AL-0025,,40110,2025-07-06,12000,,,0,UNALLOCATED,Exception,true
AL-0026,,40006,2025-07-13,13472.03,,,0,UNALLOCATED,Exception,true
AL-0027,,40276,2025-07-27,19378.76,,,0,UNALLOCATED,Exception,true
AL-0028,,40452,2025-08-04,21960.57,,,0,UNALLOCATED,Exception,true
AL-0029,,40892,2025-08-27,26906.96,,,0,UNALLOCATED,Exception,true
AL-0030,AG-000143,41121,2025-09-07,12597.8,45958,2025-08-27,12597.8,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0031,AG-000144,41312,2025-09-22,21236,46265 & 46505,2025-09-09 / 2025-09-18,21236,CONFIRMED_LAG_SPLIT_BATCH,Confirmed,false
AL-0032,AG-000145,41563,2025-10-01,7845,46660,2025-09-24,7845,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0033,,41648,2025-10-13,910,,,0,UNALLOCATED,Exception,true
AL-0034,,41763,2025-10-16,0.81,,,0,UNALLOCATED,Exception,true
AL-0035,AG-000146,41876,2025-10-17,8494.33,47040,2025-10-12,8494.33,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0036,AG-000147,41963,2025-10-26,15714.5,46878 & 47205,2025-10-03 / 2025-10-19,15714.5,CONFIRMED_EXPANDED_SPLIT_BATCH,Confirmed,false
AL-0037,AG-000148,42099,2025-11-04,8169.57,47442,2025-10-30,8169.57,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0038,AG-000149,42231,2025-11-13,10068,47514,2025-11-04,10068,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0039,AG-000150,42315,2025-11-21,6475,47712,2025-11-16,6475,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0040,AG-000151,42429,2025-11-28,8361,47876,2025-11-23,6560.57,CONFIRMED_OVERRIDE,Confirmed,false
AL-0041,AG-000152,42540,2025-12-07,6388.48,48042,2025-12-01,6388.48,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0042,AG-000153,42690,2025-12-14,7010.24,48206,2025-12-09,7010.24,CONFIRMED_LAG_PROXIMITY,Confirmed,false
AL-0043,AG-000154,42834,2025-12-28,7421.33,48384,2025-12-18,7421.33,CONFIRMED_LAG_PROXIMITY,Confirmed,false
