debtor_code,doc_no,entry_type,tx_date,stock_code,standard_weight_group,qty,amount_incl,financial_effect,custody_effect,deposit_rate,custody_exposure,notes
WO0001,00000010,Invoice,2016-11-02,9.2,9kg,1,342,342,1,517.5,517.5,
WO0001,00000007,Crd Note,2016-11-14,9.2,9kg,-1,-342,-342,-1,517.5,-517.5,
WO0001,00000334,Invoice,2017-01-11,9.2,9kg,1,342,342,1,517.5,517.5,
WO0001,00000131,Crd Note,2017-01-31,9.2,9kg,-1,-342,-342,-1,517.5,-517.5,
WO0001,00001480,Invoice,2017-08-23,9.2,9kg,3,1026,1026,3,517.5,1552.5,
WO0001,00000198,Crd Note,2017-09-03,9.2,9kg,-3,-1026,-1026,-3,517.5,-1552.5,
WO0001,00002341,Invoice,2018-01-03,9.2,9kg,6,2052,2052,6,517.5,3105,
WO0001,00002488,Invoice,2018-01-25,9.2,9kg,2,684,684,2,517.5,1035,
WO0001,00000389,Crd Note,2018-02-14,9.2,9kg,-2,-684,-684,-2,517.5,-1035,
WO0001,00002801,Invoice,2018-03-13,9.2,9kg,2,684,684,2,517.5,1035,
WO0001,00002802,Invoice,2018-03-13,9.2,9kg,1,342,342,1,517.5,517.5,
WO0001,00000419,Crd Note,2018-03-23,9.2,9kg,-2,-684,-684,-2,517.5,-1035,
WO0001,00000420,Crd Note,2018-03-23,9.2,9kg,-1,-342,-342,-1,517.5,-517.5,
WO0001,00002926,Invoice,2018-04-03,9.2,9kg,3,1026,1026,3,517.5,1552.5,
WO0001,00000450,Crd Note,2018-04-22,9.2,9kg,-3,-1026,-1026,-3,517.5,-1552.5,
WO0001,00001398,Crd Note,2021-05-20,14.1,14kg,-4,0,0,-4,575,-2300,
WO0001,00001398,Crd Note,2021-05-20,9.1,9kg,-8,0,0,-8,517.5,-4140,
WO0001,00001398,Crd Note,2021-05-20,19.1,19kg,-13,0,0,-13,690,-8970,
WO0001,00008523,Invoice,2021-05-20,19.1,19kg,5,0,0,5,690,3450,
WO0001,00008523,Invoice,2021-05-20,14.1,14kg,5,0,0,5,575,2875,
WO0001,00008523,Invoice,2021-05-20,9.1,9kg,15,0,0,15,517.5,7762.5,
WO0001,00001746,Crd Note,2021-06-20,14.1,14kg,-5,0,0,-5,575,-2875,
WO0001,00001746,Crd Note,2021-06-20,9.1,9kg,-30,0,0,-30,517.5,-15525,
WO0001,00001746,Crd Note,2021-06-20,19.1,19kg,-10,0,0,-10,690,-6900,
WO0001,00008919,Invoice,2021-06-20,14.1,14kg,5,0,0,5,575,2875,
WO0001,00008919,Invoice,2021-06-20,19.1,19kg,10,0,0,10,690,6900,
WO0001,00008919,Invoice,2021-06-20,9.1,9kg,30,0,0,30,517.5,15525,
WO0001,00008926,Invoice,2021-06-20,14.1,14kg,7,0,0,7,575,4025,
WO0001,00008926,Invoice,2021-06-20,19.1,19kg,7,0,0,7,690,4830,
WO0001,00008926,Invoice,2021-06-20,9.1,9kg,35,0,0,35,517.5,18112.5,
WO0001,00001757,Crd Note,2021-06-21,14.1,14kg,-8,0,0,-8,575,-4600,
WO0001,00001757,Crd Note,2021-06-21,19.1,19kg,-8,0,0,-8,690,-5520,
WO0001,00001757,Crd Note,2021-06-21,9.1,9kg,-33,0,0,-33,517.5,-17077.5,
WO0001,00009827,Invoice,2021-08-17,19.1,19kg,5,0,0,5,690,3450,
WO0001,00009827,Invoice,2021-08-17,14.1,14kg,5,0,0,5,575,2875,
WO0001,00009827,Invoice,2021-08-17,9.1,9kg,30,0,0,30,517.5,15525,
WO0001,00002302,Crd Note,2021-08-27,14.1,14kg,-8,0,0,-8,575,-4600,
WO0001,00002302,Crd Note,2021-08-27,19.1,19kg,-9,0,0,-9,690,-6210,
WO0001,00002302,Crd Note,2021-08-27,9.1,9kg,-23,0,0,-23,517.5,-11902.5,
WO0001,00009959,Invoice,2021-08-27,19.1,19kg,10,0,0,10,690,6900,
WO0001,00009959,Invoice,2021-08-27,9.1,9kg,20,0,0,20,517.5,10350,
WO0001,00009959,Invoice,2021-08-27,14.1,14kg,10,0,0,10,575,5750,
WO0001,00010062,Invoice,2021-09-03,9.1,9kg,30,0,0,30,517.5,15525,
WO0001,00010062,Invoice,2021-09-03,19.1,19kg,10,0,0,10,690,6900,
WO0001,00002353,Crd Note,2021-09-05,19.1,19kg,-1,0,0,-1,690,-690,
