debtor_code,doc_no,entry_type,tx_date,month_year,stock_code,description,debt_group,lane,qty,amount_excl,tax_amount,amount_incl,is_cyl,is_lpg,paired_cyl_doc,notes
WO0001,00000006,Invoice,2016-11-01,2016-11,9.3,,LPG,LPG,10,1373.95,206.09,1580.04,False,True,,
WO0001,00000006,Invoice,2016-11-01,2016-11,14.3,,LPG,LPG,5,1068.57,160.29,1228.86,False,True,,
WO0001,00000006,Invoice,2016-11-01,2016-11,19.3,,LPG,LPG,5,1450.18,217.53,1667.71,False,True,,
WO0001,00000010,Invoice,2016-11-02,2016-11,9.2,SHORT #6,CYL,CYL,1,297.39,44.61,342,True,False,,
WO0001,00000007,Crd Note,2016-11-14,2016-11,9.2,RETUNRED,CYL,CYL,-1,-297.39,-44.61,-342,True,False,,
WO0001,00000056,Invoice,2016-11-14,2016-11,9.3,,LPG,LPG,20,2747.9,412.18,3160.08,False,True,,
WO0001,00000013,Crd Note,2016-11-29,2016-11,9.3,,LPG,LPG,-15,-2008.73,-301.31,-2310.04,False,True,,
WO0001,00000013,Crd Note,2016-11-29,2016-11,19.3,,LPG,LPG,-5,-1413.5,-212.03,-1625.53,False,True,,
WO0001,00000126,Invoice,2016-11-29,2016-11,19.3,,LPG,LPG,5,1413.5,212.03,1625.53,False,True,,
WO0001,00000126,Invoice,2016-11-29,2016-11,9.3,,LPG,LPG,15,2008.73,301.31,2310.04,False,True,,
WO0001,00000129,Invoice,2016-11-29,2016-11,19.3,,LPG,LPG,5,1413.5,212.03,1625.53,False,True,,
WO0001,00000148,Invoice,2016-12-01,2016-12,9.3,,LPG,LPG,20,2678.3,401.75,3080.05,False,True,,
WO0001,00000206,Invoice,2016-12-13,2016-12,19.3,,LPG,LPG,5,1413.5,212.03,1625.53,False,True,,
WO0001,00000206,Invoice,2016-12-13,2016-12,9.3,,LPG,LPG,15,2008.67,301.3,2309.97,False,True,,
WO0001,00000253,Invoice,2016-12-21,2016-12,19.3,,LPG,LPG,3,848.1,127.22,975.32,False,True,,
WO0001,00000253,Invoice,2016-12-21,2016-12,9.3,,LPG,LPG,20,2678.3,401.75,3080.05,False,True,,
WO0001,00000273,Invoice,2016-12-28,2016-12,19.3,,LPG,LPG,5,1413.5,212.03,1625.53,False,True,,
WO0001,00000273,Invoice,2016-12-28,2016-12,9.3,,LPG,LPG,15,2008.73,301.31,2310.04,False,True,,
WO0001,00000293,Invoice,2017-01-03,2017-01,19.3,,LPG,LPG,3,848.1,127.22,975.32,False,True,,
WO0001,00000293,Invoice,2017-01-03,2017-01,9.3,,LPG,LPG,16,2142.64,321.4,2464.04,False,True,,
WO0001,00000293,Invoice,2017-01-03,2017-01,14.3,,LPG,LPG,2,416.63,62.49,479.12,False,True,,
WO0001,00000032,Crd Note,2017-01-11,2017-01,14.3,,LPG,LPG,-2,-430.1,-64.52,-494.62,False,True,,
WO0001,00000032,Crd Note,2017-01-11,2017-01,19.3,,LPG,LPG,-2,-583.74,-87.56,-671.3,False,True,,
WO0001,00000032,Crd Note,2017-01-11,2017-01,9.3,,LPG,LPG,-10,-1382.57,-207.39,-1589.96,False,True,,
WO0001,00000033,Crd Note,2017-01-11,2017-01,19.3,,LPG,LPG,-5,-1413.5,-212.03,-1625.53,False,True,,
WO0001,00000033,Crd Note,2017-01-11,2017-01,9.3,,LPG,LPG,-7,-937.4,-140.61,-1078.01,False,True,,
WO0001,00000033,Crd Note,2017-01-11,2017-01,14.3,,LPG,LPG,-2,-416.63,-62.49,-479.12,False,True,,
WO0001,00000330,Invoice,2017-01-11,2017-01,9.3,,LPG,LPG,10,1382.57,207.39,1589.96,False,True,,
WO0001,00000330,Invoice,2017-01-11,2017-01,14.3,,LPG,LPG,2,430.1,64.52,494.62,False,True,,
WO0001,00000330,Invoice,2017-01-11,2017-01,19.3,,LPG,LPG,2,583.73,87.56,671.29,False,True,,
WO0001,00000331,Invoice,2017-01-11,2017-01,19.3,CASH,LPG,LPG,5,1413.5,212.02,1625.52,False,True,,
WO0001,00000331,Invoice,2017-01-11,2017-01,9.3,CASH,LPG,LPG,7,937.41,140.61,1078.02,False,True,,
WO0001,00000331,Invoice,2017-01-11,2017-01,14.3,CASH,LPG,LPG,2,416.63,62.49,479.12,False,True,,
WO0001,00000332,Invoice,2017-01-11,2017-01,14.3,,LPG,LPG,2,430.1,64.52,494.62,False,True,,
WO0001,00000332,Invoice,2017-01-11,2017-01,19.3,,LPG,LPG,5,1459.3,218.9,1678.2,False,True,,
WO0001,00000332,Invoice,2017-01-11,2017-01,9.3,,LPG,LPG,7,967.8,145.17,1112.97,False,True,,
WO0001,00000334,Invoice,2017-01-11,2017-01,9.2,SHORT #332,CYL,CYL,1,297.39,44.61,342,True,False,,
WO0001,00000131,Crd Note,2017-01-31,2017-01,9.2,RETUNED,CYL,CYL,-1,-297.39,-44.61,-342,True,False,,
WO0001,00000401,Invoice,2017-01-31,2017-01,9.3,,LPG,LPG,20,2793.7,419.05,3212.75,False,True,,
WO0001,00000459,Invoice,2017-02-14,2017-02,19.3,,LPG,LPG,5,1468.62,220.29,1688.91,False,True,,
WO0001,00000459,Invoice,2017-02-14,2017-02,14.3,,LPG,LPG,3,649.3,97.39,746.69,False,True,,
WO0001,00000459,Invoice,2017-02-14,2017-02,9.3,,LPG,LPG,10,1391.3,208.69,1599.99,False,True,,
WO0001,00000516,Invoice,2017-03-05,2017-03,19.3,CASH,LPG,LPG,5,1468.62,220.29,1688.91,False,True,,
WO0001,00000516,Invoice,2017-03-05,2017-03,14.3,CASH,LPG,LPG,2,432.86,64.93,497.79,False,True,,
WO0001,00000516,Invoice,2017-03-05,2017-03,9.3,CASH,LPG,LPG,15,2086.95,313.04,2399.99,False,True,,
