debtor_code,payment_doc,payment_date,batch_ref,stat_no,amount,is_split_payment,notes
WO0001,00000007,2016-11-02,T3000001,T3000001,-4476.61,False,
WO0001,00000060,2016-11-14,T3000006,T3000006,-3160.08,False,
WO0001,00000142,2016-11-29,T3000008,T3000008,-1625.53,False,
WO0001,00000176,2016-12-01,T3000011,T3000011,-3080.05,False,
WO0001,00000238,2016-12-13,T3000013,T3000013,-3935.5,False,
WO0001,00000305,2016-12-22,T3000015,T3000015,-4055.37,False,
WO0001,00000331,2016-12-28,T3000015,T3000015,-3935.57,False,
WO0001,00000376,2017-01-03,T3000018,T3000018,-3918.48,False,
WO0001,00000431,2017-01-11,T3000020,T3000020,-3285.79,False,
WO0001,00000516,2017-01-31,CASH,,-3212.75,False,
WO0001,00000614,2017-02-14,T3000025,T3000025,-4035.59,False,
WO0001,00000681,2017-03-06,T3000029,T3000029,-4586.69,False,
WO0001,00000747,2017-03-22,CASH,,-6364.49,False,
WO0001,00000798,2017-04-06,T3000036,T3000036,-3788.76,False,
WO0001,00000823,2017-04-18,T3000038,T3000038,-4705.58,False,
WO0001,00000904,2017-05-02,T3000039,T3000039,-3950.44,False,
WO0001,00000939,2017-05-10,T3000040,T3000040,-2346.68,False,
WO0001,00000991,2017-05-22,T3000040,T3000040,-4320.03,False,
WO0001,00001131,2017-06-20,T3000043,T3000043,-3722.16,False,
WO0001,00001223,2017-06-29,T3000044,T3000044,-3737.17,False,
WO0001,00001343,2017-07-26,T3000047,T3000047,-4719.74,False,
WO0001,00001421,2017-08-07,T3000049,T3000049,-523.26,False,
WO0001,00001419,2017-08-07,T3000049,T3000049,-3401.26,False,
WO0001,00001477,2017-08-16,T3000049,T3000049,-4593.16,True,Consolidated from 2 ERP segments
WO0001,00001532,2017-08-23,T3000050,T3000050,-4418.64,False,
WO0001,00001620,2017-09-03,T3000053,T3000053,-3924.45,True,Consolidated from 2 ERP segments
WO0001,00001661,2017-09-10,T3000053,T3000053,-4675.95,False,
WO0001,00001753,2017-09-28,T3000059,T3000059,-3525.96,False,
WO0001,00001816,2017-10-08,T3000060,T3000060,-3234.26,False,
WO0001,00001873,2017-10-19,T3000062,T3000062,-4749.74,False,
WO0001,00001932,2017-10-30,T3000066,T3000066,-4953.82,False,
WO0001,00001968,2017-11-07,T3000072,T3000072,-2788.53,False,
WO0001,00002038,2017-11-16,CASH,,-3452.26,False,
WO0001,00002115,2017-11-27,T3000084,T3000084,-3844.4,False,
WO0001,00002183,2017-12-06,T3000092,T3000092,-4441.54,False,
WO0001,00002294,2017-12-14,T3000096,T3000096,-5459.7,False,
WO0001,00002345,2017-12-20,T3000104,T3000104,-4827.56,False,
WO0001,00002394,2017-12-27,T3000106,T3000106,-4037.6,False,
WO0001,00002443,2018-01-03,T3000108,T3000108,-7757.32,True,Consolidated from 2 ERP segments
WO0001,00002491,2018-01-10,T3000109,T3000109,-2563.02,False,
WO0001,00002592,2018-01-25,T3000115,T3000115,-4195.61,False,
WO0001,00002728,2018-02-13,T3000120,T3000120,-4862.68,False,
WO0001,00002821,2018-02-26,T3000124,T3000124,-6776.18,False,
WO0001,00002892,2018-03-07,T3000130,T3000130,-5424.45,False,
WO0001,00002949,2018-03-13,T3000132,T3000132,-6069.75,False,
WO0001,00003018,2018-03-23,T3000134,T3000134,-6172.11,False,
WO0001,00008804,2021-05-20,T7000068,T7000068,-5498.78,False,
WO0001,00009181,2021-06-21,T7000095,T7000095,-9551.57,False,
WO0001,00010328,2021-08-18,T7000141,T7000141,-9072.69,False,
WO0001,00010449,2021-08-27,T7000148,T7000148,-10525.84,False,
WO0001,00010548,2021-09-04,T7000155,T7000155,-9969.23,False,
WO0001,00010686,2021-09-14,T7000164,T7000164,-9427.41,False,
WO0001,00010838,2021-09-22,CASH,,-9548.05,False,
WO0001,00011007,2021-09-30,CASH,,-10411.76,False,
WO0001,00011209,2021-10-11,STAT192,STAT192,-9745,False,
WO0001,00011203,2021-10-15,STAT192,STAT192,-10977,False,
WO0001,00011479,2021-10-28,STAT192,STAT192,-9745.39,False,
WO0001,00011588,2021-11-08,STAT193,STAT193,-11668,False,
WO0001,00011589,2021-11-16,CASH,,-1.5,True,Consolidated from 3 ERP segments
WO0001,00011923,2021-12-01,STAT194,STAT194,-11230,True,Consolidated from 5 ERP segments
WO0001,00011976,2021-12-13,T7000234,T7000234,-12416.09,True,Consolidated from 2 ERP segments
WO0001,00012163,2022-01-02,T7000244,T7000244,-6635.99,False,
WO0001,00012230,2022-01-06,T7000248,T7000248,-8364.87,False,
WO0001,00012540,2022-01-19,STAT195,STAT195,-8000,True,Consolidated from 2 ERP segments
WO0001,00012554,2022-01-31,T7000266,T7000266,-6544.94,False,
WO0001,00012733,2022-02-09,STAT196,STAT196,-10524.93,False,
WO0001,00012756,2022-02-18,T7000282,T7000282,-11817.91,False,
WO0001,00012930,2022-03-04,STAT197,STAT197,-11723.76,False,
WO0001,00013243,2022-03-15,STAT197,STAT197,-11826.6,False,
WO0001,00013256,2022-03-24,STAT197,STAT197,-5733.31,False,
WO0001,00013548,2022-04-06,STAT198,STAT198,-10179.86,False,
WO0001,00013576,2022-04-18,STAT198,STAT198,-11518.57,False,
WO0001,00013543,2022-04-27,STAT198,STAT198,-11072.5,True,Consolidated from 2 ERP segments
WO0001,00013661,2022-05-06,STAT199,STAT199,-12957,False,
WO0001,00013995,2022-05-22,STAT79,STAT79,-15274,False,
WO0001,00014259,2022-06-05,STAT80,STAT80,-13587,True,Consolidated from 2 ERP segments
WO0001,00014619,2022-06-30,STAT81,STAT81,-9868,False,
WO0001,00014872,2022-07-10,STAT81,STAT81,-11641.43,False,
WO0001,00015219,2022-07-25,STAT81,STAT81,-11923.2,False,
WO0001,00015318,2022-08-03,STAT82,STAT82,-7231.2,False,
WO0001,00015710,2022-08-25,STAT82,STAT82,-11661.46,False,
WO0001,00015912,2022-09-06,STAT83,STAT83,-9498,True,Consolidated from 2 ERP segments
WO0001,00016213,2022-09-28,STAT84,STAT84,-12330,False,
WO0001,00016288,2022-10-04,STAT84,STAT84,-16677.06,False,
WO0001,00016428,2022-10-09,STAT84,STAT84,-13699,True,Consolidated from 2 ERP segments
WO0001,00016491,2022-10-19,STAT84,STAT84,-11778.76,False,
WO0001,00017279,2022-11-06,STAT85,STAT85,-12581.92,False,
WO0001,00017197,2022-12-06,STAT86,STAT86,-11404.32,False,
WO0001,00017470,2022-12-20,STAT86,STAT86,-11100.84,False,
WO0001,00017518,2022-12-27,STAT86,STAT86,-9095,True,Consolidated from 2 ERP segments
WO0001,00017863,2023-01-30,STAT:89,STAT:89,-10885.96,False,
WO0001,00017967,2023-02-07,STAT:89,STAT:89,-16255.77,True,Consolidated from 2 ERP segments
WO0001,00018500,2023-02-23,STAT:89,STAT:89,-6691.22,False,
WO0001,00019172,2023-03-19,STAT:89,STAT:89,-16769,True,Consolidated from 3 ERP segments
WO0001,00019769,2023-04-11,STAT:90,STAT:90,-17855,True,Consolidated from 2 ERP segments
WO0001,00020335,2023-04-27,STAT:90,STAT:90,-23687.81,True,Consolidated from 2 ERP segments
WO0001,00020787,2023-05-16,STAT:91,STAT:91,-18935,True,Consolidated from 3 ERP segments
WO0001,00021149,2023-05-28,STAT:91,STAT:91,-6010.94,False,
WO0001,00021412,2023-06-06,STAT:92,STAT:92,-20515.2,True,Consolidated from 2 ERP segments
WO0001,00021931,2023-06-22,STAT:92,STAT:92,-14062,True,Consolidated from 3 ERP segments
WO0001,00022455,2023-07-11,STAT 92,STAT 92,-8571.12,False,
WO0001,00022837,2023-07-24,STAT 92,STAT 92,-8933.49,False,
WO0001,00023161,2023-08-03,STAT 93,STAT 93,-12249,True,Consolidated from 3 ERP segments
WO0001,00023381,2023-08-14,STAT 93,STAT 93,-8899.79,False,
WO0001,00023749,2023-08-27,STAT 93,STAT 93,-7872.9,False,
WO0001,00024140,2023-09-10,STAT 94,STAT 94,-7790.25,False,
WO0001,00024501,2023-09-25,STAT 94,STAT 94,-5842,True,Consolidated from 2 ERP segments
WO0001,00024942,2023-10-08,STAT 95,STAT 95,-11111.53,True,Consolidated from 2 ERP segments
WO0001,00026092,2023-11-06,STAT 96,STAT 96,-12537,False,
WO0001,00026187,2023-11-15,STAT 97,STAT 97,-11185,True,Consolidated from 2 ERP segments
WO0001,00026270,2023-11-16,STAT 96,STAT 96,-7225.13,True,Consolidated from 2 ERP segments
WO0001,00026514,2023-11-27,STAT 96,STAT 96,-11947,True,Consolidated from 2 ERP segments
WO0001,00026663,2023-12-03,STAT 97,STAT 97,-8351.46,True,Consolidated from 2 ERP segments
WO0001,00027474,2023-12-15,STAT 97,STAT 97,-7644,True,Consolidated from 2 ERP segments
WO0001,00027475,2023-12-27,STAT 97,STAT 97,-11334,False,
WO0001,00027963,2024-01-15,STAT 98,STAT 98,-10010,True,Consolidated from 2 ERP segments
WO0001,00028311,2024-01-29,STAT 98,STAT 98,-17128,True,Consolidated from 2 ERP segments
WO0001,00028807,2024-02-14,STAT 99,STAT 99,-11783.18,True,Consolidated from 2 ERP segments
WO0001,00029077,2024-02-27,STAT 99,STAT 99,-11749.09,True,Consolidated from 2 ERP segments
WO0001,00029674,2024-03-25,STAT 100,STAT 100,-11662,True,Consolidated from 2 ERP segments
WO0001,00029995,2024-04-07,STAT 101,STAT 101,-10292,True,Consolidated from 2 ERP segments
WO0001,00030139,2024-04-16,STAT 101,STAT 101,-13520,True,Consolidated from 2 ERP segments
WO0001,00030504,2024-05-05,STAT 102,STAT 102,-23230,True,Consolidated from 3 ERP segments
WO0001,00031485,2024-06-04,STAT 103,STAT 103,-15337.62,True,Consolidated from 2 ERP segments
WO0001,00031484,2024-06-23,STAT 103,STAT 103,-11835.96,False,
WO0001,00031795,2024-07-08,STAT 104,STAT 104,-13473.43,False,
WO0001,00032302,2024-07-24,STAT 104,STAT 104,-12868.1,False,
WO0001,00032873,2024-08-21,STAT 105,STAT 105,-15122.3,True,Consolidated from 3 ERP segments
WO0001,00033317,2024-09-10,STAT 106,STAT 106,-11983.58,False,
WO0001,00033572,2024-09-22,STAT 106,STAT 106,-11022.18,False,
WO0001,00033801,2024-09-29,STAT 106,STAT 106,-12576.6,True,Consolidated from 3 ERP segments
WO0001,00033800,2024-10-01,STAT 107,STAT 107,-12152.63,False,
WO0001,00033925,2024-10-06,STAT 107,STAT 107,-14978.9,True,Consolidated from 6 ERP segments
WO0001,00034146,2024-10-13,STAT 107,STAT 107,-14000.5,False,
WO0001,00034220,2024-10-21,STAT 107,STAT 107,-10301.17,False,
WO0001,00034327,2024-10-27,STAT 107,STAT 107,-13801.32,False,
WO0001,00034630,2024-11-07,STAT 108,STAT 108,-25639.2,True,Consolidated from 4 ERP segments
WO0001,00034860,2024-11-20,STAT 108,STAT 108,-10413.57,False,
WO0001,00035114,2024-11-28,STAT 108,STAT 108,-12858.77,False,
WO0001,00035345,2024-12-10,STAT 109,STAT 109,-12513.55,True,Consolidated from 2 ERP segments
WO0001,00036042,2024-12-17,STAT 109,STAT 109,-27684.18,True,Consolidated from 4 ERP segments
WO0001,00035691,2024-12-26,STAT 109,STAT 109,-13089.82,False,
WO0001,00036043,2025-01-14,STAT 110,STAT 110,-26126,True,Consolidated from 4 ERP segments
WO0001,00036494,2025-01-26,STAT:111,STAT:111,-8014,True,Consolidated from 3 ERP segments
