"ACCOUNT:","WO0001 - L3 CASH AND CARRY"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","88768.73"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2024 FEBRUARY"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","83286.98","83286.98"
"2","01","00019172","Payment","20/03/2023","","TRANSF | STAT:89","","L3 CASH AND CARRY","-16769.00","66517.98"
"3","01","00004643","Crd Note","25/03/2023","","D/N 3845 EMPTIES","","L3 CASH AND CARRY","-8625.00","57892.98"
"4","01","00018744","Invoice","25/03/2023","","D/N 3845","00004454","L3 CASH AND CARRY","9235.36","67128.34"
"5","01","00018750","Invoice","25/03/2023","","D/N 3845 EMPTIES","00004461","L3 CASH AND CARRY","8625.00","75753.34"
"6","01","00004665","Crd Note","01/04/2023","","D/N 3856 EMPTIES","","L3 CASH AND CARRY","-6900.00","68853.34"
"7","01","00018945","Invoice","01/04/2023","","D/N 3856","00004543","L3 CASH AND CARRY","8619.71","77473.05"
"8","01","00018961","Invoice","01/04/2023","","D/N 3856 EMPTIES","00004558","L3 CASH AND CARRY","6900.00","84373.05"
"9","02","00019769","Payment","12/04/2023","","TRANSF | STAT:90","","L3 CASH AND CARRY","-17855.00","66518.05"
"10","02","00004716","Crd Note","14/04/2023","","D/N 3888 EMPTIES","","L3 CASH AND CARRY","-12075.00","54443.05"
"11","02","00019310","Invoice","14/04/2023","","D/N 3888","00004710","L3 CASH AND CARRY","13193.20","67636.25"
"12","02","00019318","Invoice","14/04/2023","","D/N 3888 EMPTIES","00004719","L3 CASH AND CARRY","12075.00","79711.25"
"13","02","00004743","Crd Note","18/04/2023","","D/N 3894 EMPTIES","","L3 CASH AND CARRY","-8625.00","71086.25"
"14","02","00019444","Invoice","18/04/2023","","D/N 3894","00004791","L3 CASH AND CARRY","10494.61","81580.86"
"15","02","00019449","Invoice","18/04/2023","","D/N 3894 EMPTIES","00004795","L3 CASH AND CARRY","8625.00","90205.86"
"16","02","00020335","Payment","28/04/2023","","TRANSF | STAT:90","","L3 CASH AND CARRY","-23687.81","66518.05"
"17","02","00004838","Crd Note","03/05/2023","","D/N 4157 EMPTIES","","L3 CASH AND CARRY","-15525.00","50993.05"
"18","02","00019875","Invoice","03/05/2023","","D/N 4157","00005049","L3 CASH AND CARRY","11094.28","62087.33"
"19","02","00019880","Invoice","03/05/2023","","D/N 4157 EMPTIES","00005057","L3 CASH AND CARRY","10350.00","72437.33"
"20","03","00004932","Crd Note","12/05/2023","","D/N 4748 EMPTIES","","L3 CASH AND CARRY","-8625.00","63812.33"
"21","03","00020178","Invoice","12/05/2023","","D/N 4748","00005211","L3 CASH AND CARRY","7840.36","71652.69"
"22","03","00020186","Invoice","12/05/2023","","D/N 4748 EMPTIES","","L3 CASH AND CARRY","8625.00","80277.69"
"23","03","00020787","Payment","17/05/2023","","TRANSF | STAT:91","","L3 CASH AND CARRY","-18935.00","61342.69"
"24","03","00004972","Crd Note","18/05/2023","","D/N 4768 EMPTIES","","L3 CASH AND CARRY","-6900.00","54442.69"
"25","03","00020338","Invoice","18/05/2023","","D/N 4768","00005269","L3 CASH AND CARRY","6010.94","60453.63"
"26","03","00020341","Invoice","18/05/2023","","D/N 4768 EMPTIES","","L3 CASH AND CARRY","6900.00","67353.63"
"27","03","00021149","Payment","29/05/2023","","TRANSF | STAT:91","","L3 CASH AND CARRY","-6010.94","61342.69"
"28","03","00005087","Crd Note","30/05/2023","","D/N 4655 EMPTIES","","L3 CASH AND CARRY","-10350.00","50992.69"
"29","03","00020790","Invoice","30/05/2023","","D/N 4655","00005405","L3 CASH AND CARRY","9016.40","60009.09"
"30","03","00020792","Invoice","30/05/2023","","D/N 4655 EMPTIES","","L3 CASH AND CARRY","10350.00","70359.09"
"31","03","00005115","Crd Note","02/06/2023","","D/N 4663 EMPTIES","","L3 CASH AND CARRY","-5175.00","65184.09"
"32","03","00020893","Invoice","02/06/2023","","D/N 4663","00005464","L3 CASH AND CARRY","11499.20","76683.29"
"33","03","00020894","Invoice","02/06/2023","","D/N 4663 EMPTIES","","L3 CASH AND CARRY","12075.00","88758.29"
"34","04","00021412","Payment","07/06/2023","","TRANSF | STAT:92","","L3 CASH AND CARRY","-20515.20","68243.09"
"35","04","00005180","Crd Note","09/06/2023","","D/N 5205 EMPTIES","","L3 CASH AND CARRY","-12075.00","56168.09"
"36","04","00021168","Invoice","09/06/2023","","D/N 5205","00005555","L3 CASH AND CARRY","9776.44","65944.53"
"37","04","00021176","Invoice","09/06/2023","","D/N 5205 EMPTIES","","L3 CASH AND CARRY","12075.00","78019.53"
"38","04","00005251","Crd Note","17/06/2023","","D/N 4803 EMPTIES","","L3 CASH AND CARRY","-5175.00","72844.53"
"39","04","00021383","Invoice","17/06/2023","","D/N 4803","00005645","L3 CASH AND CARRY","4285.53","77130.06"
"40","04","00021409","Invoice","17/06/2023","","D/N 4803 EMPTIES","","L3 CASH AND CARRY","5175.00","82305.06"
"41","04","00021931","Payment","23/06/2023","","TRANSF | STAT:92","","L3 CASH AND CARRY","-14062.00","68243.06"
