"ACCOUNT:","WO0001 - L3 CASH AND CARRY"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","88768.73"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","2025 MARCH"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","64444.64","64444.64"
"2","01","00017863","Payment","31/01/2023","","TRANSF | STAT:89","","L3 CASH AND CARRY","-10885.96","53558.68"
"3","01","00017967","Payment","08/02/2023","","TRANSF | STAT:89","","L3 CASH AND CARRY","-16255.77","37302.91"
"4","01","00018500","Payment","24/02/2023","","TRANSF | STAT:89","","L3 CASH AND CARRY","-6691.22","30611.69"
"5","01","00030255","Invoice","09/03/2024","","","00007836","L3 CASH AND CARRY","11662.30","42273.99"
"6","01","00029674","Payment","26/03/2024","","TRANSF | STAT 100","","L3 CASH AND CARRY","-11662.00","30611.99"
"7","01","00030841","Invoice","28/03/2024","","DN#8390 SO#8066","00008066","L3 CASH AND CARRY","10291.80","40903.79"
"8","01","00031051","Invoice","06/04/2024","","D/N 8768 S0 8125","00008125","L3 CASH AND CARRY","13519.40","54423.19"
"9","02","00029995","Payment","08/04/2024","","TRANSF | STAT 101","","L3 CASH AND CARRY","-10292.00","44131.19"
"10","02","00030139","Payment","17/04/2024","","TRANSF | STAT 101","","L3 CASH AND CARRY","-13520.00","30611.19"
"11","01","00031379","Invoice","17/04/2024","","DN#8799 SO#8226","00008226","L3 CASH AND CARRY","10782.64","41393.83"
"12","01","00008139","Crd Note","19/04/2024","","DN#8799 SO#8226","","L3 CASH AND CARRY","-10782.64","30611.19"
"13","01","00031468","Invoice","19/04/2024","","DN#8809 SO#8247","00008247","L3 CASH AND CARRY","12206.18","42817.37"
"14","01","00031751","Invoice","30/04/2024","","DN#8900 SO#8316","00008316","L3 CASH AND CARRY","11024.84","53842.21"
"15","03","00030504","Payment","06/05/2024","","TRANSF | STAT 102","","L3 CASH AND CARRY","-23230.00","30612.21"
"16","02","00031981","Invoice","08/05/2024","","DN#8716","","L3 CASH AND CARRY","2690.77","33302.98"
"17","02","00032288","Invoice","20/05/2024","","DN#8472","","L3 CASH AND CARRY","12646.85","45949.83"
"18","04","00031485","Payment","05/06/2024","","TRANSF | STAT 103","","L3 CASH AND CARRY","-15337.62","30612.21"
"19","02","00032960","Invoice","11/06/2024","","DN#8550","00008539","L3 CASH AND CARRY","11835.96","42448.17"
"20","04","00031484","Payment","24/06/2024","","TRANSF | STAT 103","","L3 CASH AND CARRY","-11835.96","30612.21"
