"ACCOUNT:","WO0001 - L3 CASH AND CARRY"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","88768.73"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","0.00"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","43925.34","43925.34"
"2","01","00037248","Payment","04/03/2025","","TRANSF | STAT 112","","L3 CASH AND CARRY","-15306.00","28619.34"
"3","01","00041211","Invoice","05/03/2025","","DN#12904","00010667","L3 CASH AND CARRY","12349.06","40968.40"
"4","01","00041212","Invoice","05/03/2025","","DN#12904-EMPTY","","L3 CASH AND CARRY","19722.50","60690.90"
"5","01","00012014","Crd Note","06/03/2025","","DN#12904-EMPTY","","L3 CASH AND CARRY","-19837.50","40853.40"
"6","01","00041472","Invoice","13/03/2025","","DN#12922","00010760","L3 CASH AND CARRY","11251.38","52104.78"
"7","01","00012069","Crd Note","14/03/2025","","DN#12922-EMPTY","","L3 CASH AND CARRY","-20240.00","31864.78"
"8","01","00037558","Payment","14/03/2025","","TRANSF | STAT 112","","L3 CASH AND CARRY","-12349.00","19515.78"
"9","01","00041473","Invoice","14/03/2025","","DN#12922-EMPTY","","L3 CASH AND CARRY","19492.50","39008.28"
"10","01","00037585","Payment","19/03/2025","","TRANSF | STAT 112","","L3 CASH AND CARRY","-11252.00","27756.28"
"11","01","00041592","Invoice","19/03/2025","","DN#12961","00010802","L3 CASH AND CARRY","11403.81","39160.09"
"12","01","00041593","Invoice","19/03/2025","","DN#12961-EMPTY","00010803","L3 CASH AND CARRY","17767.50","56927.59"
"13","01","00012096","Crd Note","20/03/2025","","DN#12961-EMPTY","","L3 CASH AND CARRY","-12707.50","44220.09"
"14","01","00037776","Payment","28/03/2025","","TRANSF | STAT 112","","L3 CASH AND CARRY","-11403.00","32817.09"
"15","01","00041830","Invoice","29/03/2025","","DN#12991","00010879","L3 CASH AND CARRY","12044.12","44861.21"
