"ACCOUNT:","WO0001 - L3 CASH AND CARRY"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","56743.98"
"UD PAY/CHEQUES:","-36368.63"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","36368.63"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"
"EXCLUDE:","ALLOCATION DETAIL"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","60329.29","60329.29"
"2","17","00017714","Ud Paymnt","16/01/2023","","","","L3 CASH AND CARRY","-11635.81","48693.48"
"3","17","00017783","Ud Paymnt","24/01/2023","","","","L3 CASH AND CARRY","-12219.27","36474.21"
"4","17","00035421","Ud Paymnt","11/12/2024","","","","L3 CASH AND CARRY","-12513.55","23960.66"
"5","16","00051006","Invoice","29/05/2026","","DN#22450","","L3 CASH AND CARRY","13833.03","37793.69"
"6","16","00015010","Crd Note","02/06/2026","","DN#22450","","L3 CASH AND CARRY","-14167.87","23625.82"
"7","16","00015011","Crd Note","02/06/2026","","DN#22771","","L3 CASH AND CARRY","-13128.29","10497.53"
"8","16","00015012","Crd Note","02/06/2026","","DN#22771-EMPTY","","L3 CASH AND CARRY","-21620.00","-11122.47"
"9","16","00050988","Invoice","02/06/2026","","DN#22771","","L3 CASH AND CARRY","13128.29","2005.82"
"10","16","00050989","Invoice","02/06/2026","","DN#22771-EMPTY","","L3 CASH AND CARRY","21390.00","23395.82"
"11","16","00051007","Invoice","02/06/2026","","DN#22771","","L3 CASH AND CARRY","12818.11","36213.93"
"12","16","00044553","Payment","03/06/2026","","TRANSF | STAT 127","","L3 CASH AND CARRY","-13833.00","22380.93"
"13","16","00044747","Payment","18/06/2026","","TRANSF | STAT 127","","L3 CASH AND CARRY","-12818.00","9562.93"
"14","16","00015101","Crd Note","22/06/2026","","DN#22655-EMPTY","","L3 CASH AND CARRY","-20642.50","-11079.57"
"15","16","00015131","Crd Note","22/06/2026","","DN#22655","","L3 CASH AND CARRY","-12205.61","-23285.18"
"16","16","00051342","Invoice","22/06/2026","","DN#22655","","L3 CASH AND CARRY","12205.61","-11079.57"
"17","16","00051343","Invoice","22/06/2026","","DN#22655-EMPTY","","L3 CASH AND CARRY","20642.50","9562.93"
"18","16","00051452","Invoice","22/06/2026","","DN#22655","","L3 CASH AND CARRY","11977.09","21540.02"
"19","17","00051497","Invoice","01/07/2026","","DN#22668","","L3 CASH AND CARRY","11310.08","32850.10"
"20","17","00051498","Invoice","01/07/2026","","DN#22668=EMPTY","","L3 CASH AND CARRY","19550.00","52400.10"
"21","17","00015159","Crd Note","02/07/2026","","DN#22668=EMPTY","","L3 CASH AND CARRY","-19550.00","32850.10"
"22","17","00045101","Payment","08/07/2026","","TRANSF | STAT 128","","L3 CASH AND CARRY","-11977.00","20873.10"
"23","17","00051727","Invoice","09/07/2026","","DN#22559","","L3 CASH AND CARRY","10812.25","31685.35"
"24","17","00051728","Invoice","09/07/2026","","DN#2259=EMPTY","","L3 CASH AND CARRY","20642.50","52327.85"
"25","17","00015235","Crd Note","10/07/2026","","DN#2259=EMPTY","","L3 CASH AND CARRY","-20642.50","31685.35"
"26","17","00045195","Payment","13/07/2026","","TRANSF | STAT 128","","L3 CASH AND CARRY","-11310.00","20375.35"
"TOTAL TRANSACTIONS: 20375.35","","","","","","","","","",""
