edge_type,source_doc,source_date,source_amount,target_doc,target_date,target_amount,match_method,confidence,residual,notes
credit_note_to_invoice,14435,2026-02-16,3082,49265,2026-02-16,144476.87,CN_REFNO,PROBABLE,141394.87,
credit_note_to_invoice,14432,2026-02-16,96600,49265,2026-02-16,144476.87,CN_REFNO,PROBABLE,47876.87,
credit_note_to_invoice,14431,2026-02-15,146559.36,49263,2026-02-15,96600,CN_REFNO,PROBABLE,-49959.36,
credit_note_to_invoice,14430,2026-02-15,96600,49252,2026-02-13,146559.36,CN_REFNO,PROBABLE,49959.36,
credit_note_to_invoice,14388,2026-02-06,63767.5,49115,2026-02-06,142071.81,CN_REFNO,PROBABLE,78304.31,
credit_note_to_invoice,14250,2026-01-10,95392.5,48725,2026-01-10,148299.27,CN_REFNO,PROBABLE,52906.77,
credit_note_to_invoice,14158,2025-12-26,94760,48504,2025-12-26,129637.91,CN_REFNO,PROBABLE,34877.91,
credit_note_to_invoice,14151,2025-12-23,96370,48458,2025-12-23,138886.88,CN_REFNO,PROBABLE,42516.88,
credit_note_to_invoice,14136,2025-12-22,82512.5,48408,2025-12-20,135705.43,CN_REFNO,PROBABLE,53192.93,
credit_note_to_invoice,14091,2025-12-17,94242.5,48309,2025-12-16,133103.35,CN_REFNO,PROBABLE,38860.85,
credit_note_to_invoice,14086,2025-12-06,137881.06,48140,2025-12-06,137881.06,CN_REFNO,PROBABLE,0,
credit_note_to_invoice,14085,2025-12-05,135164.07,48124,2025-12-05,135164.07,CN_REFNO,PROBABLE,0,
credit_note_to_invoice,14022,2025-12-08,86710,48140,2025-12-06,137881.06,CN_REFNO,PROBABLE,51171.06,
credit_note_to_invoice,14014,2025-12-06,106260,48124,2025-12-05,135164.07,CN_REFNO,PROBABLE,28904.07,
credit_note_to_invoice,13818,2025-11-07,98267.5,47539,2025-11-06,128822.21,CN_REFNO,PROBABLE,30554.71,
credit_note_to_invoice,13773,2025-10-30,76762.5,47425,2025-10-30,126124.81,CN_REFNO,PROBABLE,49362.31,
credit_note_to_invoice,13772,2025-10-30,126124.81,47353,2025-10-28,126124.81,CN_REFNO,PROBABLE,0,
credit_note_to_invoice,13617,2025-10-06,15525,46912,2025-10-06,133417.18,CN_REFNO,PROBABLE,117892.18,
credit_note_to_invoice,13609,2025-10-04,83260,46856,2025-10-03,70644.04,CN_REFNO,PROBABLE,-12615.96,
credit_note_to_invoice,13497,2025-09-18,81765,46455,2025-09-17,135148.06,CN_REFNO,PROBABLE,53383.06,
credit_note_to_invoice,13408,2025-09-08,83317.5,46181,2025-09-06,142637.18,CN_REFNO,PROBABLE,59319.68,
credit_note_to_invoice,13376,2025-09-04,35880,46119,2025-09-03,33382.48,CN_REFNO,PROBABLE,-2497.52,
credit_note_to_invoice,13372,2025-08-25,50190.49,46108,2025-08-25,50189.99,CN_REFNO,PROBABLE,-0.5,
credit_note_to_invoice,13367,2025-08-25,68593.64,45867,2025-08-25,135983.64,CN_REFNO,PROBABLE,67390,
credit_note_to_invoice,13310,2025-08-26,87112.5,45867,2025-08-25,135983.64,CN_REFNO,PROBABLE,48871.14,
credit_note_to_invoice,13221,2025-08-14,92000,45622,2025-08-13,135983.64,CN_REFNO,PROBABLE,43983.64,
credit_note_to_invoice,13218,2025-08-13,1225.76,45622,2025-08-13,135983.64,CN_REFNO,PROBABLE,134757.88,
credit_note_to_invoice,13148,2025-08-06,114958.69,45169,2025-07-26,114958.69,CN_REFNO,PROBABLE,0,
credit_note_to_invoice,13122,2025-08-04,86077.5,45359,2025-08-04,155776.98,CN_REFNO,PROBABLE,69699.48,
credit_note_to_invoice,13065,2025-07-28,98152.5,45169,2025-07-26,114958.69,CN_REFNO,PROBABLE,16806.19,
credit_note_to_invoice,13054,2025-07-26,58427.08,45154,2025-07-26,58427.08,CN_REFNO,PROBABLE,0,
credit_note_to_invoice,12971,2025-07-14,92172.5,44786,2025-07-12,144643.69,CN_REFNO,PROBABLE,52471.19,
credit_note_to_invoice,12916,2025-07-07,101660,44553,2025-07-05,135569.2,CN_REFNO,PROBABLE,33909.2,
credit_note_to_invoice,12855,2025-06-30,74750,44366,2025-06-30,161826.49,CN_REFNO,PROBABLE,87076.49,
credit_note_to_invoice,12818,2025-06-26,91137.5,44236,2025-06-26,156604.47,CN_REFNO,PROBABLE,65466.97,
credit_note_to_invoice,12742,2025-06-17,97405,44017,2025-06-17,126308.66,CN_REFNO,PROBABLE,28903.66,
credit_note_to_invoice,12716,2025-06-12,105742.5,43871,2025-06-12,148829.07,CN_REFNO,PROBABLE,43086.57,
credit_note_to_invoice,12611,2025-06-02,111952.5,43509,2025-05-31,287001.3,CN_REFNO,PROBABLE,175048.8,
credit_note_to_invoice,12609,2025-05-13,54428.51,43045,2025-05-13,141127.08,CN_REFNO,PROBABLE,86698.57,
credit_note_to_invoice,12531,2025-05-21,90102.5,43241,2025-05-21,147169.5,CN_REFNO,PROBABLE,57067,
credit_note_to_invoice,12481,2025-05-14,1253.57,43045,2025-05-13,141127.08,CN_REFNO,PROBABLE,139873.51,
credit_note_to_invoice,12480,2025-05-14,102120,43045,2025-05-13,141127.08,CN_REFNO,PROBABLE,39007.08,
credit_note_to_invoice,12412,2025-05-05,81880,42813,2025-05-05,139242.3,CN_REFNO,PROBABLE,57362.3,
credit_note_to_invoice,12384,2025-05-02,94530,42667,2025-04-30,144215.6,CN_REFNO,PROBABLE,49685.6,
credit_note_to_invoice,12343,2025-04-25,100280,42506,2025-04-24,141390.88,CN_REFNO,PROBABLE,41110.88,
credit_note_to_invoice,12267,2025-04-14,107640,42224,2025-04-12,144215.6,CN_REFNO,PROBABLE,36575.6,
credit_note_to_invoice,12185,2025-04-04,96945,41981,2025-04-04,146134.76,CN_REFNO,PROBABLE,49189.76,
credit_note_to_invoice,12180,2025-04-02,1207.5,41343,2025-03-09,301502.49,CN_REFNO,PROBABLE,300294.99,
credit_note_to_invoice,12160,2025-04-01,108157.5,41863,2025-03-29,138779.18,CN_REFNO,PROBABLE,30621.68,
credit_note_to_invoice,12034,2025-03-11,141583.88,41343,2025-03-09,301502.49,CN_REFNO,PROBABLE,159918.61,
credit_note_to_invoice,11989,2025-03-04,104707.5,41137,2025-03-03,142652.44,CN_REFNO,PROBABLE,37944.94,
payment_unallocated,37388,2025-03-01,50908,,,0,PMT_NO_MATCH,UNVERIFIED,50908,PC-76-18
payment_to_invoice,38593,2025-03-06,108000,41137,2025-03-03,37944.94,PMT_PARTIAL_FIFO,ASSUMED,70055.06,partial best-effort
payment_residual,38593,2025-03-06,108000,,,37944.94,PMT_PARTIAL_RESIDUAL,UNVERIFIED,70055.06,PC-76-18
payment_unallocated,38594,2025-03-06,37944,,,0,PMT_NO_MATCH,UNVERIFIED,37944,PC-76-18
payment_to_invoice,37768,2025-03-29,59918,41343,2025-03-09,59918,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,38596,2025-03-30,50000,41343,2025-03-09,50000,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,38043,2025-04-03,30626,41863,2025-03-29,30626,PMT_LAG_SINGLE,PROBABLE,0,
payment_to_invoice,38044,2025-04-03,47336,41343,2025-03-09,47336,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,38591,2025-04-22,43860,41343,2025-03-09,1457.11,PMT_PARTIAL_FIFO,ASSUMED,42402.89,partial best-effort
payment_to_invoice,38591,2025-04-22,43860,41981,2025-04-04,42402.89,PMT_PARTIAL_FIFO,ASSUMED,1457.11,partial best-effort
payment_to_invoice,38592,2025-04-22,49189,41981,2025-04-04,6786.87,PMT_PARTIAL_FIFO,ASSUMED,42402.13,partial best-effort
payment_to_invoice,38592,2025-04-22,49189,42224,2025-04-12,36575.6,PMT_PARTIAL_FIFO,ASSUMED,12613.4,partial best-effort
payment_residual,38592,2025-04-22,49189,,,43362.47,PMT_PARTIAL_RESIDUAL,UNVERIFIED,5826.53,PC-76-19
payment_to_invoice,38344,2025-05-02,42360,42506,2025-04-24,41110.88,PMT_PARTIAL_FIFO,ASSUMED,1249.12,partial best-effort
payment_to_invoice,38344,2025-05-02,42360,42667,2025-04-30,1249.12,PMT_PARTIAL_FIFO,ASSUMED,41110.88,partial best-effort
payment_to_invoice,38570,2025-05-13,57362,42813,2025-05-05,57362,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,38571,2025-05-13,49685.6,42667,2025-04-30,48436.48,PMT_PARTIAL_FIFO,ASSUMED,1249.12,partial best-effort
payment_to_invoice,38571,2025-05-13,49685.6,43517,2025-05-13,1249.12,PMT_PARTIAL_FIFO,ASSUMED,48436.48,partial best-effort
payment_to_invoice,39047,2025-05-30,57054,43517,2025-05-13,53913.31,PMT_PARTIAL_FIFO,ASSUMED,3140.69,partial best-effort
payment_to_invoice,39047,2025-05-30,57054,43241,2025-05-21,3140.69,PMT_PARTIAL_FIFO,ASSUMED,53913.31,partial best-effort
payment_to_invoice,39048,2025-05-30,37746,43241,2025-05-21,37746,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,39915,2025-06-11,175023,43241,2025-05-21,16180.31,PMT_PARTIAL_FIFO,ASSUMED,158842.69,partial best-effort
payment_to_invoice,39915,2025-06-11,175023,43509,2025-05-31,158842.69,PMT_PARTIAL_FIFO,ASSUMED,16180.31,partial best-effort
payment_to_invoice,39863,2025-06-27,43087,43871,2025-06-12,43087,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,39864,2025-06-27,28903,44017,2025-06-17,28903,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,39769,2025-07-03,87076.49,44366,2025-06-30,87076.49,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,39770,2025-07-03,65467,44236,2025-06-26,65467,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,40364,2025-07-31,33909,44553,2025-07-05,33909,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,40365,2025-08-02,53427,43509,2025-05-31,16206.11,PMT_PARTIAL_FIFO,ASSUMED,37220.89,partial best-effort
payment_to_invoice,40365,2025-08-02,53427,44786,2025-07-12,37220.89,PMT_PARTIAL_FIFO,ASSUMED,16206.11,partial best-effort
payment_to_invoice,40615,2025-08-12,69699.48,45359,2025-08-04,69699.48,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,40616,2025-08-12,47214.58,44786,2025-07-12,15250.3,PMT_PARTIAL_FIFO,ASSUMED,31964.28,partial best-effort
payment_to_invoice,40616,2025-08-12,47214.58,45348,2025-07-26,31964.28,PMT_PARTIAL_FIFO,ASSUMED,15250.3,partial best-effort
payment_to_invoice,41022,2025-09-03,42757,45622,2025-08-13,42757,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,41023,2025-09-03,45989,45348,2025-07-26,45989,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,41515,2025-09-29,55363.38,45348,2025-07-26,55363.38,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,41616,2025-10-07,52622.5,45348,2025-07-26,12050.42,PMT_PARTIAL_FIFO,ASSUMED,40572.08,partial best-effort
payment_to_invoice,41616,2025-10-07,52622.5,46118,2025-08-25,40572.08,PMT_PARTIAL_FIFO,ASSUMED,12050.42,partial best-effort
payment_to_invoice,42052,2025-10-28,103282.5,46118,2025-08-25,25143.42,PMT_PARTIAL_FIFO,ASSUMED,78139.08,partial best-effort
payment_to_invoice,42052,2025-10-28,103282.5,46181,2025-09-06,59319.68,PMT_PARTIAL_FIFO,ASSUMED,43962.82,partial best-effort
payment_to_invoice,42052,2025-10-28,103282.5,46455,2025-09-17,18819.4,PMT_PARTIAL_FIFO,ASSUMED,84463.1,partial best-effort
payment_to_invoice,42499,2025-12-05,49362.5,47425,2025-10-30,49362.5,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,42500,2025-12-05,29626.5,46455,2025-09-17,29626.5,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,42708,2025-12-17,27890.5,46455,2025-09-17,4937.16,PMT_PARTIAL_FIFO,ASSUMED,22953.34,partial best-effort
payment_to_invoice,42708,2025-12-17,27890.5,46912,2025-10-06,22953.34,PMT_PARTIAL_FIFO,ASSUMED,4937.16,partial best-effort
payment_to_invoice,42716,2025-12-21,50237,46912,2025-10-06,50237,PMT_PARTIAL_FIFO,ASSUMED,0,partial best-effort
payment_to_invoice,42717,2025-12-21,38860,48309,2025-12-16,38860,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,42975,2026-01-10,53192.5,48408,2025-12-20,53192.5,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,42976,2026-01-10,42516.5,48458,2025-12-23,42516.5,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,43246,2026-02-06,34877.5,48504,2025-12-26,34877.5,PMT_EXACT_SINGLE,PROBABLE,0,
payment_to_invoice,43247,2026-02-06,49588,46912,2025-10-06,44701.84,PMT_PARTIAL_FIFO,ASSUMED,4886.16,partial best-effort
payment_to_invoice,43247,2026-02-06,49588,47539,2025-11-06,4886.16,PMT_PARTIAL_FIFO,ASSUMED,44701.84,partial best-effort
