stock_no,description,priority,sold_lifetime,sold_90d,sold_365d,on_hand,min_stock,reorder_qty,stock_status,last_sale,tx_count
00000304,"1/2 M X 1/2 OD COUPLER (68-8A)",A,193,24,114,40,15,29,OK,2026-06-25,36
00000236,"SHUT OFF VALVE 1/2",A,144,18,66,5,9,18,LOW,2026-06-25,51
00000266,"3/8 M X 1/2 OD COUPLER (66-8C)",A,99,5,53,24,8,15,OK,2026-06-22,47
00000306,"1/2 MALE HOSE TAIL",B,32,0,18,26,3,5,OK,2026-03-16,20
00000245,"LOW PRESSURE C/O REG KIT 5KG(S) CRIMPED",B,32,1,18,6,3,5,OK,2026-05-11,34
00000274,"1/2 F X 1/2 OD COUPLER",B,24,5,18,5,4,5,OK,2026-05-11,18
00000267,"3/8 M X 3/8 OD COUPLER (68-6B)",B,29,0,17,4,3,5,OK,2026-03-04,17
00000246,"CHANGE OVER PIGTAIL 7/16 (500MM) BRASS",B,34,9,16,3,6,9,LOW,2026-06-22,30
00000305,"COUPLER 1/2 COPPER TO 8MM HOSE",B,31,0,15,3,3,5,OK,2026-02-25,19
00000251,"BULLNOSE REGULATOR LOW PRESSURE",B,27,1,14,6,3,5,OK,2026-06-04,39
00000277,"3/8 F X 3/8 OD COUPLER (66-6C)",B,16,2,14,6,3,5,OK,2026-05-18,13
00000243,"LOW PRESSURE REG SINGLE 5KG (S) CRIMPED",B,30,4,12,7,3,5,OK,2026-06-12,33
00000263,"1/2 X 1/2 UNION COUPLER (62-8)",B,31,0,10,9,3,5,OK,2026-04-09,11
00000271,"1/4 M X 1/4 OD COUPLER (68-4A)",B,7,7,7,5,5,7,OK,2026-05-18,7
00000264,"1/2M X 3/8 OD COUPLER (68-6C)",B,11,5,5,9,4,5,OK,2026-06-25,10
00000262,"1/2 FEMALE HOSETAIL WASHER",B,7,3,5,13,3,5,OK,2026-06-25,10
00000242,"LOW PRESSURE INLINE REG SINGLE (M)BRASS",C,9,0,4,3,1,3,OK,2026-03-29,13
00000249,"GAS FILLING HOSE",C,8,2,4,3,1,3,OK,2026-06-23,16
00000237,"SHUT OFF VALVE 1/4",C,7,0,4,5,1,3,OK,2026-02-17,9
00000268,"3/8 M X 1/4 OD COUPLER (68-4C)",C,4,0,4,1,1,3,OK,2025-09-18,6
00000269,"1/4 M X 1/2 OD COUPLER (68-8B)",C,12,0,3,2,1,3,OK,2025-11-30,13
00000252,"BULLNOSE REGULATOR WITH GAUGE",C,11,0,3,,1,3,—,2025-11-17,15
00000239,"SHUT OFF VALVE 3/8 BUTTERFLY",B,8,3,3,7,3,5,OK,2026-06-22,11
00000253,"BULLNOSE REGULATOR FOR OUTDOOR USE (4KG)",C,7,0,3,7,1,3,OK,2025-11-03,10
00000270,"1/4'' M X 3/8'' OD COUPLER (68-6)",C,13,0,2,,1,3,—,2025-11-30,9
00000244,"LOW PRESSURE C/O REGULATOR KIT(M)BRASS",C,9,0,2,3,1,3,OK,2026-03-30,11
00000260,"1/4 FEMALE HOSE TAIL",C,2,1,2,1,1,3,OK,2026-04-30,5
00000240,"UNIVERSAL THERMOCOUPLE 1500 MM",C,2,0,2,,1,3,—,2025-10-29,3
00000238,"SHUT OFF VALVE 1/4 BUTTERFLY",C,9,0,1,6,1,3,OK,2025-11-30,16
00000265,"1/2M X 1/4 OD COUPLER (68-4D)",C,2,0,1,3,1,3,OK,2025-07-27,4
00000232,"BULLNOSE 'O' RING FOR PIGTAIL",C,1,1,1,11,1,3,OK,2026-06-14,6
00000256,"BRASS 'T' CONECTOR - 8MM",C,1,0,1,,1,3,—,2026-01-22,6
00000247,"CHANGEOVER VALVE",C,5,0,0,9,1,3,OK,2025-07-03,9
00000233,"BULLNOSE HANDWHEEL",C,4,0,0,6,1,3,OK,2025-05-01,9
00000278,"1/4 F X 3/8 OD COUPLER",C,3,0,0,3,1,3,OK,2025-06-25,5
00000259,"1/8 FEMALE HOSE TAIL",C,2,0,0,,1,3,—,2024-12-17,5
00000255,"ADAPTOR B X H",C,2,0,0,9,1,3,OK,2025-01-10,7
00000235,"SHUT OFF VALVE 3/4",C,2,0,0,,1,3,—,2025-02-03,8
00000276,"3/8 M X 1/2 OD COUPLER (66-8C)",C,2,0,0,,1,3,—,2024-10-22,3
00000317,"CHANGE OVER PIGTAIL 7/16 (1000MM)",C,2,0,0,,1,3,—,2025-02-06,2
00000248,"ADAPTOR C X B",C,1,0,0,4,1,3,OK,2025-03-14,3
00000241,"UNIVERSAL THERMOCOUPLE 900MM",C,1,0,0,1,1,3,OK,2025-04-02,4
00000129,"C40 GAS BURNER",C,1,0,0,,1,3,—,2023-09-10,2
00000257,"BRASS Y CONNECTOR - 8 MM",C,1,0,0,1,1,3,OK,2025-02-24,5
00000300,"LPG FILLING HOSE QAV TO BULLNOSE",C,1,0,0,,1,3,—,2024-07-24,2
00000258,"GAS HOSE 8MM 30M",C,1,0,0,1,1,3,OK,2024-11-25,7
00000113,"UNIVERSAL THERMOCOUPLE",C,0,0,0,5,1,3,OK,,6
00000234,"LIQUID STEM",C,0,0,0,4,1,3,OK,,2
00000254,"ADAPTOR C X B 45''",C,0,0,0,,1,3,—,,3
00000279,"1/4 F X 1/4 OD COUPLER (66-4A)",C,0,0,0,10,1,3,OK,,3
00000299,"PEX SLEEVE TAN 25MM",C,0,0,0,50,1,3,OK,,2
00000250,"C40 GAS BURNER",C,0,0,0,,1,3,—,,2
00000301,"PEX HOLDER BAT CLOSED 25MM",C,0,0,0,50,1,3,OK,,2
00000272,"1/4 M X 5/16 OD COUPLER (68-5A)",C,0,0,0,3,1,3,OK,,4
00000273,"COUPLER 1/8M X 3/8 OD (68-6A)",C,0,0,0,5,1,3,OK,,4
00000261,"1/2 SOFT DRAWN COPPER-PER 15.24M COIL",C,0,0,0,,1,3,—,,2
00000275,"1/2F X 3/8 OD COUPLER (66-6D)",C,0,0,0,2,1,3,OK,,3
