stock_no,description,target_qty,on_back_order,on_hand_ref,net_to_order,net_if_inc_on_hand
00000232,BULLNOSE 'O' RING FOR PIGTAIL,1,0,3.0,1,0
00000236,SHUT OFF VALVE 1/2,9,10,0.0,0,0
00000237,SHUT OFF VALVE 1/4,1,0,1.0,1,0
00000238,SHUT OFF VALVE 1/4 BUTTERFLY,1,0,0.0,1,1.0
00000239,SHUT OFF VALVE 3/8 BUTTERFLY,3,5,2.0,0,0
00000242,LOW PRESSURE INLINE REG SINGLE (M)BRASS,1,0,0.0,1,1.0
00000243,LOW PRESSURE REG SINGLE 5KG (S) CRIMPED,3,0,0.0,3,3.0
00000244,LOW PRESSURE C/O REGULATOR KIT(M)BRASS,1,0,1.0,1,0
00000245,LOW PRESSURE C/O REG KIT 5KG(S) CRIMPED,3,0,0.0,3,3.0
00000246,CHANGE OVER PIGTAIL 7/16 (500MM) BRASS,6,0,0.0,6,6.0
00000249,GAS FILLING HOSE,1,0,0.0,1,1.0
00000251,BULLNOSE REGULATOR LOW PRESSURE,3,0,2.0,3,1.0
00000252,BULLNOSE REGULATOR WITH GAUGE,1,0,1.0,1,0
00000253,BULLNOSE REGULATOR FOR OUTDOOR USE (4KG),1,0,5.0,1,0
00000256,BRASS 'T' CONECTOR - 8MM,1,0,3.0,1,0
00000260,1/4 FEMALE HOSE TAIL,1,0,0.0,1,1.0
00000262,1/2 FEMALE HOSETAIL WASHER,3,0,4.0,3,0
00000263,1/2 X 1/2 UNION COUPLER (62-8),3,0,0.0,3,3.0
00000264,1/2M X 3/8 OD COUPLER (68-6C),4,0,17.0,4,0
00000266,3/8 M X 1/2 OD COUPLER (66-8C),8,0,14.0,8,0
00000267,3/8 M X 3/8 OD COUPLER (68-6B),3,0,0.0,3,3.0
00000269,1/4 M X 1/2 OD COUPLER (68-8B),1,0,0.0,1,1.0
00000270,1/4'' M X 3/8'' OD COUPLER (68-6),1,0,0.0,1,1.0
00000271,1/4 M X 1/4 OD COUPLER (68-4A),5,10,5.0,0,0
00000274,1/2 F X 1/2 OD COUPLER,4,0,0.0,4,4.0
00000277,3/8 F X 3/8 OD COUPLER (66-6C),3,5,2.0,0,0
00000304,1/2 M X 1/2 OD COUPLER (68-8A),15,0,0.0,15,15.0
00000305,COUPLER 1/2 COPPER TO 8MM HOSE,3,5,3.0,0,0
00000306,1/2 MALE HOSE TAIL,3,0,11.0,3,0
