count_date,stock_no,category,product_group,description,uom,min_qty,erp_on_hand_ref,on_back_order,physical_count,variance,bin,counted_by,notes
2026-09-01,00000232,FIT,ACC,BULLNOSE 'O' RING FOR PIGTAIL,EA,1,3.0,0,,,,,
2026-09-01,00000236,FIT,ACC,SHUT OFF VALVE 1/2,EA,9,0.0,10,,,,,
2026-09-01,00000237,FIT,ACC,SHUT OFF VALVE 1/4,EA,1,1.0,0,,,,,
2026-09-01,00000238,FIT,ACC,SHUT OFF VALVE 1/4 BUTTERFLY,EA,1,0.0,0,,,,,
2026-09-01,00000239,FIT,ACC,SHUT OFF VALVE 3/8 BUTTERFLY,EA,3,2.0,5,,,,,
2026-09-01,00000242,FIT,ACC,LOW PRESSURE INLINE REG SINGLE (M)BRASS,EA,1,0.0,0,,,,,
2026-09-01,00000243,FIT,ACC,LOW PRESSURE REG SINGLE 5KG (S) CRIMPED,EA,3,0.0,0,,,,,
2026-09-01,00000244,FIT,ACC,LOW PRESSURE C/O REGULATOR KIT(M)BRASS,EA,1,1.0,0,,,,,
2026-09-01,00000245,FIT,ACC,LOW PRESSURE C/O REG KIT 5KG(S) CRIMPED,EA,3,0.0,0,,,,,
2026-09-01,00000246,FIT,ACC,CHANGE OVER PIGTAIL 7/16 (500MM) BRASS,EA,6,0.0,0,,,,,
2026-09-01,00000249,FIT,ACC,GAS FILLING HOSE,EA,1,0.0,0,,,,,
2026-09-01,00000251,FIT,ACC,BULLNOSE REGULATOR LOW PRESSURE,EA,3,2.0,0,,,,,
2026-09-01,00000252,FIT,ACC,BULLNOSE REGULATOR WITH GAUGE,EA,1,1.0,0,,,,,
2026-09-01,00000253,FIT,ACC,BULLNOSE REGULATOR FOR OUTDOOR USE (4KG),EA,1,5.0,0,,,,,
2026-09-01,00000256,FIT,ACC,BRASS 'T' CONECTOR - 8MM,EA,1,3.0,0,,,,,
2026-09-01,00000260,FIT,ACC,1/4 FEMALE HOSE TAIL,EA,1,0.0,0,,,,,
2026-09-01,00000262,FIT,ACC,1/2 FEMALE HOSETAIL WASHER,EA,3,4.0,0,,,,,
2026-09-01,00000263,FIT,ACC,1/2 X 1/2 UNION COUPLER (62-8),EA,3,0.0,0,,,,,
2026-09-01,00000264,FIT,ACC,1/2M X 3/8 OD COUPLER (68-6C),EA,4,17.0,0,,,,,
2026-09-01,00000266,FIT,ACC,3/8 M X 1/2 OD COUPLER (66-8C),EA,8,14.0,0,,,,,
2026-09-01,00000267,FIT,ACC,3/8 M X 3/8 OD COUPLER (68-6B),EA,3,0.0,0,,,,,
2026-09-01,00000269,FIT,ACC,1/4 M X 1/2 OD COUPLER (68-8B),EA,1,0.0,0,,,,,
2026-09-01,00000270,FIT,ACC,1/4'' M X 3/8'' OD COUPLER (68-6),EA,1,0.0,0,,,,,
2026-09-01,00000271,FIT,ACC,1/4 M X 1/4 OD COUPLER (68-4A),EA,5,5.0,10,,,,,
2026-09-01,00000274,FIT,ACC,1/2 F X 1/2 OD COUPLER,EA,4,0.0,0,,,,,
2026-09-01,00000277,FIT,ACC,3/8 F X 3/8 OD COUPLER (66-6C),EA,3,2.0,5,,,,,
2026-09-01,00000304,FIT,ACC,1/2 M X 1/2 OD COUPLER (68-8A),EA,15,0.0,0,,,,,
2026-09-01,00000305,FIT,ACC,COUPLER 1/2 COPPER TO 8MM HOSE,EA,3,3.0,5,,,,,
2026-09-01,00000306,FIT,ACC,1/2 MALE HOSE TAIL,EA,3,11.0,0,,,,,
