rank,stock_no,description,priority,sold_365d,sold_90d,assumed_on_hand,min_stock,reorder_qty,stock_status,last_sale
1,00000304,1/2 M X 1/2 OD COUPLER (68-8A),A,114,24,0,15,29,OUT,2026-06-25
2,00000236,SHUT OFF VALVE 1/2,A,66,18,0,9,18,OUT,2026-06-25
3,00000266,3/8 M X 1/2 OD COUPLER (66-8C),A,53,5,0,8,15,OUT,2026-06-22
4,00000246,CHANGE OVER PIGTAIL 7/16 (500MM) BRASS,B,16,9,0,6,9,OUT,2026-06-22
5,00000271,1/4 M X 1/4 OD COUPLER (68-4A),B,7,7,0,5,7,OUT,2026-05-18
6,00000306,1/2 MALE HOSE TAIL,B,18,0,0,3,5,OUT,2026-03-16
7,00000245,LOW PRESSURE C/O REG KIT 5KG(S) CRIMPED,B,18,1,0,3,5,OUT,2026-05-11
8,00000274,1/2 F X 1/2 OD COUPLER,B,18,5,0,4,5,OUT,2026-05-11
9,00000267,3/8 M X 3/8 OD COUPLER (68-6B),B,17,0,0,3,5,OUT,2026-03-04
10,00000305,COUPLER 1/2 COPPER TO 8MM HOSE,B,15,0,0,3,5,OUT,2026-02-25
11,00000251,BULLNOSE REGULATOR LOW PRESSURE,B,14,1,0,3,5,OUT,2026-06-04
12,00000277,3/8 F X 3/8 OD COUPLER (66-6C),B,14,2,0,3,5,OUT,2026-05-18
13,00000243,LOW PRESSURE REG SINGLE 5KG (S) CRIMPED,B,12,4,0,3,5,OUT,2026-06-12
14,00000263,1/2 X 1/2 UNION COUPLER (62-8),B,10,0,0,3,5,OUT,2026-04-09
15,00000264,1/2M X 3/8 OD COUPLER (68-6C),B,5,5,0,4,5,OUT,2026-06-25
16,00000262,1/2 FEMALE HOSETAIL WASHER,B,5,3,0,3,5,OUT,2026-06-25
17,00000239,SHUT OFF VALVE 3/8 BUTTERFLY,B,3,3,0,3,5,OUT,2026-06-22
18,00000242,LOW PRESSURE INLINE REG SINGLE (M)BRASS,C,4,0,0,1,3,OUT,2026-03-29
19,00000249,GAS FILLING HOSE,C,4,2,0,1,3,OUT,2026-06-23
20,00000237,SHUT OFF VALVE 1/4,C,4,0,0,1,3,OUT,2026-02-17
21,00000268,3/8 M X 1/4 OD COUPLER (68-4C),C,4,0,0,1,3,OUT,2025-09-18
22,00000269,1/4 M X 1/2 OD COUPLER (68-8B),C,3,0,0,1,3,OUT,2025-11-30
23,00000252,BULLNOSE REGULATOR WITH GAUGE,C,3,0,0,1,3,OUT,2025-11-17
24,00000253,BULLNOSE REGULATOR FOR OUTDOOR USE (4KG),C,3,0,0,1,3,OUT,2025-11-03
25,00000270,1/4'' M X 3/8'' OD COUPLER (68-6),C,2,0,0,1,3,OUT,2025-11-30
26,00000244,LOW PRESSURE C/O REGULATOR KIT(M)BRASS,C,2,0,0,1,3,OUT,2026-03-30
27,00000260,1/4 FEMALE HOSE TAIL,C,2,1,0,1,3,OUT,2026-04-30
28,00000240,UNIVERSAL THERMOCOUPLE 1500 MM,C,2,0,0,1,3,OUT,2025-10-29
29,00000238,SHUT OFF VALVE 1/4 BUTTERFLY,C,1,0,0,1,3,OUT,2025-11-30
30,00000265,1/2M X 1/4 OD COUPLER (68-4D),C,1,0,0,1,3,OUT,2025-07-27
31,00000232,BULLNOSE 'O' RING FOR PIGTAIL,C,1,1,0,1,3,OUT,2026-06-14
32,00000256,BRASS 'T' CONECTOR - 8MM,C,1,0,0,1,3,OUT,2026-01-22
33,00000247,CHANGEOVER VALVE,C,0,0,0,1,3,OUT,2025-07-03
34,00000233,BULLNOSE HANDWHEEL,C,0,0,0,1,3,OUT,2025-05-01
35,00000278,1/4 F X 3/8 OD COUPLER,C,0,0,0,1,3,OUT,2025-06-25
36,00000259,1/8 FEMALE HOSE TAIL,C,0,0,0,1,3,OUT,2024-12-17
37,00000255,ADAPTOR B X H,C,0,0,0,1,3,OUT,2025-01-10
38,00000235,SHUT OFF VALVE 3/4,C,0,0,0,1,3,OUT,2025-02-03
39,00000276,3/8 M X 1/2 OD COUPLER (66-8C),C,0,0,0,1,3,OUT,2024-10-22
40,00000317,CHANGE OVER PIGTAIL 7/16 (1000MM),C,0,0,0,1,3,OUT,2025-02-06
41,00000248,ADAPTOR C X B,C,0,0,0,1,3,OUT,2025-03-14
42,00000241,UNIVERSAL THERMOCOUPLE 900MM,C,0,0,0,1,3,OUT,2025-04-02
43,00000129,C40 GAS BURNER,C,0,0,0,1,3,OUT,2023-09-10
44,00000257,BRASS Y CONNECTOR - 8 MM,C,0,0,0,1,3,OUT,2025-02-24
45,00000300,LPG FILLING HOSE QAV TO BULLNOSE,C,0,0,0,1,3,OUT,2024-07-24
46,00000258,GAS HOSE 8MM 30M,C,0,0,0,1,3,OUT,2024-11-25
47,00000113,UNIVERSAL THERMOCOUPLE,C,0,0,0,1,3,OUT,
48,00000234,LIQUID STEM,C,0,0,0,1,3,OUT,
49,00000254,ADAPTOR C X B 45'',C,0,0,0,1,3,OUT,
50,00000279,1/4 F X 1/4 OD COUPLER (66-4A),C,0,0,0,1,3,OUT,
51,00000299,PEX SLEEVE TAN 25MM,C,0,0,0,1,3,OUT,
52,00000250,C40 GAS BURNER,C,0,0,0,1,3,OUT,
53,00000301,PEX HOLDER BAT CLOSED 25MM,C,0,0,0,1,3,OUT,
54,00000272,1/4 M X 5/16 OD COUPLER (68-5A),C,0,0,0,1,3,OUT,
55,00000273,COUPLER 1/8M X 3/8 OD (68-6A),C,0,0,0,1,3,OUT,
56,00000261,1/2 SOFT DRAWN COPPER-PER 15.24M COIL,C,0,0,0,1,3,OUT,
57,00000275,1/2F X 3/8 OD COUPLER (66-6D),C,0,0,0,1,3,OUT,
