rank,stock_no,description,priority,sold_365d,sold_90d,on_hand,on_order,available_future,min_stock,net_to_order,stock_status,last_sale,supplier_ref
1,00000304,1/2 M X 1/2 OD COUPLER (68-8A),A,114,24,0.0,0,0.0,15,15.0,OUT,2026-06-25,
2,00000266,3/8 M X 1/2 OD COUPLER (66-8C),A,53,5,14.0,0,14.0,8,0,OK,2026-06-22,
3,00000236,SHUT OFF VALVE 1/2,A,66,18,0.0,10,10.0,9,0,OK,2026-06-25,VAL201
4,00000246,CHANGE OVER PIGTAIL 7/16 (500MM) BRASS,B,16,9,0.0,0,0.0,6,6.0,OUT,2026-06-22,
5,00000274,1/2 F X 1/2 OD COUPLER,B,18,5,0.0,0,0.0,4,4.0,OUT,2026-05-11,
6,00000267,3/8 M X 3/8 OD COUPLER (68-6B),B,17,0,0.0,0,0.0,3,3.0,OUT,2026-03-04,
7,00000263,1/2 X 1/2 UNION COUPLER (62-8),B,10,0,0.0,0,0.0,3,3.0,OUT,2026-04-09,
8,00000245,LOW PRESSURE C/O REG KIT 5KG(S) CRIMPED,B,18,1,0.0,0,0.0,3,3.0,OUT,2026-05-11,
9,00000243,LOW PRESSURE REG SINGLE 5KG (S) CRIMPED,B,12,4,0.0,0,0.0,3,3.0,OUT,2026-06-12,
10,00000251,BULLNOSE REGULATOR LOW PRESSURE,B,14,1,2.0,0,2.0,3,1.0,LOW,2026-06-04,
11,00000305,COUPLER 1/2 COPPER TO 8MM HOSE,B,15,0,3.0,5,8.0,3,0,OK,2026-02-25,COUP208
12,00000306,1/2 MALE HOSE TAIL,B,18,0,11.0,0,11.0,3,0,OK,2026-03-16,
13,00000271,1/4 M X 1/4 OD COUPLER (68-4A),B,7,7,5.0,10,15.0,5,0,OK,2026-05-18,COUP404
14,00000277,3/8 F X 3/8 OD COUPLER (66-6C),B,14,2,2.0,5,7.0,3,0,OK,2026-05-18,COUP3032
15,00000239,SHUT OFF VALVE 3/8 BUTTERFLY,B,3,3,2.0,5,7.0,3,0,OK,2026-06-22,VAL302
16,00000264,1/2M X 3/8 OD COUPLER (68-6C),B,5,5,17.0,0,17.0,4,0,OK,2026-06-25,
17,00000262,1/2 FEMALE HOSETAIL WASHER,B,5,3,4.0,0,4.0,3,0,OK,2026-06-25,
18,00000269,1/4 M X 1/2 OD COUPLER (68-8B),C,3,0,0.0,0,0.0,1,1.0,OUT,2025-11-30,
19,00000270,1/4'' M X 3/8'' OD COUPLER (68-6),C,2,0,0.0,0,0.0,1,1.0,OUT,2025-11-30,
20,00000238,SHUT OFF VALVE 1/4 BUTTERFLY,C,1,0,0.0,0,0.0,1,1.0,OUT,2025-11-30,
21,00000242,LOW PRESSURE INLINE REG SINGLE (M)BRASS,C,4,0,0.0,0,0.0,1,1.0,OUT,2026-03-29,
22,00000260,1/4 FEMALE HOSE TAIL,C,2,1,0.0,0,0.0,1,1.0,OUT,2026-04-30,
23,00000249,GAS FILLING HOSE,C,4,2,0.0,0,0.0,1,1.0,OUT,2026-06-23,
24,00000253,BULLNOSE REGULATOR FOR OUTDOOR USE (4KG),C,3,0,5.0,0,5.0,1,0,OK,2025-11-03,
25,00000252,BULLNOSE REGULATOR WITH GAUGE,C,3,0,1.0,0,1.0,1,0,OK,2025-11-17,
26,00000256,BRASS 'T' CONECTOR - 8MM,C,1,0,3.0,0,3.0,1,0,OK,2026-01-22,
27,00000237,SHUT OFF VALVE 1/4,C,4,0,1.0,0,1.0,1,0,OK,2026-02-17,
28,00000244,LOW PRESSURE C/O REGULATOR KIT(M)BRASS,C,2,0,1.0,0,1.0,1,0,OK,2026-03-30,
29,00000232,BULLNOSE 'O' RING FOR PIGTAIL,C,1,1,3.0,0,3.0,1,0,OK,2026-06-14,
